theta_X,regime,total
0.0,float,24.80455376037103
0.0,peg,94.14470796728344
0.0,managed,10.588916487677215
0.25,float,24.81990973350384
0.25,peg,92.97535463563149
0.25,managed,10.66313710766016
0.5,float,24.87479212424718
0.5,peg,91.97169414823077
0.5,managed,10.748461522925826
0.75,float,24.98013736264324
0.75,peg,91.12917134503873
0.75,managed,10.84623075138692
1.0,float,25.151862391972106
1.0,peg,90.44535179185505
1.0,managed,10.958365728008463
1.25,float,25.412638078767355
1.25,peg,89.92102647078035
1.25,managed,11.087343530183446
1.5,float,25.794899606987126
1.5,peg,89.55973532817916
1.5,managed,11.236449150848179
