zeta,regime,total
0.25,float,25.814697604923794
0.25,peg,98.7373956031068
0.25,managed,11.28425949306787
0.5,float,25.470023608194072
0.5,peg,94.64165554714559
0.5,managed,11.117225546547097
0.75,float,25.280385159744498
0.75,peg,92.19723043147211
0.75,managed,11.023046557992256
1.0,float,25.151862391972106
1.0,peg,90.44535179185505
1.0,managed,10.958365728008463
1.5,float,24.97983962258458
1.5,peg,87.95685225848285
1.5,managed,10.870881764545805
2.0,float,24.8645632653038
2.0,peg,86.1813552390646
2.0,managed,10.811844217552247
2.5,float,24.77914415707308
2.5,peg,84.8006699657153
2.5,managed,10.76801543405022
