kappa,regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
0.250000,float,1.888245519e-05,2.007732391e-05,1.121548359e-05,4.419101292e-07,5.376390858e-06,1.664535284e-05,0.0001017611859,5.471255968e-05,1.888738517e-05,3.058959175e-05, 0.001292097006
0.250000,peg, 1.27504854e-05,1.858507952e-05,0.0001331104549,6.119518633e-07,1.431207497e-05,7.791567939e-05,0.0001483968257,5.924490832e-05,1.211157568e-05,5.662684803e-07, 0.001387499344
0.250000,managed,6.249880718e-06,6.771669247e-06,2.431635332e-05, 3.92497336e-07,5.537487273e-06,2.659640985e-05,7.545996239e-05,3.597041782e-05,6.510332658e-06, 7.41737541e-06, 0.001324411838
0.500000,float,1.998534215e-05,2.115099441e-05,1.138202282e-05,4.852120124e-07,5.453595983e-06, 1.65889293e-05,0.0001017564207,5.532611023e-05, 2.00051485e-05,3.226459795e-05, 0.001394829159
0.500000,peg,1.263080003e-05,1.837208852e-05,0.0001397745599,6.764433931e-07,1.484113944e-05, 8.01434424e-05,0.0001444660193,5.873993194e-05,1.201124209e-05, 5.94457318e-07, 0.001456569043
0.500000,managed,6.386817985e-06,6.933325017e-06,2.532755304e-05,4.235012997e-07,5.639478989e-06,2.693778293e-05,7.623691388e-05,3.606947723e-05,6.643482574e-06,7.645128437e-06, 0.001415938766
0.750000,float,2.126518007e-05,2.240539152e-05,1.180134972e-05,5.461287424e-07,5.560755902e-06,1.657667168e-05,0.0001022588431,5.620430292e-05,2.129541112e-05,3.409736825e-05, 0.001495050542
0.750000,peg, 1.25389111e-05, 1.81877192e-05,0.0001474739471,7.691334403e-07,1.547459025e-05,8.267317047e-05,0.0001410012606,5.833213026e-05,1.193511124e-05,6.215942344e-07, 0.001523061273
0.750000,managed,6.534665019e-06,7.100915038e-06,2.673604805e-05,4.732509986e-07,5.785153965e-06,2.735371448e-05,7.709586112e-05,3.620283296e-05,6.786540277e-06, 7.88383031e-06, 0.001505176485
1.000000,float,2.271024039e-05,2.382922188e-05,1.245867581e-05,6.237573206e-07,5.696875863e-06,1.660356576e-05,0.0001031986734,5.732095487e-05,2.274712354e-05,3.607783641e-05, 0.001592364444
1.000000,peg,1.246783625e-05,1.802348737e-05,0.0001562400046,8.918735039e-07,1.621438221e-05,8.550540775e-05,0.0001378294338,5.798390021e-05, 1.18775761e-05,6.474501498e-07,  0.00158641473
1.000000,managed,6.692537136e-06,7.274622575e-06,2.854370719e-05,5.420662407e-07, 5.97524196e-06,2.784303229e-05, 7.80071094e-05, 3.63615994e-05,6.938943322e-06,8.132338563e-06, 0.001591708809
1.500000,float,2.606627903e-05,2.715718766e-05,1.444742317e-05,8.276080098e-07,6.053957757e-06,1.675951739e-05,0.0001062186705,6.020216205e-05,2.610690349e-05,4.045787845e-05, 0.001777281531
1.500000,peg,1.236820291e-05,1.773203112e-05,0.0001771217747,1.236423554e-06,1.802511517e-05,9.208848947e-05,0.0001319600382,5.736666208e-05,1.180209473e-05,6.947423677e-07, 0.001702292486
1.500000,managed,7.037228183e-06,7.643174888e-06,3.337939751e-05,7.395591896e-07,6.493220307e-06,2.903997596e-05,7.994169468e-05,3.673715035e-05,7.271339102e-06,8.656322881e-06,  0.00175556864
2.000000,float,3.001864398e-05,3.110357046e-05,1.729437989e-05,1.096246119e-06,6.523102918e-06,1.703337418e-05,0.0001106224639,6.388720936e-05,3.005188605e-05,4.538115889e-05, 0.001948446142
2.000000,peg,1.230333679e-05,1.746551731e-05, 0.000202772666,1.730556138e-06, 2.03055641e-05,9.993250594e-05,0.0001264158649,5.675750918e-05,1.176131036e-05,7.356764325e-07, 0.001802591179
2.000000,managed,7.421937965e-06,8.047181046e-06,3.990496202e-05,1.023265122e-06,7.205152196e-06,3.052957311e-05,8.204895952e-05,3.718302151e-05,7.642276447e-06,9.215363376e-06, 0.001906194874
2.500000,float,3.456190374e-05,3.566629432e-05,2.097509723e-05,1.431755048e-06,7.104969235e-06,1.741042274e-05,0.0001163866788,6.835346589e-05,3.457746714e-05,5.085419128e-05, 0.002105653598
2.500000,peg,1.225751877e-05, 1.72080136e-05,0.0002336383021,2.398733194e-06,2.310026854e-05,0.0001091047244,0.0001211385226,5.609972448e-05, 1.17420165e-05,7.701695567e-07, 0.001887107956
2.500000,managed,7.851293278e-06,8.497410108e-06,4.822448592e-05, 1.40279031e-06,8.126357052e-06,3.231915179e-05,8.444182313e-05,3.771095845e-05,8.056111264e-06, 9.81153387e-06,  0.00204324283
