kappa,regime,welfare_total_x1e4
0.25,float,8.94293111705125
0.25,peg,8.470024766337808
0.25,managed,3.949557108167768
0.5,float,9.379149944861304
0.5,peg,8.510223019185371
0.5,managed,4.018763894010336
0.75,float,9.891886337373904
0.75,peg,8.578658592542691
0.75,managed,4.098749036885168
1.0,float,10.475924794610641
1.0,peg,8.672301360870398
1.0,managed,4.189021407929352
1.5,float,11.844636554767359
1.5,peg,8.927795799589802
1.5,managed,4.4000043963686615
2.0,float,13.46962211454691
2.0,peg,9.26867834718346
2.0,managed,4.653021092945657
2.5,float,15.348121169404997
2.5,peg,9.695013240508846
2.5,managed,4.951822447408837
