rho,sector,direct,total,indirect,indirect_share,lambda_D
0.0,Resource,0.0767,0.08291891891891891,0.006218918918918903,0.07499999999999982,0.029189189189189186
0.0,Manufacturing,0.1945,0.24379543745299573,0.04929543745299572,0.20219999999999994,0.28703935823514665
0.0,Services,0.0704,0.09592587545987193,0.025525875459871922,0.2661,1.0137620929281919
0.25,Resource,0.0767,0.09856156663014393,0.021861566630143922,0.22180620070884519,0.03793056045664817
0.25,Manufacturing,0.1945,0.25145317375773846,0.05695317375773845,0.2264961420316363,0.30763270213555616
0.25,Services,0.0704,0.10096295142909759,0.030562951429097582,0.30271452048983305,1.031484948869233
0.5,Resource,0.0767,0.1155297929694189,0.038829792969418894,0.33610198695411203,0.0478881848767482
0.5,Manufacturing,0.1945,0.26065854467026295,0.06615854467026294,0.2538130670297209,0.32995188505157436
0.5,Services,0.0704,0.10638521261254072,0.035985212612540715,0.3382538957138745,1.0527278963184232
0.75,Resource,0.0767,0.13411933938860732,0.05741933938860731,0.42812125119581945,0.059240881440431686
0.75,Manufacturing,0.1945,0.2716299407284372,0.07712994072843721,0.2839522790514028,0.3544217907143618
0.75,Services,0.0704,0.11230049839953164,0.04190049839953164,0.3731105293091592,1.0780857315217554
1.0,Resource,0.0767,0.15470101078980922,0.07800101078980921,0.5042049201332527,0.07222525740025076
1.0,Manufacturing,0.1945,0.28465577699186845,0.09015577699186844,0.3167185923454624,0.3815679902047858
1.0,Services,0.0704,0.11884039032926724,0.04844039032926724,0.4076088120802617,1.108319592187606
1.25,Resource,0.0767,0.17774867996745228,0.10104867996745227,0.5684918728282843,0.08715496804566543
1.25,Manufacturing,0.1945,0.3001180824555483,0.10561808245554827,0.3519217555682997,0.4120557614473529
1.25,Services,0.0704,0.12616979189025884,0.05576979189025884,0.44202174747792894,1.1444168857554213
1.5,Resource,0.0767,0.20388031181887595,0.12718031181887596,0.623798888103825,0.10444937268331109
1.5,Manufacturing,0.1945,0.31852752795842054,0.12402752795842054,0.3893777368422947,0.44674695790868646
1.5,Services,0.0704,0.1345008187811518,0.0641008187811518,0.47658311199912584,1.187679421828344
1.75,Resource,0.0767,0.2339197786875517,0.15721977868755171,0.672109812901077,0.12467709641304886
1.75,Manufacturing,0.1945,0.34057661638577685,0.14607661638577685,0.42890970594503003,0.48678544709225485
1.75,Services,0.0704,0.1441136050877363,0.07371360508773629,0.5114965033513629,1.239856514316167
2.0,Resource,0.0767,0.2689930030871466,0.19229300308714659,0.7148624718125057,0.14862411859556943
2.0,Manufacturing,0.1945,0.3672227719372862,0.1727227719372862,0.4703487505039136,0.5337297755939525
2.0,Services,0.0704,0.15538855553921022,0.08498855553921021,0.5469421814514808,1.3033522717167607
2.2,Resource,0.0767,0.3017184767643527,0.22501847676435272,0.7457895160331729,0.17119270471140646
2.2,Manufacturing,0.1945,0.392742782357312,0.19824278235731202,0.5047649282500459,0.577697925565
2.2,Services,0.0704,0.1659561079287348,0.0955561079287348,0.5757914494461914,1.3645328601943647
