theta_M,regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
0.000000,float,1.475222088e-05,2.451084717e-05,7.136578379e-05,1.123595017e-05,6.875387499e-05, 3.92013783e-05,0.0001540994482,  3.4237875e-05,1.471912514e-05,5.271109533e-05,  0.01540646617
0.000000,peg,1.076074403e-05,1.554304205e-05, 0.004492699289,1.582502384e-05,0.0001707875145, 0.003452466497, 0.000637291227,4.565706002e-05,1.001984763e-05, 0.000235638027,  0.02177617108
0.000000,managed,4.312315596e-06,8.012180747e-06,0.0001495125408,1.216296605e-05,4.164417278e-05,0.0002460851609, 0.000102281227,1.734229692e-05,4.577994257e-06,5.158687271e-05,  0.01682690604
0.250000,float, 1.47395198e-05,2.457412285e-05,6.989230117e-05,1.165312258e-05,6.571037701e-05,3.861060638e-05,0.0001507192228,3.464315934e-05,1.470116283e-05,5.226650137e-05,  0.01529442124
0.250000,peg,1.104391069e-05,1.570655944e-05, 0.004530155683,1.683520161e-05,0.0001768381491, 0.003463117785,0.0006634942793,4.416147183e-05,1.035284856e-05,0.0002358386277,  0.02159777186
0.250000,managed,4.364880723e-06,8.063544035e-06,0.0001502040596, 1.26899736e-05,4.021695978e-05,0.0002419048562,0.0001014254943, 1.74299861e-05,4.638825421e-06,5.110502419e-05,  0.01669335801
0.500000,float,1.473288319e-05,2.464959059e-05,6.839689221e-05,1.208727312e-05, 6.29031261e-05, 3.81399497e-05,0.0001473975134,3.508170224e-05,1.469079262e-05,5.180959946e-05,  0.01518308362
0.500000,peg,1.134551408e-05,1.588706619e-05, 0.004571694837,1.790852768e-05,0.0001834180754, 0.003477073288,0.0006920206169,4.271025984e-05,1.070806185e-05,0.0002360629809,   0.0214089228
0.500000,managed,4.421095277e-06,8.118891642e-06,0.0001510011023,1.324156966e-05,3.906341961e-05,0.0002380137257,0.0001007839392,1.754370586e-05,4.705489272e-06,  5.0600884e-05,  0.01655865708
0.750000,float,1.473157218e-05,2.473623138e-05,6.688505998e-05,1.253983993e-05,6.034837798e-05,3.779220287e-05,0.0001441382312,3.555452333e-05, 1.46873722e-05,5.134214124e-05,  0.01507165722
0.750000,peg,1.166722563e-05,1.608564785e-05, 0.004617518754,1.905092745e-05,0.0001905457961,  0.00349456902,0.0007231246618,4.130021439e-05, 1.10875886e-05,0.0002363134752,   0.0212080954
0.750000,managed,4.481038586e-06,8.177952167e-06, 0.000151903828,1.381982264e-05,3.819632649e-05,0.0002344395704,0.0001003812801,1.768496347e-05,4.778215419e-06,5.007598699e-05,  0.01642181183
1.000000,float,1.473477741e-05,2.483292119e-05,6.536078843e-05,1.301260672e-05,5.805714762e-05,3.756796157e-05,0.0001409452745,3.606262008e-05,1.469020329e-05,5.086540401e-05,  0.01495919885
1.000000,peg,1.201116525e-05,1.630387533e-05, 0.004667896417,2.026967337e-05,0.0001982407615, 0.003515884668,0.0007571129233,3.992920835e-05,1.149400425e-05,0.0002365929929,   0.0209934866
1.000000,managed,4.544861013e-06,8.240454286e-06,0.0001529127088, 1.44272851e-05,3.762364863e-05,0.0002312086629,0.0001002461547,1.785548228e-05,4.857321352e-06,4.953137728e-05,  0.01628165552
1.250000,float,1.474191145e-05,2.493870013e-05, 6.38296335e-05,1.350756883e-05,5.603646689e-05,3.746607072e-05,0.0001378255629, 3.66076313e-05,1.469880975e-05,5.038128079e-05,  0.01484469977
1.250000,peg,1.237957692e-05,1.654326128e-05, 0.004723088415,2.157306432e-05,0.0002065205155, 0.003541285014,0.0007943120074, 3.85945608e-05,1.193010304e-05,0.0002369045456,   0.0207633003
1.250000,managed,4.612762388e-06,8.306133595e-06, 0.000154028534,1.506682129e-05,3.734957192e-05,0.0002283424664, 0.000100411589,1.805732772e-05,4.943189581e-06,4.896867403e-05,  0.01613697714
1.500000,float,1.475249645e-05,2.505268587e-05,6.229700924e-05,1.402704076e-05,5.428893058e-05,3.748375317e-05,0.0001347882256,3.719155792e-05,1.471283602e-05,4.989164473e-05,  0.01472707371
1.500000,peg,1.277504548e-05,1.680556684e-05, 0.004783393848,2.297081843e-05,0.0002154037149, 0.003571054362,0.0008350923541, 3.72938787e-05,1.239909722e-05,0.0002372514495,   0.0205156448
1.500000,managed,4.685012328e-06,8.374740333e-06,0.0001552526966,1.574175724e-05, 3.73744025e-05, 0.000225859316,0.0001009157788,1.829287103e-05,5.036294101e-06,4.838944749e-05,  0.01598648945
