theta_M,regime,total
0.0,float,25.144531804261458
0.0,peg,86.36548165805877
0.0,managed,10.467838814345145
0.25,float,25.139899225245777
0.25,peg,87.23638163117977
0.25,managed,10.571402031012681
0.5,float,25.14902168548975
0.5,peg,88.20480995415855
0.5,managed,10.687479520584183
0.75,float,25.171204717433643
0.75,peg,89.27644644857739
0.75,managed,10.81656154327839
1.0,float,25.205651320556935
1.0,peg,90.45876588665513
1.0,managed,10.959289101860643
1.25,float,25.251965018382528
1.25,peg,91.75936724260289
1.25,managed,11.116436093297057
1.5,float,25.30995351877442
1.5,peg,93.18705134585099
1.5,managed,11.288946571136542
