zeta,regime,total
0.25,float,23.054776306314675
0.25,peg,153.69712957922056
0.25,managed,11.468361652230245
0.5,float,23.472846143123515
0.5,peg,131.6407018754852
0.5,managed,10.723026472869375
0.75,float,24.345459441055358
0.75,peg,114.94170953500254
0.75,managed,10.318466291209042
1.0,float,25.530531510270645
1.0,peg,102.05937885049525
1.0,managed,10.171687867808611
1.5,float,28.505387503896085
1.5,peg,84.03864807385239
1.5,managed,10.434718667557561
2.0,float,32.014414504974276
2.0,peg,72.75785942280763
2.0,managed,11.223013817217506
2.5,float,35.95226301854103
2.5,peg,65.80704024129665
2.5,managed,12.399654250130403
