piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3
-0.00016191,-0.00046315,0.00064245,9.6541e-05,0.00017741,0.0003685,-0.00068474,-0.00031926,-0.00014723,-0.0023878,7.9156e-05,0.0012224,0.00051703,0.0012246,0.00080787,-0.00038771,-0.00094989,-0.00047285,-0.00022531
-0.00013386,-0.0001136,0.00051954,9.5988e-05,0.00015796,0.00026558,-0.0002055,-0.00020105,-0.00012846,-0.0022849,5.9566e-05,0.0021019,0.00011978,0.00089624,0.00074338,-0.00018977,-0.001235,-0.00077062,-0.0004219
-0.00011055,-8.4836e-05,0.00041314,8.5121e-05,0.0001358,0.00019221,-7.2429e-05,-0.00012644,-0.00010959,-0.0021839,4.1154e-05,0.0027163,-0.00018897,0.00063987,0.00068195,-4.1494e-05,-0.0013354,-0.00095789,-0.0005896
-9.1337e-05,-6.5777e-05,0.00032502,7.3029e-05,0.00011377,0.00013822,-3.1786e-05,-8.1907e-05,-9.2378e-05,-0.0020889,2.5762e-05,0.003126,-0.00043342,0.0004408,0.00062522,6.834e-05,-0.0013795,-0.0010792,-0.00073097
-7.5585e-05,-5.1958e-05,0.00025349,6.2025e-05,9.3678e-05,9.7784e-05,-1.7091e-05,-5.5446e-05,-7.7416e-05,-0.0020008,1.3501e-05,0.0033786,-0.00062878,0.00028714,0.00057329,0.00014821,-0.0014032,-0.0011613,-0.00084945
-6.2703e-05,-4.1475e-05,0.00019605,5.257e-05,7.6252e-05,6.7227e-05,-1.0437e-05,-3.9391e-05,-6.4735e-05,-0.0019199,4.0096e-06,0.0035116,-0.0007858,0.00016938,0.00052588,0.00020476,-0.0014177,-0.0012197,-0.00094852
-5.2178e-05,-3.3333e-05,0.00015026,4.4612e-05,6.1591e-05,4.4056e-05,-6.7284e-06,-2.9294e-05,-5.4139e-05,-0.0018457,-3.17e-06,0.0035542,-0.0009125,7.9917e-05,0.00048261,0.00024322,-0.0014271,-0.001263,-0.0010314
-4.3577e-05,-2.6925e-05,0.00011395,3.7968e-05,4.9486e-05,2.6499e-05,-4.354e-06,-2.2656e-05,-4.5356e-05,-0.0017778,-8.4739e-06,0.0035297,-0.0010151,1.2728e-05,0.0004431,0.00026775,-0.0014331,-0.0012966,-0.0011008
-3.6539e-05,-2.1837e-05,8.5299e-05,3.2434e-05,3.961e-05,1.3255e-05,-2.7167e-06,-1.8082e-05,-3.8105e-05,-0.0017155,-1.2282e-05,0.0034561,-0.0010983,-3.6991e-05,0.00040698,0.00028161,-0.0014369,-0.0013234,-0.0011591
-3.0771e-05,-1.7773e-05,6.2785e-05,2.7825e-05,3.1615e-05,3.3447e-06,-1.5465e-06,-1.4784e-05,-3.2126e-05,-0.0016586,-1.4913e-05,0.0033474,-0.0011662,-7.3054e-05,0.00037396,0.0002874,-0.001439,-0.0013453,-0.0012083
-2.6031e-05,-1.4515e-05,4.5174e-05,2.398e-05,2.5175e-05,-3.9806e-06,-6.9752e-07,-1.231e-05,-2.7196e-05,-0.0016064,-1.6626e-05,0.0032146,-0.0012215,-9.8482e-05,0.00034372,0.00028715,-0.00144,-0.0013635,-0.0012499
-2.2126e-05,-1.1894e-05,3.1469e-05,2.0763e-05,2.0006e-05,-9.3002e-06,-7.9708e-08,-1.0394e-05,-2.3125e-05,-0.0015586,-1.7632e-05,0.0030661,-0.0012668,-0.00011567,0.00031603,0.00028244,-0.0014401,-0.0013789,-0.0012853
-1.8899e-05,-9.7786e-06,2.0864e-05,1.8062e-05,1.5868e-05,-1.3066e-05,3.6716e-07,-8.8712e-06,-1.9755e-05,-0.0015147,-1.8098e-05,0.0029084,-0.0013041,-0.00012652,0.00029064,0.00027452,-0.0014396,-0.001392,-0.0013155
-1.6223e-05,-8.0682e-06,1.2716e-05,1.5785e-05,1.2561e-05,-1.5631e-05,6.8565e-07,-7.6375e-06,-1.6958e-05,-0.0014745,-1.8158e-05,0.0027464,-0.0013347,-0.00013253,0.00026735,0.00026437,-0.0014386,-0.0014034,-0.0013415
-1.3994e-05,-6.6819e-06,6.5075e-06,1.3858e-05,9.922e-06,-1.7273e-05,9.0693e-07,-6.6229e-06,-1.4628e-05,-0.0014375,-1.7917e-05,0.0025838,-0.0013601,-0.00013487,0.00024598,0.00025272,-0.0014374,-0.0014132,-0.0013638
-1.2132e-05,-5.5556e-06,1.8282e-06,1.2219e-05,7.8186e-06,-1.821e-05,1.0543e-06,-5.7788e-06,-1.2679e-05,-0.0014036,-1.7458e-05,0.0024232,-0.0013812,-0.00013447,0.00022636,0.00024016,-0.0014359,-0.0014217,-0.0013832
-1.0568e-05,-4.6384e-06,-1.65e-06,1.0819e-05,6.1442e-06,-1.8613e-05,1.1456e-06,-5.0699e-06,-1.1043e-05,-0.0013724,-1.6845e-05,0.0022668,-0.0013987,-0.00013206,0.00020833,0.00022712,-0.0014343,-0.0014292,-0.0014001
-9.2485e-06,-3.8896e-06,-4.1879e-06,9.6162e-06,4.8129e-06,-1.8617e-05,1.1945e-06,-4.4698e-06,-9.6635e-06,-0.0013437,-1.6128e-05,0.0021158,-0.0014134,-0.00012821,0.00019176,0.00021394,-0.0014327,-0.0014359,-0.0014149
-8.1307e-06,-3.2765e-06,-5.9927e-06,8.5784e-06,3.7555e-06,-1.8327e-05,1.2115e-06,-3.9583e-06,-8.4943e-06,-0.0013174,-1.5346e-05,0.0019712,-0.0014258,-0.00012335,0.00017654,0.00020085,-0.001431,-0.0014417,-0.0014279
-7.1789e-06,-2.7731e-06,-7.2287e-06,7.6785e-06,2.9169e-06,-1.7824e-05,1.2049e-06,-3.5197e-06,-7.4988e-06,-0.0012931,-1.4528e-05,0.0018336,-0.0014362,-0.00011782,0.00016253,0.00018805,-0.0014293,-0.0014469,-0.0014394
-6.3643e-06,-2.3585e-06,-8.0259e-06,6.8943e-06,2.2529e-06,-1.7173e-05,1.1809e-06,-3.1413e-06,-6.647e-06,-0.0012709,-1.3696e-05,0.0017033,-0.0014451,-0.0001119,0.00014965,0.00017565,-0.0014277,-0.0014516,-0.0014496
-5.6638e-06,-2.0158e-06,-8.4872e-06,6.2078e-06,1.7279e-06,-1.6423e-05,1.1447e-06,-2.8131e-06,-5.9146e-06,-0.0012503,-1.2868e-05,0.0015805,-0.0014526,-0.00010577,0.00013781,0.00016375,-0.0014261,-0.0014557,-0.0014586
-5.0583e-06,-1.7315e-06,-8.6936e-06,5.6041e-06,1.3138e-06,-1.5611e-05,1.0999e-06,-2.5271e-06,-5.2816e-06,-0.0012315,-1.2055e-05,0.0014651,-0.0014591,-9.9588e-05,0.00012691,0.0001524,-0.0014246,-0.0014595,-0.0014667
-4.5324e-06,-1.4947e-06,-8.7089e-06,5.0709e-06,9.8789e-07,-1.4768e-05,1.0496e-06,-2.2765e-06,-4.732e-06,-0.0012141,-1.1266e-05,0.0013569,-0.0014647,-9.3464e-05,0.00011687,0.00014163,-0.0014231,-0.0014629,-0.001474
-4.0735e-06,-1.2967e-06,-8.5831e-06,4.5981e-06,7.3212e-07,-1.3913e-05,9.9603e-07,-2.0561e-06,-4.2524e-06,-0.0011981,-1.0507e-05,0.0012559,-0.0014695,-8.748e-05,0.00010764,0.00013147,-0.0014217,-0.0014659,-0.0014805
-3.6711e-06,-1.1303e-06,-8.3553e-06,4.1773e-06,5.3208e-07,-1.3065e-05,9.4084e-07,-1.8612e-06,-3.832e-06,-0.0011834,-9.7821e-06,0.0011616,-0.0014737,-8.1692e-05,9.914e-05,0.00012191,-0.0014204,-0.0014687,-0.0014863
-3.3168e-06,-9.8985e-07,-8.0558e-06,3.8014e-06,3.7626e-07,-1.2233e-05,8.8535e-07,-1.6883e-06,-3.4618e-06,-0.0011699,-9.094e-06,0.0010739,-0.0014774,-7.614e-05,9.1315e-05,0.00011294,-0.0014192,-0.0014712,-0.0014916
-3.0034e-06,-8.7078e-07,-7.7084e-06,3.4645e-06,2.555e-07,-1.1428e-05,8.3052e-07,-1.5343e-06,-3.1345e-06,-0.0011574,-8.4437e-06,0.00099233,-0.0014806,-7.085e-05,8.411e-05,0.00010456,-0.001418,-0.0014734,-0.0014964
-2.7251e-06,-7.6931e-07,-7.3309e-06,3.1616e-06,1.6247e-07,-1.0655e-05,7.7703e-07,-1.3966e-06,-2.8439e-06,-0.0011459,-7.8315e-06,0.00091658,-0.0014835,-6.5836e-05,7.7476e-05,9.6733e-05,-0.001417,-0.0014755,-0.0015008
