piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00065512,-0.00097663,0.00046198,-0.00031887,0.00040607,0.00037478,-0.0077987,-0.0013163,-0.00056522,-0.00051663,-0.00075929,0.00018196,3.3411e-05,0.00022771,-9.0899e-05,0.00084813,-0.010819,-0.0019495,-0.00086499,0,0,0.01,0,0,0,0
-0.00059904,-0.00069708,0.0005652,-8.5896e-05,0.00043953,0.00021157,-0.0017736,-0.0010155,-0.00056138,-0.0012647,-0.00062218,0.00030579,-0.0011755,0.00020248,-2.3199e-05,0.00079182,-0.013279,-0.0034536,-0.0017241,0,0,0.009,0,0,0,0
-0.00054436,-0.00055419,0.00056733,-1.7868e-05,0.00045192,0.00013328,-0.00023044,-0.00072648,-0.00053261,-0.0018745,-0.00053826,0.0003978,-0.0021429,0.00017493,3.8056e-06,0.00072813,-0.013599,-0.0045295,-0.0025392,0,0,0.0081,0,0,0,0
-0.00049284,-0.00047372,0.0005361,3.4782e-06,0.00044093,9.1701e-05,0.00015522,-0.0005296,-0.0004938,-0.0023995,-0.00047596,0.00046795,-0.0029714,0.00014958,1.7605e-05,0.00066713,-0.013383,-0.0053139,-0.0032949,0,0,0.00729,0,0,0,0
-0.00044521,-0.0004166,0.0004943,1.054e-05,0.00041604,6.7715e-05,0.00023961,-0.00040453,-0.00045214,-0.0028613,-0.00042492,0.00052117,-0.0037003,0.00012718,2.6153e-05,0.00061083,-0.013051,-0.005913,-0.0039868,0,0,0.006561,0,0,0,0
-0.00040167,-0.0003707,0.00045041,1.2744e-05,0.00038488,5.279e-05,0.00024504,-0.00032432,-0.00041111,-0.0032716,-0.00038111,0.00056063,-0.004349,0.0001076,3.203e-05,0.0005593,-0.012711,-0.0063934,-0.004616,0,0,0.0059049,0,0,0,0
-0.00036212,-0.00033163,0.00040789,1.3107e-05,0.00035198,4.2799e-05,0.00023012,-0.00027047,-0.00037231,-0.0036376,-0.00034266,0.00058865,-0.0049293,9.0545e-05,3.6235e-05,0.0005122,-0.012392,-0.006794,-0.0051857,0,0,0.0053144,0,0,0,0
-0.00032632,-0.00029748,0.0003681,1.2716e-05,0.00031975,3.5631e-05,0.00021068,-0.00023202,-0.00033639,-0.0039651,-0.00030851,0.00060711,-0.00545,7.5706e-05,3.9246e-05,0.00046915,-0.0121,-0.0071376,-0.0057005,0,0,0.004783,0,0,0,0
-0.00029398,-0.00026725,0.00033152,1.2015e-05,0.00028934,3.0169e-05,0.00019113,-0.0002028,-0.00030353,-0.0042584,-0.00027799,0.00061757,-0.0059178,6.2817e-05,4.134e-05,0.00042978,-0.011834,-0.007438,-0.006165,0,0,0.0043047,0,0,0,0
-0.00026482,-0.00024029,0.00029823,1.12e-05,0.00026122,2.5804e-05,0.00017275,-0.00017936,-0.00027366,-0.0045213,-0.00025061,0.00062134,-0.0063384,5.1641e-05,4.2704e-05,0.00039377,-0.011595,-0.0077036,-0.0065838,0,0,0.0038742,0,0,0,0
-0.00023852,-0.00021615,0.00026809,1.0365e-05,0.00023553,2.2194e-05,0.00015586,-0.00015979,-0.00024663,-0.0047569,-0.000226,0.00061955,-0.0067169,4.1972e-05,4.3474e-05,0.00036082,-0.011379,-0.0079403,-0.0069613,0,0,0.0034868,0,0,0,0
-0.00021483,-0.00019449,0.00024089,9.555e-06,0.00021219,1.9139e-05,0.0001405,-0.00014298,-0.0002222,-0.0049683,-0.00020385,0.00061318,-0.0070575,3.3626e-05,4.3757e-05,0.00033066,-0.011184,-0.008152,-0.0073013,0,0,0.0031381,0,0,0,0
-0.00019349,-0.00017503,0.00021638,8.7883e-06,0.00019108,1.6514e-05,0.00012658,-0.00012827,-0.00020017,-0.0051578,-0.00018389,0.00060307,-0.0073641,2.6443e-05,4.3641e-05,0.00030305,-0.011008,-0.008342,-0.0076077,0,0,0.0028243,0,0,0,0
-0.00017427,-0.00015753,0.00019433,8.0732e-06,0.00017202,1.4239e-05,0.00011401,-0.00011525,-0.00018031,-0.0053278,-0.0001659,0.00058994,-0.0076401,2.0279e-05,4.3198e-05,0.00027777,-0.01085,-0.0085127,-0.0078836,0,0,0.0025419,0,0,0,0
-0.00015696,-0.0001418,0.00017451,7.4113e-06,0.00015484,1.2257e-05,0.00010267,-0.00010365,-0.00016241,-0.0054803,-0.00014968,0.0005744,-0.0078885,1.5008e-05,4.2488e-05,0.00025463,-0.010708,-0.0086662,-0.0081321,0,0,0.0022877,0,0,0,0
-0.00014137,-0.00012763,0.00015669,6.8013e-06,0.00013936,1.0526e-05,9.2457e-05,-9.3268e-05,-0.00014628,-0.005617,-0.00013506,0.000557,-0.0081122,1.052e-05,4.1565e-05,0.00023343,-0.010579,-0.0088043,-0.008356,0,0,0.0020589,0,0,0,0
-0.00012733,-0.00011489,0.00014068,6.2405e-06,0.00012542,9.0123e-06,8.3251e-05,-8.3954e-05,-0.00013176,-0.0057395,-0.00012188,0.00053819,-0.0083136,6.7161e-06,4.0471e-05,0.00021402,-0.010464,-0.0089287,-0.0085576,0,0,0.001853,0,0,0,0
-0.00011469,-0.00010342,0.00012629,5.7255e-06,0.00011287,7.689e-06,7.4961e-05,-7.5585e-05,-0.00011868,-0.0058494,-0.00010999,0.00051835,-0.0084949,3.5091e-06,3.9245e-05,0.00019624,-0.01036,-0.0090406,-0.0087392,0,0,0.0016677,0,0,0,0
-0.0001033,-9.3094e-05,0.00011336,5.2531e-06,0.00010158,6.5325e-06,6.7496e-05,-6.8059e-05,-0.0001069,-0.0059479,-9.9264e-05,0.00049783,-0.0086582,8.2238e-07,3.792e-05,0.00017996,-0.010266,-0.0091414,-0.0089028,0,0,0.0015009,0,0,0,0
-9.3048e-05,-8.3801e-05,0.00010175,4.8197e-06,9.1412e-05,5.5228e-06,6.0773e-05,-6.1288e-05,-9.6287e-05,-0.0060363,-8.959e-05,0.00047689,-0.0088052,-1.4119e-06,3.6523e-05,0.00016504,-0.010182,-0.0092322,-0.0090502,0,0,0.0013509,0,0,0,0
-8.3813e-05,-7.5437e-05,9.1328e-05,4.4224e-06,8.2263e-05,4.6425e-06,5.4721e-05,-5.5193e-05,-8.6731e-05,-0.0061154,-8.0864e-05,0.00045578,-0.0089375,-3.2533e-06,3.5077e-05,0.00015137,-0.010106,-0.009314,-0.0091829,0,0,0.0012158,0,0,0,0
-7.5496e-05,-6.7907e-05,8.1963e-05,4.058e-06,7.4029e-05,3.8763e-06,4.9272e-05,-4.9705e-05,-7.8125e-05,-0.0061864,-7.2993e-05,0.00043468,-0.0090567,-4.7545e-06,3.3602e-05,0.00013884,-0.010038,-0.0093876,-0.0093025,0,0,0.0010942,0,0,0,0
-6.8006e-05,-6.113e-05,7.3553e-05,3.724e-06,6.6618e-05,3.2106e-06,4.4365e-05,-4.4765e-05,-7.0375e-05,-0.0062499,-6.5891e-05,0.00041377,-0.009164,-5.9619e-06,3.2114e-05,0.00012736,-0.009976,-0.0094539,-0.0094102,0,0,0.00098477,0,0,0,0
-6.126e-05,-5.5029e-05,6.6e-05,3.4177e-06,5.9949e-05,2.6333e-06,3.9948e-05,-4.0317e-05,-6.3394e-05,-0.0063069,-5.9484e-05,0.00039317,-0.0092606,-6.9161e-06,3.0628e-05,0.00011684,-0.0099206,-0.0095136,-0.0095072,0,0,0.00088629,0,0,0,0
-5.5184e-05,-4.9538e-05,5.9219e-05,3.1368e-06,5.3948e-05,2.134e-06,3.5971e-05,-3.6311e-05,-5.7107e-05,-0.0063579,-5.3704e-05,0.000373,-0.0093476,-7.6529e-06,2.9154e-05,0.0001072,-0.0098707,-0.0095674,-0.0095946,0,0,0.00079766,0,0,0,0
-4.9712e-05,-4.4594e-05,5.313e-05,2.8791e-06,4.8547e-05,1.7032e-06,3.239e-05,-3.2704e-05,-5.1445e-05,-0.0064036,-4.8488e-05,0.00035334,-0.0094259,-8.2035e-06,2.7703e-05,9.836e-05,-0.0098258,-0.0096158,-0.0096733,0,0,0.0007179,0,0,0,0
-4.4784e-05,-4.0145e-05,4.7663e-05,2.6429e-06,4.3687e-05,1.3326e-06,2.9166e-05,-2.9456e-05,-4.6345e-05,-0.0064446,-4.3782e-05,0.00033426,-0.0094965,-8.5956e-06,2.6282e-05,9.0257e-05,-0.0097853,-0.0096594,-0.0097442,0,0,0.00064611,0,0,0,0
-4.0345e-05,-3.6139e-05,4.2754e-05,2.4262e-06,3.9313e-05,1.0149e-06,2.6263e-05,-2.6531e-05,-4.1752e-05,-0.0064812,-3.9535e-05,0.0003158,-0.00956,-8.853e-06,2.4897e-05,8.2828e-05,-0.0097489,-0.0096987,-0.0098081,0,0,0.0005815,0,0,0,0
-3.6346e-05,-3.2533e-05,3.8348e-05,2.2274e-06,3.5377e-05,7.434e-07,2.3649e-05,-2.3897e-05,-3.7614e-05,-0.006514,-3.5703e-05,0.00029802,-0.0096172,-8.9967e-06,2.3552e-05,7.6016e-05,-0.0097161,-0.0097341,-0.0098657,0,0,0.00052335,0,0,0,0
-3.2745e-05,-2.9287e-05,3.4393e-05,2.0451e-06,3.1835e-05,5.1245e-07,2.1296e-05,-2.1525e-05,-3.3888e-05,-0.0065434,-3.2244e-05,0.00028092,-0.0096687,-9.0451e-06,2.2252e-05,6.9769e-05,-0.0096865,-0.009766,-0.0099176,0,0,0.00047101,0,0,0,0
-2.9501e-05,-2.6366e-05,3.0842e-05,1.8778e-06,2.8648e-05,3.1692e-07,1.9177e-05,-1.9389e-05,-3.0531e-05,-0.0065697,-2.9122e-05,0.00026454,-0.009715,-9.0141e-06,2.0999e-05,6.4041e-05,-0.0096599,-0.0097947,-0.0099643,0,0,0.00042391,0,0,0,0
-2.658e-05,-2.3735e-05,2.7656e-05,1.7243e-06,2.5779e-05,1.5231e-07,1.7269e-05,-1.7465e-05,-2.7507e-05,-0.0065933,-2.6304e-05,0.00024887,-0.0097568,-8.9174e-06,1.9794e-05,5.8787e-05,-0.009636,-0.0098206,-0.010006,0,0,0.00038152,0,0,0,0
-2.3948e-05,-2.1368e-05,2.4796e-05,1.5834e-06,2.3198e-05,1.4613e-08,1.5552e-05,-1.5732e-05,-2.4784e-05,-0.0066143,-2.3761e-05,0.00023392,-0.0097944,-8.767e-06,1.864e-05,5.3968e-05,-0.0096144,-0.0098439,-0.010044,0,0,0.00034337,0,0,0,0
-2.1577e-05,-1.9236e-05,2.2229e-05,1.4542e-06,2.0875e-05,-9.9674e-08,1.4005e-05,-1.4171e-05,-2.2331e-05,-0.0066332,-2.1465e-05,0.00021968,-0.0098283,-8.5734e-06,1.7536e-05,4.9547e-05,-0.009595,-0.0098649,-0.010078,0,0,0.00030903,0,0,0,0
-1.9441e-05,-1.7318e-05,1.9926e-05,1.3356e-06,1.8785e-05,-1.9365e-07,1.2612e-05,-1.2766e-05,-2.0121e-05,-0.00665,-1.9393e-05,0.00020615,-0.0098588,-8.3453e-06,1.6482e-05,4.5492e-05,-0.0095775,-0.0098838,-0.010109,0,0,0.00027813,0,0,0,0
-1.7518e-05,-1.5591e-05,1.786e-05,1.2267e-06,1.6903e-05,-2.7005e-07,1.1358e-05,-1.15e-05,-1.813e-05,-0.0066651,-1.7522e-05,0.00019331,-0.0098862,-8.0905e-06,1.5479e-05,4.1771e-05,-0.0095617,-0.0099008,-0.010137,0,0,0.00025032,0,0,0,0
-1.5785e-05,-1.4036e-05,1.6006e-05,1.1268e-06,1.5211e-05,-3.3128e-07,1.0229e-05,-1.036e-05,-1.6337e-05,-0.0066786,-1.5832e-05,0.00018114,-0.009911,-7.8156e-06,1.4526e-05,3.8358e-05,-0.0095475,-0.0099162,-0.010162,0,0,0.00022528,0,0,0,0
-1.4224e-05,-1.2636e-05,1.4343e-05,1.0351e-06,1.3687e-05,-3.7943e-07,9.212e-06,-9.3329e-06,-1.4721e-05,-0.0066906,-1.4307e-05,0.00016962,-0.0099332,-7.5261e-06,1.3621e-05,3.5225e-05,-0.0095348,-0.00993,-0.010185,0,0,0.00020276,0,0,0,0
-1.2817e-05,-1.1376e-05,1.2851e-05,9.5089e-07,1.2317e-05,-4.1638e-07,8.2963e-06,-8.408e-06,-1.3265e-05,-0.0067014,-1.293e-05,0.00015873,-0.0099533,-7.2269e-06,1.2763e-05,3.2351e-05,-0.0095232,-0.0099424,-0.010205,0,0,0.00018248,0,0,0,0
-1.155e-05,-1.0242e-05,1.1513e-05,8.7359e-07,1.1083e-05,-4.4373e-07,7.4718e-06,-7.5749e-06,-1.1954e-05,-0.006711,-1.1686e-05,0.00014846,-0.0099714,-6.9219e-06,1.1952e-05,2.9713e-05,-0.0095129,-0.0099536,-0.010223,0,0,0.00016423,0,0,0,0
