piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3
-0.0013327,-0.00022663,0.00068525,0.00051376,0.0011431,-0.00097165,0.0035024,0.0018762,-0.0015989,0.0041303,-0.0016732,0.00084112,0.010789,0.0021567,0.00041644,0.0068452,0.0048586,0.0027788,-0.0024469
-0.0011727,-0.0010767,0.00032525,0.00027285,0.00064517,-0.00059277,-0.00026081,0.00028001,-0.0012859,0.0024907,-0.0016125,0.001563,0.0081318,0.0018781,0.00039029,0.0062475,0.0044968,0.0031935,-0.0044148
-0.001042,-0.0010718,0.00014743,0.00017488,0.00036703,-0.00039449,-0.0011853,-0.00055362,-0.0010775,0.00092553,-0.0015044,0.0021624,0.005561,0.0016339,0.00039302,0.0057066,0.0028525,0.0023736,-0.0060638
-0.00093153,-0.0010109,5.5998e-05,0.00012825,0.00021447,-0.00028672,-0.0013511,-0.00094037,-0.00092848,-0.00052055,-0.0013831,0.0026486,0.0031651,0.0014185,0.00040252,0.0052133,0.00097823,0.00098082,-0.0074847
-0.00083577,-0.00093238,7.9509e-06,0.00010274,0.00013092,-0.00022571,-0.0013103,-0.0010847,-0.00081456,-0.0018369,-0.0012623,0.003034,0.00096792,0.0012284,0.00041161,0.0047628,-0.00083952,-0.00062564,-0.0087312
-0.00075148,-0.00085069,-1.7546e-05,8.7047e-05,8.4683e-05,-0.00018928,-0.0012148,-0.0011037,-0.00072265,-0.0030259,-0.0011475,0.0033312,-0.0010308,0.001061,0.00041797,0.0043514,-0.0025247,-0.0022603,-0.0098371
-0.00067658,-0.00077174,-3.1057e-05,7.6346e-05,5.8545e-05,-0.00016595,-0.0011082,-0.0010614,-0.0006455,-0.0040953,-0.0010408,0.0035522,-0.0028412,0.00091362,0.00042096,0.0039758,-0.004062,-0.0038324,-0.010825
-0.00060962,-0.00069789,-3.8085e-05,6.8376e-05,4.325e-05,-0.00014971,-0.0010041,-0.00099169,-0.00057896,-0.0050546,-0.00094291,0.003708,-0.0044771,0.0007842,0.00042065,0.0036329,-0.005455,-0.0053011,-0.011711
-0.00054956,-0.00062998,-4.1539e-05,6.2007e-05,3.3855e-05,-0.0001374,-0.00090688,-0.00091209,-0.00052056,-0.0059139,-0.00085365,0.0038082,-0.0059533,0.00067067,0.00041734,0.00332,-0.006713,-0.006652,-0.012508
-0.00049557,-0.00056808,-4.2982e-05,5.6643e-05,2.7722e-05,-0.00012735,-0.00081764,-0.0008315,-0.00046875,-0.0066829,-0.00077256,0.0038614,-0.0072844,0.00057124,0.00041147,0.0030343,-0.0078473,-0.0078835,-0.013225
-0.00044696,-0.00051195,-4.326e-05,5.1963e-05,2.3437e-05,-0.00011866,-0.00073646,-0.0007542,-0.00042247,-0.0073705,-0.00069907,0.0038752,-0.0084839,0.00048428,0.00040343,0.0027736,-0.0088689,-0.0090005,-0.013872
-0.00040319,-0.00046121,-4.2845e-05,4.7786e-05,2.0239e-05,-0.00011087,-0.00066298,-0.0006821,-0.00038096,-0.0079851,-0.00063253,0.0038562,-0.0095648,0.00040837,0.00039363,0.0025355,-0.0097886,-0.010011,-0.014455
-0.00036373,-0.00041542,-4.2e-05,4.4006e-05,1.7713e-05,-0.00010372,-0.00059664,-0.00061585,-0.00034366,-0.0085341,-0.00057232,0.0038101,-0.010538,0.0003422,0.00038242,0.0023182,-0.010616,-0.010923,-0.01498
-0.00032817,-0.00037413,-4.0884e-05,4.0558e-05,1.5631e-05,-9.7072e-05,-0.00053683,-0.00055548,-0.00031007,-0.0090245,-0.00051787,0.0037419,-0.011416,0.00028465,0.00037013,0.0021197,-0.011361,-0.011746,-0.015455
-0.0002961,-0.00033692,-3.9591e-05,3.7395e-05,1.3861e-05,-9.0847e-05,-0.00048295,-0.00050075,-0.00027982,-0.0094624,-0.00046863,0.0036559,-0.012206,0.00023468,0.00035704,0.0019385,-0.012031,-0.012487,-0.015883
-0.00026718,-0.0003034,-3.8183e-05,3.4488e-05,1.2327e-05,-8.4998e-05,-0.00043445,-0.00045126,-0.00025254,-0.0098532,-0.00042411,0.0035558,-0.012917,0.00019141,0.00034337,0.001773,-0.012634,-0.013156,-0.01627
-0.00024111,-0.00027322,-3.6703e-05,3.181e-05,1.098e-05,-7.9493e-05,-0.00039081,-0.00040659,-0.00022795,-0.010202,-0.00038385,0.0034449,-0.013558,0.00015402,0.00032934,0.0016217,-0.013176,-0.013758,-0.016619
-0.00021759,-0.00024603,-3.518e-05,2.9342e-05,9.7894e-06,-7.4311e-05,-0.00035153,-0.0003663,-0.00020576,-0.010513,-0.00034744,0.0033257,-0.014136,0.0001218,0.00031512,0.0014836,-0.013663,-0.0143,-0.016933
-0.00019637,-0.00022156,-3.3636e-05,2.7066e-05,8.731e-06,-6.9433e-05,-0.00031619,-0.00032999,-0.00018575,-0.010791,-0.00031452,0.0032008,-0.014656,9.413e-05,0.00030084,0.0013574,-0.014102,-0.014789,-0.017218
-0.00017724,-0.00019952,-3.209e-05,2.4966e-05,7.788e-06,-6.4845e-05,-0.0002844,-0.00029727,-0.0001677,-0.011038,-0.00028475,0.003072,-0.015125,7.0446e-05,0.00028664,0.001242,-0.014497,-0.015229,-0.017474
-0.00015998,-0.00017967,-3.0554e-05,2.3029e-05,6.9466e-06,-6.053e-05,-0.0002558,-0.0002678,-0.00015141,-0.011258,-0.00025782,0.002941,-0.015547,5.0253e-05,0.0002726,0.0011366,-0.014851,-0.015626,-0.017706
-0.00014441,-0.0001618,-2.904e-05,2.1242e-05,6.1952e-06,-5.6477e-05,-0.00023007,-0.00024125,-0.00013672,-0.011455,-0.00023346,0.0028093,-0.015927,3.3114e-05,0.00025882,0.0010403,-0.015171,-0.015983,-0.017915
-0.00013036,-0.00014571,-2.7555e-05,1.9593e-05,5.5239e-06,-5.2673e-05,-0.00020693,-0.00021733,-0.00012345,-0.01163,-0.00021143,0.002678,-0.016269,1.8643e-05,0.00024536,0.0009522,-0.015458,-0.016305,-0.018104
-0.00011768,-0.00013122,-2.6107e-05,1.8072e-05,4.9241e-06,-4.9104e-05,-0.00018611,-0.00019579,-0.00011149,-0.011785,-0.0001915,0.002548,-0.016578,6.4968e-06,0.00023226,0.00087168,-0.015716,-0.016595,-0.018275
-0.00010625,-0.00011817,-2.4701e-05,1.6668e-05,4.3881e-06,-4.5758e-05,-0.00016738,-0.00017639,-0.00010069,-0.011924,-0.00017346,0.0024202,-0.016856,-3.6255e-06,0.00021958,0.00079805,-0.015948,-0.016856,-0.018429
-9.5932e-05,-0.00010642,-2.3341e-05,1.5373e-05,3.9092e-06,-4.2624e-05,-0.00015054,-0.00015891,-9.0937e-05,-0.012047,-0.00015714,0.0022951,-0.017106,-1.199e-05,0.00020733,0.00073072,-0.016157,-0.017092,-0.018568
-8.6622e-05,-9.5846e-05,-2.2029e-05,1.4178e-05,3.4814e-06,-3.9689e-05,-0.00013538,-0.00014317,-8.2139e-05,-0.012157,-0.00014237,0.0021734,-0.017332,-1.8831e-05,0.00019554,0.00066914,-0.016345,-0.017304,-0.018694
