piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00026385,0.00084072,0.00057291,-1.2232e-05,0.00015407,0.00043108,0.0011825,0.00051564,0.00023988,-0.0054135,0.00068912,0.0023,0.0010845,0.0018542,-0.0019248,-0.0024177,0.0016404,0.00076371,0.00036711,0,0,0,0,0,0.01,0
0.00022155,0.00011208,0.00043288,-3.5977e-05,9.6665e-05,0.0003722,0.00027317,0.00032189,0.00021379,-0.0046853,0.00055431,0.0040785,0.0013144,0.0014167,-0.0014678,-0.0018298,0.0020193,0.0012405,0.00069429,0,0,0,0,0,0.0085,0
0.0001847,8.0081e-05,0.00033414,-3.5018e-05,6.138e-05,0.00030778,3.8584e-05,0.00019742,0.00018459,-0.004055,0.00044861,0.0054248,0.0014819,0.0010579,-0.0010879,-0.0013466,0.0020728,0.0015328,0.00097677,0,0,0,0,0,0.007225,0
0.00015307,6.1442e-05,0.00025953,-2.8023e-05,4.0307e-05,0.00024725,-1.9662e-05,0.00012299,0.00015629,-0.0035024,0.000363,0.0064158,0.0016107,0.00076458,-0.00077603,-0.00095198,0.0020456,0.001715,0.0012159,0,0,0,0,0,0.0061412,0
0.00012617,4.8776e-05,0.00020111,-2.0228e-05,2.7584e-05,0.00019375,-3.1229e-05,7.896e-05,0.00013058,-0.0030147,0.00029273,0.0071164,0.0017123,0.00052584,-0.00052208,-0.00063173,0.0020022,0.0018319,0.0014158,0,0,0,0,0,0.0052201,0
0.00010344,3.937e-05,0.00015448,-1.3112e-05,1.9649e-05,0.00014794,-3.0412e-05,5.2451e-05,0.000108,-0.0025826,0.00023476,0.0075813,0.0017933,0.00033267,-0.00031681,-0.00037351,0.0019601,0.0019096,0.0015811,0,0,0,0,0,0.0044371,0
8.434e-05,3.2033e-05,0.00011691,-7.0483e-06,1.4477e-05,0.00010948,-2.6523e-05,3.5935e-05,8.8572e-05,-0.0021985,0.00018683,0.0078558,0.001858,0.00017745,-0.00015221,-0.0001669,0.0019233,0.0019629,0.0017166,0,0,0,0,0,0.0037715,0
6.8336e-05,2.6151e-05,8.6503e-05,-2.0565e-06,1.0936e-05,7.7623e-05,-2.2183e-05,2.5188e-05,7.206e-05,-0.0018564,0.00014723,0.0079782,0.0019097,5.3798e-05,-2.1467e-05,-3.1464e-06,0.0018925,0.0020002,0.0018269,0,0,0,0,0,0.0032058,0
5.4971e-05,2.1358e-05,6.1879e-05,1.957e-06,8.3954e-06,5.1526e-05,-1.8143e-05,1.7868e-05,5.8147e-05,-0.0015511,0.00011454,0.0079798,0.0019507,-4.3673e-05,8.1204e-05,0.00012512,0.0018673,0.0020266,0.0019159,0,0,0,0,0,0.0027249,0
4.3842e-05,1.7416e-05,4.1975e-05,5.118e-06,6.499e-06,3.0358e-05,-1.4599e-05,1.2664e-05,4.6494e-05,-0.0012781,8.7627e-05,0.0078869,0.0019831,-0.00011949,0.00016066,0.00022409,0.0018471,0.0020454,0.001987,0,0,0,0,0,0.0023162,0
