piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00023465,-0.00056809,0.00060574,9.7684e-05,0.00016846,0.0003396,-0.000822,-0.00041769,-0.00021769,-0.0026896,-4.9603e-05,0.0011037,0.00036336,0.0011271,0.00090587,-0.00026694,-0.0011403,-0.00061864,-0.00033314,0.01,0,0,0,0,0,0
-0.00020376,-0.00019341,0.00052433,0.00010381,0.00016251,0.00025802,-0.00030672,-0.00028908,-0.00019683,-0.0027166,-4.3918e-05,0.0019524,-9.5159e-05,0.00088285,0.00085857,-0.00011815,-0.0015658,-0.0010468,-0.00063437,0.0085,0,0,0,0,0,0
-0.00017653,-0.00015718,0.00044547,9.7069e-05,0.00014947,0.00019893,-0.0001554,-0.00020423,-0.00017459,-0.0027211,-4.2485e-05,0.0025931,-0.00047373,0.00068086,0.00080885,-9.1152e-07,-0.0017814,-0.0013493,-0.00090156,0.007225,0,0,0,0,0,0
-0.00015278,-0.000131,0.0003747,8.747e-05,0.00013324,0.00015399,-0.00010221,-0.00015031,-0.00015325,-0.0027113,-4.2238e-05,0.0030638,-0.00079196,0.0005146,0.00075953,9.0792e-05,-0.0019232,-0.0015719,-0.0011361,0.0061412,0,0,0,0,0,0
-0.00013219,-0.00011042,0.00031311,7.7822e-05,0.0001165,0.00011879,-7.7441e-05,-0.00011543,-0.00013375,-0.0026918,-4.2147e-05,0.003396,-0.0010617,0.00037832,0.00071162,0.00016153,-0.0020306,-0.0017429,-0.0013408,0.0052201,0,0,0,0,0,0
-0.00011441,-9.3614e-05,0.00026033,6.8916e-05,0.00010066,9.0753e-05,-6.2256e-05,-9.1902e-05,-0.00011638,-0.0026656,-4.1865e-05,0.003616,-0.0012914,0.00026715,0.00066557,0.00021503,-0.002117,-0.001879,-0.0015189,0.0044371,0,0,0,0,0,0
-9.9082e-05,-7.9629e-05,0.00021548,6.0937e-05,8.6335e-05,6.8212e-05,-5.1203e-05,-7.5189e-05,-0.00010113,-0.0026347,-4.1293e-05,0.0037456,-0.0014874,0.00017694,0.00062159,0.0002544,-0.002188,-0.0019903,-0.0016736,0.0037715,0,0,0,0,0,0
-8.5883e-05,-6.7875e-05,0.00017759,5.3879e-05,7.3705e-05,5.001e-05,-4.2485e-05,-6.2716e-05,-8.7853e-05,-0.0026007,-4.0432e-05,0.0038028,-0.001655,0.00010421,0.00057978,0.00028224,-0.0022469,-0.0020832,-0.0018081,0.0032058,0,0,0,0,0,0
-7.4518e-05,-5.794e-05,0.00014571,4.7669e-05,6.2737e-05,3.5299e-05,-3.5369e-05,-5.3008e-05,-7.6341e-05,-0.0025647,-3.9318e-05,0.0038027,-0.0017986,4.603e-05,0.00054018,0.00030071,-0.002296,-0.0021617,-0.0019249,0.0027249,0,0,0,0,0,0
-6.4731e-05,-4.9511e-05,0.00011895,4.222e-05,5.3296e-05,2.3434e-05,-2.9472e-05,-4.5206e-05,-6.6384e-05,-0.0025276,-3.8002e-05,0.0037577,-0.0019217,-7.4796e-08,0.00050278,0.00031162,-0.0023369,-0.0022287,-0.0020265,0.0023162,0,0,0,0,0,0
-5.6299e-05,-4.2346e-05,9.656e-05,3.7442e-05,4.5215e-05,1.3903e-05,-2.4551e-05,-3.8788e-05,-5.7782e-05,-0.00249,-3.6534e-05,0.0036781,-0.0020273,-3.6178e-05,0.00046755,0.00031649,-0.0023709,-0.0022861,-0.0021149,0.0019687,0,0,0,0,0,0
-4.9029e-05,-3.6244e-05,7.7869e-05,3.3252e-05,3.8322e-05,6.2947e-06,-2.043e-05,-3.3423e-05,-5.0352e-05,-0.0024526,-3.4958e-05,0.0035724,-0.002118,-6.4023e-05,0.00043445,0.00031657,-0.0023993,-0.0023356,-0.002192,0.0016734,0,0,0,0,0,0
-4.2755e-05,-3.1044e-05,6.2304e-05,2.9575e-05,3.2456e-05,2.7303e-07,-1.6973e-05,-2.8891e-05,-4.3933e-05,-0.0024158,-3.3314e-05,0.0034474,-0.002196,-8.5073e-05,0.00040339,0.0003129,-0.0024228,-0.0023784,-0.0022592,0.0014224,0,0,0,0,0,0
-3.7337e-05,-2.6608e-05,4.9374e-05,2.6344e-05,2.747e-05,-4.4403e-06,-1.4072e-05,-2.5034e-05,-3.8385e-05,-0.0023798,-3.1636e-05,0.0033088,-0.002263,-0.00010055,0.00037431,0.00030632,-0.0024423,-0.0024155,-0.002318,0.0012091,0,0,0,0,0,0
-3.2654e-05,-2.2821e-05,3.8663e-05,2.3502e-05,2.3236e-05,-8.0759e-06,-1.1637e-05,-2.1735e-05,-3.3585e-05,-0.002345,-2.9948e-05,0.0031612,-0.0023208,-0.00011149,0.00034711,0.00029756,-0.0024585,-0.0024477,-0.0023694,0.0010277,0,0,0,0,0,0
-2.86e-05,-1.9587e-05,2.9817e-05,2.0999e-05,1.9645e-05,-1.0826e-05,-9.594e-06,-1.8905e-05,-2.9429e-05,-0.0023114,-2.8274e-05,0.0030083,-0.0023706,-0.00011873,0.00032172,0.00028719,-0.0024718,-0.0024757,-0.0024144,0.00087354,0,0,0,0,0,0
-2.5088e-05,-1.6824e-05,2.2537e-05,1.879e-05,1.6598e-05,-1.2851e-05,-7.8821e-06,-1.6471e-05,-2.5827e-05,-0.0022792,-2.6629e-05,0.0028531,-0.0024135,-0.00012301,0.00029803,0.00027567,-0.0024827,-0.0025001,-0.0024539,0.00074251,0,0,0,0,0,0
-2.2041e-05,-1.4462e-05,1.657e-05,1.6838e-05,1.4016e-05,-1.4285e-05,-6.4489e-06,-1.4373e-05,-2.27e-05,-0.0022485,-2.5027e-05,0.0026978,-0.0024506,-0.0001249,0.00027597,0.0002634,-0.0024917,-0.0025214,-0.0024887,0.00063113,0,0,0,0,0,0
-1.9395e-05,-1.2441e-05,1.1701e-05,1.5111e-05,1.1829e-05,-1.5239e-05,-5.2506e-06,-1.2561e-05,-1.9984e-05,-0.0022193,-2.3477e-05,0.0025444,-0.0024827,-0.00012491,0.00025543,0.00025068,-0.0024989,-0.00254,-0.0025192,0.00053646,0,0,0,0,0,0
