piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.0015283,0.0048026,0.0038118,-6.7458e-06,0.0010714,0.0027472,0.0070633,0.0031392,0.0013769,0.025837,0.0042408,0.012738,0.0066209,0.010412,-0.010552,-0.013117,0.0097984,0.0046493,0.0021072,0,0.01,0,0,0,0,0
0.0012096,0.00044435,0.002729,-0.00016312,0.00064152,0.0022506,0.0012786,0.0017744,0.0011672,0.02029,0.0032109,0.021954,0.0076025,0.0074465,-0.0075135,-0.009246,0.011572,0.0072774,0.0038934,0,0.008,0,0,0,0,0
0.00094868,0.00026346,0.001986,-0.00016083,0.00038352,0.0017633,-0.00013621,0.0009431,0.00095528,0.015908,0.0024404,0.028411,0.0082193,0.0051469,-0.0051275,-0.00624,0.011383,0.0086742,0.0053553,0,0.0064,0,0,0,0,0
0.00073774,0.00017068,0.0014482,-0.00012137,0.00023312,0.0013365,-0.00042459,0.00047595,0.00076383,0.012492,0.0018492,0.032727,0.0086322,0.0033715,-0.003279,-0.0039248,0.010794,0.0093791,0.0065243,0,0.00512,0,0,0,0,0
0.00056867,0.00011584,0.001048,-7.8258e-05,0.00014523,0.00098105,-0.00042802,0.00022268,0.00060008,0.0098574,0.0013909,0.035396,0.0089158,0.00201,-0.0018614,-0.0021566,0.0102,0.0097089,0.0074426,0,0.004096,0,0,0,0,0
0.00043405,8.0304e-05,0.0007459,-4.0513e-05,9.2873e-05,0.00069354,-0.00036668,8.8137e-05,0.00046434,0.0078463,0.0010344,0.036806,0.0091114,0.00097469,-0.0007859,-0.00081951,0.0096918,0.0098395,0.0081532,0,0.0032768,0,0,0,0,0
0.00032745,5.5909e-05,0.00051624,-9.9745e-06,6.0759e-05,0.00046545,-0.00029823,1.7933e-05,0.00035403,0.0063296,0.00075686,0.037267,0.0092445,0.00019625,1.9856e-05,0.00017873,0.0092781,0.009866,0.008695,0,0.0026214,0,0,0,0,0
0.00024342,3.8547e-05,0.00034132,1.3684e-05,4.0377e-05,0.00028726,-0.0002371,-1.7802e-05,0.00026559,0.0052028,0.00054121,0.03702,0.009332,-0.00038062,0.00061375,0.00091158,0.0089492,0.0098397,0.0091014,0,0.0020972,0,0,0,0,0
0.0001775,2.5905e-05,0.00020832,3.1403e-05,2.6976e-05,0.00014994,-0.00018599,-3.5178e-05,0.00019539,0.0043819,0.00037416,0.036256,0.009386,-0.00079983,0.001042,0.0014373,0.0086912,0.0097876,0.0094005,0,0.0016777,0,0,0,0,0
0.00012604,1.6575e-05,0.0001077,4.4226e-05,1.7871e-05,4.5607e-05,-0.00014436,-4.282e-05,0.00014014,0.0037997,0.00024537,0.035122,0.009415,-0.0010962,0.0013413,0.0018022,0.0084909,0.0097242,0.0096149,0,0.0013422,0,0,0,0,0
8.6087e-05,9.6439e-06,3.2209e-05,5.3114e-05,1.1513e-05,-3.2418e-05,-0.00011093,-4.5333e-05,9.6983e-05,0.0034029,0.0001467,0.033733,0.0094257,-0.0012974,0.0015408,0.0020427,0.008337,0.009657,0.0097634,0,0.0010737,0,0,0,0,0
5.5259e-05,4.4929e-06,-2.3749e-05,5.8899e-05,6.9822e-06,-8.963e-05,-8.4293e-05,-4.5176e-05,6.3524e-05,0.003149,7.1732e-05,0.032179,0.0094227,-0.0014253,0.0016637,0.0021878,0.0082201,0.0095901,0.0098606,0,0.00085899,0,0,0,0,0
3.1656e-05,6.8328e-07,-6.4517e-05,6.2273e-05,3.7109e-06,-0.0001305,-6.3211e-05,-4.3664e-05,3.7798e-05,0.0030046,1.5379e-05,0.030527,0.0094099,-0.0014971,0.0017281,0.0022603,0.0081324,0.0095254,0.0099184,0,0.00068719,0,0,0,0,0
1.3754e-05,-2.1048e-06,-9.3496e-05,6.38e-05,1.3355e-06,-0.00015863,-4.6612e-05,-4.1498e-05,1.8207e-05,0.0029432,-2.638e-05,0.028829,0.0093902,-0.0015265,0.0017483,0.0022782,0.0080677,0.009464,0.0099463,0,0.00054976,0,0,0,0,0
