piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00017283,-5.5894e-05,0.0011532,0.0001372,0.00034275,0.00067324,9.0743e-05,0.00025508,0.00016719,-0.0017553,0.00031238,0.0012171,0.0014519,0.001336,0.00090003,-0.0001566,0.00012588,0.0003778,0.00025585,0,0,0,0,0,0,0.01
0.00013408,0.00015885,0.00091416,0.00011285,0.00026453,0.00053678,0.00010787,0.00015679,0.00013254,-0.0014217,0.00023404,0.0020953,0.0014051,0.0009871,0.00081412,-1.5124e-06,0.00027552,0.00061001,0.00045869,0,0,0,0,0,0,0.008
0.00010178,0.00012163,0.00072407,9.2881e-05,0.00020668,0.00042451,8.9539e-05,9.7506e-05,0.00010217,-0.0011481,0.000172,0.0027098,0.0013564,0.00071397,0.00073781,0.00011199,0.00039973,0.00075443,0.00061505,0,0,0,0,0,0,0.0064
7.5058e-05,9.1493e-05,0.00057248,7.6847e-05,0.00016271,0.00033292,6.7188e-05,5.9612e-05,7.6252e-05,-0.0009236,0.00012298,0.0031202,0.0013061,0.00050111,0.00066984,0.00019323,0.00049294,0.00084272,0.00073174,0,0,0,0,0,0,0.00512
5.3108e-05,6.7148e-05,0.00045132,6.3966e-05,0.00012867,0.00025868,4.7588e-05,3.4182e-05,5.4547e-05,-0.00073945,8.433e-05,0.0033736,0.0012546,0.00033607,0.00060908,0.00024953,0.00055895,0.00089334,0.00081521,0,0,0,0,0,0,0.004096
3.5206e-05,4.7497e-05,0.00035437,5.3558e-05,0.00010198,0.00019883,3.1618e-05,1.6446e-05,3.6622e-05,-0.00058849,5.3989e-05,0.0035073,0.0012022,0.00020893,0.00055459,0.00028664,0.00060281,0.0009177,0.00087126,0,0,0,0,0,0,0.0032768
2.072e-05,3.1673e-05,0.00027678,4.5097e-05,8.0893e-05,0.00015079,1.8893e-05,3.7296e-06,2.1994e-05,-0.00046489,3.0306e-05,0.0035507,0.0011493,0.00011174,0.00050559,0.00030909,0.00062902,0.00092323,0.00090492,0,0,0,0,0,0,0.0026214
9.1033e-06,1.8987e-05,0.00021471,3.8179e-05,6.4137e-05,0.00011239,8.8562e-06,-5.5384e-06,1.0194e-05,-0.00036388,1.1965e-05,0.0035269,0.001096,3.8194e-05,0.00046141,0.00032045,0.00064131,0.00091502,0.00092052,0,0,0,0,0,0,0.0020972
-1.1559e-07,8.8833e-06,0.0001651,3.2493e-05,5.0781e-05,8.1825e-05,1.0087e-06,-1.2328e-05,7.8612e-07,-0.0002815,-2.0931e-06,0.0034537,0.0010428,-1.6745e-05,0.0004215,0.0003235,0.00064271,0.00089676,0.00092172,0,0,0,0,0,0,0.0016777
-7.3379e-06,9.0694e-07,0.00012552,2.7798e-05,4.0116e-05,5.7611e-05,-5.0612e-06,-1.7272e-05,-6.6121e-06,-0.00021449,-1.2719e-05,0.0033455,0.0009899,-5.7084e-05,0.00038537,0.00032043,0.00063569,0.00087118,0.0009116,0,0,0,0,0,0,0.0013422
-1.2905e-05,-5.3172e-06,9.4025e-05,2.3904e-05,3.1591e-05,3.853e-05,-9.688e-06,-2.0807e-05,-1.2336e-05,-0.00016017,-2.0603e-05,0.0032131,0.00093766,-8.6009e-05,0.00035261,0.00031293,0.00062225,0.00084037,0.00089272,0,0,0,0,0,0,0.0010737
-1.7106e-05,-1.0101e-05,6.9026e-05,2.0658e-05,2.4778e-05,2.3589e-05,-1.3144e-05,-2.3247e-05,-1.6672e-05,-0.00011631,-2.6302e-05,0.0030649,0.00088635,-0.00010605,0.00032286,0.00030231,0.00060401,0.00080593,0.00086721,0,0,0,0,0,0,0.00085899
-2.0186e-05,-1.3703e-05,4.9258e-05,1.7942e-05,1.9334e-05,1.1982e-05,-1.5654e-05,-2.4829e-05,-1.9866e-05,-8.1051e-05,-3.0267e-05,0.0029075,0.00083621,-0.00011922,0.0002958,0.00028959,0.0005823,0.00076916,0.00083681,0,0,0,0,0,0,0.00068719
-2.2349e-05,-1.6341e-05,3.3697e-05,1.5657e-05,1.4989e-05,3.0505e-06,-1.7399e-05,-2.5738e-05,-2.2125e-05,-5.2867e-05,-3.2864e-05,0.0027456,0.00078747,-0.0001271,0.00027117,0.00027554,0.00055816,0.00073104,0.00080295,0,0,0,0,0,0,0.00054976
-2.3769e-05,-1.8194e-05,2.1516e-05,1.3726e-05,1.1526e-05,-3.7367e-06,-1.8532e-05,-2.6117e-05,-2.3624e-05,-3.0489e-05,-3.4386e-05,0.0025832,0.00074031,-0.00013096,0.00024871,0.00026076,0.00053245,0.00069236,0.00076679,0,0,0,0,0,0,0.0004398
-2.459e-05,-1.9413e-05,1.2046e-05,1.2087e-05,8.7704e-06,-8.8111e-06,-1.9176e-05,-2.6084e-05,-2.4509e-05,-1.2867e-05,-3.5072e-05,0.0024228,0.00069486,-0.00013178,0.00022821,0.00024567,0.00050585,0.00065373,0.00072929,0,0,0,0,0,0,0.00035184
-2.4932e-05,-2.0124e-05,4.7495e-06,1.0688e-05,6.5832e-06,-1.2522e-05,-1.9433e-05,-2.5732e-05,-2.4904e-05,8.6624e-07,-3.5115e-05,0.0022664,0.00065123,-0.00013034,0.00020948,0.00023062,0.00047889,0.00061562,0.00069117,0,0,0,0,0,0,0.00028147
-2.4897e-05,-2.0429e-05,-8.1084e-07,9.4889e-06,4.8521e-06,-1.5152e-05,-1.9388e-05,-2.5139e-05,-2.491e-05,1.143e-05,-3.4668e-05,0.0021155,0.0006095,-0.00012725,0.00019237,0.00021584,0.000452,0.00057838,0.00065305,0,0,0,0,0,0,0.00022518
-2.4566e-05,-2.0415e-05,-4.9864e-06,8.4552e-06,3.4869e-06,-1.6929e-05,-1.9109e-05,-2.4365e-05,-2.4612e-05,1.9418e-05,-3.3855e-05,0.0019709,0.00056972,-0.000123,0.00017671,0.0002015,0.00042549,0.0005423,0.00061539,0,0,0,0,0,0,0.00018014
-2.4009e-05,-2.0152e-05,-8.0611e-06,7.5601e-06,2.4148e-06,-1.8036e-05,-1.8653e-05,-2.3462e-05,-2.408e-05,2.532e-05,-3.2775e-05,0.0018334,0.00053191,-0.00011795,0.00016237,0.00018772,0.00039961,0.00050755,0.00057854,0,0,0,0,0,0,0.00014412
-2.3282e-05,-1.9699e-05,-1.0264e-05,6.7811e-06,1.5774e-06,-1.8622e-05,-1.8065e-05,-2.2468e-05,-2.3372e-05,2.954e-05,-3.1507e-05,0.0017031,0.00049607,-0.00011238,0.00014923,0.00017458,0.00037455,0.00047427,0.00054277,0,0,0,0,0,0,0.00011529
-2.2431e-05,-1.9104e-05,-1.1779e-05,6.1001e-06,9.2769e-07,-1.8807e-05,-1.7382e-05,-2.1418e-05,-2.2535e-05,3.2411e-05,-3.0114e-05,0.0015803,0.00046218,-0.00010653,0.00013719,0.00016211,0.00035044,0.00044255,0.00050828,0,0,0,0,0,0,9.2234e-05
-2.1494e-05,-1.8406e-05,-1.2755e-05,5.5019e-06,4.2774e-07,-1.8684e-05,-1.6635e-05,-2.0336e-05,-2.1608e-05,3.4205e-05,-2.8643e-05,0.0014649,0.00043021,-0.00010054,0.00012615,0.00015035,0.00032736,0.00041243,0.00047521,0,0,0,0,0,0,7.3787e-05
-2.0501e-05,-1.7635e-05,-1.331e-05,4.9744e-06,4.7092e-08,-1.8332e-05,-1.5847e-05,-1.9243e-05,-2.0621e-05,3.5147e-05,-2.7135e-05,0.0013568,0.00040011,-9.456e-05,0.00011602,0.0001393,0.00030538,0.00038393,0.00044366,0,0,0,0,0,0,5.903e-05
-1.9477e-05,-1.6818e-05,-1.3542e-05,4.5072e-06,-2.3876e-07,-1.781e-05,-1.5038e-05,-1.8156e-05,-1.9601e-05,3.542e-05,-2.5617e-05,0.0012558,0.00037182,-8.8669e-05,0.00010672,0.00012894,0.00028452,0.00035704,0.00041366,0,0,0,0,0,0,4.7224e-05
-1.8442e-05,-1.5975e-05,-1.3525e-05,4.0918e-06,-4.495e-07,-1.7168e-05,-1.4222e-05,-1.7086e-05,-1.8566e-05,3.5176e-05,-2.4113e-05,0.0011616,0.00034529,-8.2939e-05,9.8183e-05,0.00011926,0.00026479,0.00033173,0.00038525,0,0,0,0,0,0,3.7779e-05
-1.7409e-05,-1.5123e-05,-1.3322e-05,3.7211e-06,-6.0096e-07,-1.6443e-05,-1.3411e-05,-1.6043e-05,-1.7533e-05,3.4535e-05,-2.2641e-05,0.0010738,0.00032043,-7.7415e-05,9.034e-05,0.00011024,0.00024618,0.00030797,0.00035841,0,0,0,0,0,0,3.0223e-05
-1.6392e-05,-1.4273e-05,-1.2982e-05,3.3893e-06,-7.0581e-07,-1.5665e-05,-1.2615e-05,-1.5034e-05,-1.6515e-05,3.3597e-05,-2.1212e-05,0.00099226,0.00029719,-7.213e-05,8.3134e-05,0.00010184,0.00022868,0.00028571,0.00033314,0,0,0,0,0,0,2.4179e-05
-1.5399e-05,-1.3437e-05,-1.2542e-05,3.0914e-06,-7.7423e-07,-1.4859e-05,-1.184e-05,-1.4064e-05,-1.5519e-05,3.2442e-05,-1.9835e-05,0.00091652,0.00027547,-6.7103e-05,7.6512e-05,9.4046e-05,0.00021226,0.00026488,0.00030939,0,0,0,0,0,0,1.9343e-05
-1.4438e-05,-1.262e-05,-1.2033e-05,2.8231e-06,-8.1436e-07,-1.4041e-05,-1.1091e-05,-1.3136e-05,-1.4554e-05,3.1135e-05,-1.8518e-05,0.00084626,0.00025522,-6.2345e-05,7.0424e-05,8.6811e-05,0.00019687,0.00024542,0.00028712,0,0,0,0,0,0,1.5474e-05
-1.3512e-05,-1.183e-05,-1.1479e-05,2.5808e-06,-8.327e-07,-1.3227e-05,-1.0371e-05,-1.2253e-05,-1.3624e-05,2.9728e-05,-1.7262e-05,0.00078116,0.00023634,-5.7859e-05,6.4826e-05,8.0107e-05,0.00018249,0.00022727,0.00026627,0,0,0,0,0,0,1.2379e-05
-1.2627e-05,-1.107e-05,-1.09e-05,2.3617e-06,-8.3444e-07,-1.2427e-05,-9.6833e-06,-1.1415e-05,-1.2733e-05,2.8261e-05,-1.6072e-05,0.00072089,0.00021876,-5.3644e-05,5.9678e-05,7.3899e-05,0.00016905,0.00021037,0.00024678,0,0,0,0,0,0,9.9035e-06
-1.1782e-05,-1.0342e-05,-1.0308e-05,2.1629e-06,-8.2369e-07,-1.1648e-05,-9.0292e-06,-1.0623e-05,-1.1884e-05,2.6768e-05,-1.4947e-05,0.00066511,0.00020241,-4.9695e-05,5.4943e-05,6.8157e-05,0.00015653,0.00019463,0.00022859,0,0,0,0,0,0,7.9228e-06
-1.0981e-05,-9.6486e-06,-9.7169e-06,1.9823e-06,-8.0374e-07,-1.0896e-05,-8.4091e-06,-9.8762e-06,-1.1078e-05,2.5273e-05,-1.3886e-05,0.00061353,0.00018721,-4.6004e-05,5.0587e-05,6.2848e-05,0.00014486,0.00018,0.00021164,0,0,0,0,0,0,6.3383e-06
-1.0222e-05,-8.9907e-06,-9.1333e-06,1.8181e-06,-7.7716e-07,-1.0174e-05,-7.8233e-06,-9.1739e-06,-1.0314e-05,2.3796e-05,-1.289e-05,0.00056586,0.00017309,-4.2561e-05,4.6579e-05,5.7943e-05,0.00013401,0.00016642,0.00019586,0,0,0,0,0,0,5.0706e-06
-9.5067e-06,-8.3683e-06,-8.5639e-06,1.6683e-06,-7.46e-07,-9.4862e-06,-7.2714e-06,-8.5148e-06,-9.5933e-06,2.2352e-05,-1.1956e-05,0.00052181,0.00015999,-3.9354e-05,4.2891e-05,5.3414e-05,0.00012392,0.00015381,0.00018118,0,0,0,0,0,0,4.0565e-06
-8.8334e-06,-7.7813e-06,-8.0132e-06,1.5317e-06,-7.1183e-07,-8.8331e-06,-6.7526e-06,-7.8975e-06,-8.9148e-06,2.0952e-05,-1.1082e-05,0.00048113,0.00014784,-3.6372e-05,3.9497e-05,4.9232e-05,0.00011456,0.00014211,0.00016753,0,0,0,0,0,0,3.2452e-06
-8.2011e-06,-7.2291e-06,-7.4843e-06,1.4069e-06,-6.759e-07,-8.2153e-06,-6.266e-06,-7.3203e-06,-8.2776e-06,1.9603e-05,-1.0265e-05,0.00044358,0.00013658,-3.3602e-05,3.6373e-05,4.5374e-05,0.00010586,0.00013127,0.00015487,0,0,0,0,0,0,2.5961e-06
-7.6085e-06,-6.7107e-06,-6.9794e-06,1.2927e-06,-6.3917e-07,-7.6329e-06,-5.8105e-06,-6.7814e-06,-7.6803e-06,1.8312e-05,-9.5039e-06,0.00040892,0.00012615,-3.1033e-05,3.3498e-05,4.1814e-05,9.7804e-05,0.00012122,0.00014311,0,0,0,0,0,0,2.0769e-06
-7.0542e-06,-6.225e-06,-6.4996e-06,1.1882e-06,-6.0236e-07,-7.0854e-06,-5.3848e-06,-6.279e-06,-7.1213e-06,1.7081e-05,-8.7946e-06,0.00037693,0.00011649,-2.8651e-05,3.0851e-05,3.8531e-05,9.0334e-05,0.00011192,0.00013221,0,0,0,0,0,0,1.6615e-06
