piDC,PIC,y_gap,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3
-0.00074065,-0.00085476,0.00026371,0.00022019,-0.0045671,-0.00046159,0.00052388,-0.00083025,0.00044499,0.002968,0.00068245,-0.00012714,0.0024864,0.00030546,-0.0067643,-0.00070639
-0.00055187,-0.00069916,0.00068057,-0.00042862,-0.0020689,-0.00043977,-0.00028917,-0.00058008,0.00079257,0.0015935,0.00062607,-2.2319e-05,0.0023598,-0.00028914,-0.0098285,-0.0013794
-0.00039497,-0.00044628,0.00089238,-0.00041579,-0.00078204,-0.00036606,-0.00084759,-0.00040458,0.0010643,0.00062129,0.00057056,5.0543e-05,0.0022279,-0.00086593,-0.010987,-0.0019396
-0.0002676,-0.00027042,0.00098683,-0.00029779,-0.00011913,-0.00027847,-0.0012268,-0.00027882,0.0012757,-6.7899e-05,0.00051669,0.000101,0.0020937,-0.001279,-0.011163,-0.0023658
-0.00016605,-0.00014669,0.0010146,-0.00019104,0.00021734,-0.00019442,-0.0014774,-0.00018687,0.0014381,-0.00055399,0.00046529,0.00013609,0.0019603,-0.001544,-0.010841,-0.0026633
-8.6372e-05,-5.8522e-05,0.0010043,-0.00011101,0.00038137,-0.00012101,-0.0016336,-0.0001187,0.00156,-0.00089115,0.00041692,0.00016043,0.0018299,-0.001698,-0.010276,-0.0028485
-2.4849e-05,4.7154e-06,0.00097224,-5.3475e-05,0.00045372,-6.0273e-05,-0.0017199,-6.7805e-05,0.0016481,-0.0011173,0.00037185,0.00017697,0.0017039,-0.0017722,-0.0096044,-0.0029407
2.1803e-05,4.9956e-05,0.00092801,-1.2421e-05,0.00047715,-1.1862e-05,-0.0017541,-2.9814e-05,0.0017079,-0.0012598,0.00033021,0.00018771,0.0015832,-0.0017895,-0.0088977,-0.0029589
5.64e-05,8.1878e-05,0.00087719,1.6776e-05,0.00047449,2.5537e-05,-0.0017494,-1.6527e-06,0.001744,-0.0013391,0.00029198,0.00019402,0.0014683,-0.0017662,-0.008195,-0.0029198
8.1315e-05,0.00010377,0.00082324,3.7342e-05,0.00045807,5.355e-05,-0.0017162,1.8924e-05,0.0017601,-0.0013709,0.00025707,0.0001969,0.0013596,-0.0017144,-0.0075166,-0.0028378
9.8517e-05,0.00011804,0.00076836,5.1516e-05,0.00043462,7.3792e-05,-0.0016623,3.3613e-05,0.0017597,-0.0013671,0.00022534,0.0001971,0.0012572,-0.0016429,-0.0068728,-0.0027249
0.00010963,0.00012648,0.00071395,6.0892e-05,0.00040788,8.773e-05,-0.0015938,4.372e-05,0.0017456,-0.0013373,0.00019663,0.00019521,0.0011611,-0.0015584,-0.0062687,-0.0025907
0.00011598,0.00013048,0.00066094,6.6639e-05,0.00037995,9.6638e-05,-0.0015156,5.0273e-05,0.0017201,-0.0012888,0.00017074,0.00019171,0.0010712,-0.001466,-0.005706,-0.0024428
0.00011866,0.00013113,0.00060995,6.9637e-05,0.00035203,0.00010159,-0.0014314,5.4082e-05,0.0016856,-0.0012274,0.0001475,0.00018697,0.00098731,-0.0013694,-0.0051846,-0.0022873
0.00011854,0.00012928,0.00056135,7.0563e-05,0.00032481,0.00010348,-0.0013442,5.5793e-05,0.0016437,-0.0011576,0.00012669,0.00018129,0.00090922,-0.0012715,-0.0047036,-0.0021289
0.00011632,0.0001256,0.00051539,6.9941e-05,0.00029871,0.00010303,-0.0012561,5.5921e-05,0.001596,-0.0010828,0.00010813,0.00017493,0.00083667,-0.0011745,-0.0042611,-0.0019713
0.00011258,0.00012061,0.00047218,6.8185e-05,0.00027395,0.00010083,-0.0011688,5.4875e-05,0.001544,-0.0010058,9.1636e-05,0.00016809,0.00076939,-0.0010799,-0.0038554,-0.001817
0.00010776,0.00011474,0.00043178,6.5617e-05,0.00025065,9.737e-05,-0.0010836,5.2981e-05,0.0014887,-0.00092867,7.7019e-05,0.00016094,0.0007071,-0.00098888,-0.0034842,-0.001668
0.00010221,0.0001083,0.00039415,6.2491e-05,0.00022885,9.3021e-05,-0.0010013,5.0494e-05,0.0014312,-0.00085283,6.4111e-05,0.00015362,0.00064952,-0.00090219,-0.0031452,-0.0015256
9.6225e-05,0.00010156,0.00035925,5.9006e-05,0.00020856,8.8084e-05,-0.00092273,4.7617e-05,0.0013723,-0.00077942,5.2751e-05,0.00014622,0.00059634,-0.00082033,-0.0028363,-0.0013908
9.0014e-05,9.4712e-05,0.00032697,5.5317e-05,0.00018975,8.2795e-05,-0.00084814,4.4507e-05,0.0013126,-0.00070922,4.2788e-05,0.00013885,0.00054729,-0.0007436,-0.0025553,-0.0012641
8.3744e-05,8.7898e-05,0.00029721,5.1541e-05,0.00017238,7.7337e-05,-0.00077783,4.1284e-05,0.0012529,-0.00064276,3.4084e-05,0.00013157,0.00050209,-0.0006721,-0.0023,-0.0011457
7.7542e-05,8.1232e-05,0.00026984,4.7769e-05,0.00015638,7.1849e-05,-0.0007119,3.8041e-05,0.0011934,-0.00058035,2.6509e-05,0.00012443,0.00046047,-0.00060583,-0.0020684,-0.0010358
7.15e-05,7.4792e-05,0.00024472,4.4069e-05,0.00014168,6.6438e-05,-0.00065037,3.4847e-05,0.0011348,-0.00052215,1.9943e-05,0.00011747,0.00042218,-0.0005447,-0.0018585,-0.00093412
6.5686e-05,6.8636e-05,0.00022172,4.0488e-05,0.00012822,6.1179e-05,-0.00059318,3.1751e-05,0.0010772,-0.00046821,1.428e-05,0.00011074,0.00038699,-0.00048853,-0.0016686,-0.00084049
6.0144e-05,6.2799e-05,0.00020069,3.7062e-05,0.0001159,5.613e-05,-0.0005402,2.8789e-05,0.001021,-0.00041847,9.4181e-06,0.00010424,0.00035464,-0.00043712,-0.001497,-0.00075459
5.4906e-05,5.7305e-05,0.0001815,3.3813e-05,0.00010466,5.1327e-05,-0.00049128,2.5986e-05,0.00096641,-0.00037283,5.2686e-06,9.8006e-05,0.00032495,-0.00039021,-0.0013419,-0.00067604
4.9988e-05,5.2164e-05,0.00016401,3.0755e-05,9.4421e-05,4.6794e-05,-0.00044622,2.3355e-05,0.00091352,-0.00033113,1.7494e-06,9.2036e-05,0.00029769,-0.00034755,-0.0012021,-0.00060443
4.5397e-05,4.7377e-05,0.0001481,2.7897e-05,8.5104e-05,4.2544e-05,-0.00040483,2.0904e-05,0.00086247,-0.00029316,-1.2136e-06,8.6339e-05,0.00027267,-0.00030885,-0.0010761,-0.00053932
4.1133e-05,4.2941e-05,0.00013363,2.5238e-05,7.664e-05,3.8583e-05,-0.00036689,1.8636e-05,0.00081337,-0.00025872,-3.6869e-06,8.0917e-05,0.00024974,-0.00027384,-0.00096254,-0.00048028
3.7189e-05,3.8845e-05,0.0001205,2.2778e-05,6.8961e-05,3.4909e-05,-0.00033217,1.6549e-05,0.00076625,-0.00022758,-5.7306e-06,7.5768e-05,0.00022871,-0.00024224,-0.00086041,-0.00042685
3.3556e-05,3.5077e-05,0.00010859,2.051e-05,6.2003e-05,3.1515e-05,-0.00030046,1.4637e-05,0.00072115,-0.00019951,-7.3985e-06,7.089e-05,0.00020943,-0.00021379,-0.00076858,-0.00037863
3.022e-05,3.1621e-05,9.78e-05,1.8429e-05,5.5705e-05,2.8393e-05,-0.00027155,1.2895e-05,0.00067808,-0.00017428,-8.7385e-06,6.6276e-05,0.00019177,-0.00018822,-0.00068607,-0.00033517
2.7167e-05,2.846e-05,8.8032e-05,1.6524e-05,5.001e-05,2.5529e-05,-0.00024522,1.1314e-05,0.00063703,-0.00015166,-9.7938e-06,6.1919e-05,0.00017559,-0.0001653,-0.000612,-0.0002961
