piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3
-0.0012505,-0.00033417,-0.00071455,0.00039706,0.0006792,-0.0017908,0.0024279,0.0013705,-0.0014664,0.0034088,-0.0012226,0.00085613,0.0097412,0.0018528,0.00016444,0.006217,0.003368,0.0020298,-0.0022441
-0.00089915,-0.00079519,-0.00064661,0.00022779,0.00037149,-0.0012459,4.4533e-06,0.00039742,-0.0010007,0.0022155,-0.0010175,0.0015815,0.0077325,0.0016558,0.00021699,0.0057888,0.0033742,0.0026184,-0.0037756
-0.00062382,-0.00061802,-0.00050494,0.00015794,0.0002126,-0.00087548,-0.00051222,-7.5204e-05,-0.00066525,0.0012398,-0.00082451,0.0021802,0.0060347,0.0014787,0.00027682,0.0053874,0.0026637,0.002507,-0.0047936
-0.00040896,-0.00044698,-0.00035415,0.00012359,0.00013452,-0.00061226,-0.00054635,-0.00026785,-0.00041867,0.00046715,-0.00065694,0.0026641,0.0046414,0.0013175,0.00032949,0.0050066,0.0019057,0.0021103,-0.0054343
-0.00024234,-0.00030008,-0.00021784,0.00010381,9.8048e-05,-0.0004197,-0.00046798,-0.00031823,-0.0002354,-0.00012994,-0.00051657,0.003047,0.003517,0.0011705,0.00037159,0.0046454,0.0012565,0.001639,-0.0057946
-0.00011427,-0.00018008,-0.00010348,9.0793e-05,8.2046e-05,-0.00027632,-0.00037368,-0.00030252,-9.8797e-05,-0.00058041,-0.00040128,0.0033418,0.0026207,0.0010366,0.00040312,0.0043038,0.00073816,0.0011909,-0.0059458
-1.7061e-05,-8.4961e-05,-1.1818e-05,8.127e-05,7.5534e-05,-0.00016862,-0.00028794,-0.0002603,2.5713e-06,-0.00091085,-0.00030783,0.0035609,0.0019135,0.00091511,0.00042512,0.0039818,0.00033873,0.00080542,-0.0059419
5.5507e-05,-1.1348e-05,5.9068e-05,7.3709e-05,7.2988e-05,-8.763e-05,-0.00021583,-0.00021115,7.6883e-05,-0.0011444,-0.00023285,0.003715,0.0013614,0.00080512,0.00043894,0.0036792,3.9327e-05,0.00049269,-0.0058242
0.00010845,4.4287e-05,0.00011205,6.7349e-05,7.1738e-05,-2.7036e-05,-0.00015712,-0.00016407,0.00013022,-0.0013006,-0.00017322,0.003814,0.00093516,0.00070587,0.00044591,0.0033959,-0.00017864,0.00024969,-0.0056249
0.00014582,8.52e-05,0.00015014,6.1791e-05,7.0575e-05,1.7769e-05,-0.00011022,-0.00012275,0.00016725,-0.0013958,-0.00012621,0.0038663,0.00061018,0.00061656,0.00044724,0.0031312,-0.00033154,6.789e-05,-0.005369
