piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00019476,-6.0785e-05,0.0011456,0.00013991,0.00034181,0.00066392,8.0616e-05,0.00027424,0.0001895,-0.0019437,0.00028468,0.0010982,0.0014673,0.0012452,0.0010033,-2.1972e-05,0.00011183,0.00040617,0.00029,0.01,0,0,0,0,0,0
0.00015555,0.00017359,0.00095886,0.00012206,0.00027869,0.0005581,0.00011745,0.00017731,0.00015414,-0.0016399,0.000223,0.0019454,0.0015087,0.00098305,0.00093655,8.9636e-05,0.00027476,0.00066879,0.00052589,0.0085,0,0,0,0,0,0
0.00012202,0.00013753,0.00080247,0.00010607,0.00023056,0.00046584,0.0001043,0.00011769,0.00012244,-0.0013803,0.00017191,0.0025862,0.0015269,0.00076591,0.00087309,0.00017546,0.00041945,0.00084309,0.00071328,0.007225,0,0,0,0,0,0
9.3565e-05,0.00010736,0.0006711,9.2383e-05,0.00019239,0.00038632,8.2774e-05,7.8297e-05,9.4762e-05,-0.0011583,0.00012969,0.0030575,0.0015264,0.00058665,0.00081306,0.00024025,0.00053428,0.00095906,0.0008583,0.0061412,0,0,0,0,0,0
6.9566e-05,8.222e-05,0.00056042,8.0714e-05,0.00016134,0.00031836,6.2474e-05,5.0743e-05,7.1006e-05,-0.0009688,9.4867e-05,0.0033906,0.001511,0.00043921,0.00075643,0.00028786,0.00062094,0.0010342,0.00096696,0.0052201,0,0,0,0,0,0
4.9455e-05,6.1292e-05,0.00046702,7.0723e-05,0.00013567,0.00026063,4.5167e-05,3.0606e-05,5.0881e-05,-0.00080707,6.6235e-05,0.0036115,0.0014838,0.00031845,0.00070311,0.0003215,0.0006836,0.0010795,0.0010448,0.0044371,0,0,0,0,0,0
3.2713e-05,4.3905e-05,0.00038817,6.2122e-05,0.00011422,0.00021182,3.0815e-05,1.5429e-05,3.4009e-05,-0.00066927,4.2801e-05,0.0037418,0.0014474,0.00022002,0.00065301,0.00034384,0.00072635,0.0011024,0.0010969,0.0037715,0,0,0,0,0,0
1.8877e-05,2.9512e-05,0.0003216,5.4685e-05,9.6199e-05,0.00017071,1.9036e-05,3.7745e-06,1.9999e-05,-0.00055206,2.3734e-05,0.0037998,0.0014039,0.00014026,0.00060601,0.0003571,0.00075276,0.001108,0.0011275,0.0032058,0,0,0,0,0,0
7.5367e-06,1.7658e-05,0.00026544,4.8231e-05,8.0995e-05,0.00013621,9.4361e-06,-5.2536e-06,8.477e-06,-0.00045256,8.3378e-06,0.0038003,0.001355,7.6067e-05,0.00056201,0.00036312,0.00076585,0.0011002,0.0011405,0.0027249,0,0,0,0,0,0
-1.6682e-06,7.962e-06,0.00021811,4.2617e-05,6.8145e-05,0.00010735,1.6707e-06,-1.2247e-05,-9.0061e-07,-0.0003683,-3.9763e-06,0.0037558,0.0013022,2.4843e-05,0.00052088,0.00036342,0.00076816,0.0010821,0.0011391,0.0023162,0,0,0,0,0,0
-9.0538e-06,9.7926e-08,0.00017829,3.7722e-05,5.7272e-05,8.3301e-05,-4.5507e-06,-1.7621e-05,-8.4424e-06,-0.00029713,-1.3708e-05,0.0036766,0.0012468,-1.5615e-05,0.00048248,0.00035926,0.00076185,0.001056,0.0011262,0.0019687,0,0,0,0,0,0
-1.4895e-05,-6.2124e-06,0.00014484,3.3445e-05,4.8069e-05,6.3331e-05,-9.4741e-06,-2.1686e-05,-1.4421e-05,-0.00023716,-2.1283e-05,0.0035712,0.0011897,-4.7155e-05,0.00044669,0.00035167,0.00074871,0.0010238,0.0011041,0.0016734,0,0,0,0,0,0
-1.9432e-05,-1.1208e-05,0.0001168,2.9701e-05,4.0281e-05,4.6821e-05,-1.3308e-05,-2.4682e-05,-1.9077e-05,-0.00018681,-2.706e-05,0.0034465,0.0011318,-7.1333e-05,0.00041336,0.0003415,0.00073025,0.00098729,0.0010749,0.0014224,0,0,0,0,0,0
-2.2871e-05,-1.5096e-05,9.3347e-05,2.642e-05,3.3692e-05,3.3235e-05,-1.623e-05,-2.6803e-05,-2.2616e-05,-0.00014467,-3.1347e-05,0.0033082,0.0010739,-8.9455e-05,0.00038236,0.00032945,0.00070773,0.00094759,0.0010403,0.0012091,0,0,0,0,0,0
-2.5391e-05,-1.8053e-05,7.3778e-05,2.3538e-05,2.8122e-05,2.2118e-05,-1.8392e-05,-2.8207e-05,-2.5221e-05,-0.00010954,-3.4402e-05,0.0031608,0.0010165,-0.00010261,0.00035355,0.00031606,0.00068222,0.00090582,0.0010017,0.0010277,0,0,0,0,0,0
-2.7145e-05,-2.0232e-05,5.75e-05,2.1003e-05,2.3417e-05,1.3079e-05,-1.9922e-05,-2.9025e-05,-2.7047e-05,-8.038e-05,-3.6446e-05,0.0030081,0.00096008,-0.00011173,0.0003268,0.00030181,0.00065458,0.00086283,0.00096029,0.00087354,0,0,0,0,0,0
-2.8267e-05,-2.1763e-05,4.4004e-05,1.877e-05,1.9447e-05,5.7865e-06,-2.0932e-05,-2.9368e-05,-2.8227e-05,-5.63e-05,-3.7665e-05,0.002853,0.000905,-0.00011757,0.00030198,0.00028704,0.00062555,0.00081933,0.00091709,0.00074251,0,0,0,0,0,0
