piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00074821,0.0016809,-0.0024691,-0.00053522,-0.0010151,-0.00091881,-0.000354,-0.0017395,-0.00067675,0.019965,0.0036694,0.012808,-0.0020182,0.009051,-0.011684,-0.015935,-0.00049108,-0.0025764,-0.0010357,0,0.01,0,0,0,0,0
-0.00023629,-0.00094404,-0.0014321,-0.00034979,-0.00051912,-0.0005632,-7.5674e-05,-0.00032784,-0.00023039,0.013854,0.0031169,0.022038,-0.0019613,0.0064932,-0.0082565,-0.011216,-0.00059606,-0.003062,-0.0013882,0,0.008,0,0,0,0,0
9.7935e-05,-0.0004307,-0.00075247,-0.00022226,-0.00024251,-0.0002877,0.00014919,0.00034114,7.9558e-05,0.0093805,0.0026109,0.028491,-0.0015114,0.0044919,-0.0056165,-0.00759,-0.0003891,-0.0025567,-0.0012665,0,0.0064,0,0,0,0,0
0.00030241,-9.9734e-05,-0.00031264,-0.00013343,-8.7798e-05,-9.1407e-05,0.00028361,0.00062245,0.00027872,0.0061351,0.0021594,0.032798,-0.00085513,0.0029348,-0.003594,-0.004822,4.3249e-06,-0.0016348,-0.00083996,0,0.00512,0,0,0,0,0
0.000414,0.00010464,-3.5524e-05,-7.0681e-05,-2.062e-06,3.7219e-05,0.00034691,0.00070321,0.00039288,0.0038089,0.0017635,0.035455,-0.00011409,0.0017315,-0.0020555,-0.0027256,0.00048556,-0.00059328,-0.00023871,0,0.004096,0,0,0,0,0
0.00046064,0.00022154,0.00013057,-2.5942e-05,4.396e-05,0.00011255,0.00036232,0.00068298,0.00044467,0.0021679,0.0014208,0.036856,0.00063393,0.00080949,-0.00089588,-0.0011538,0.00098818,0.00041827,0.0004418,0,0.0032768,0,0,0,0,0
0.00046323,0.00027862,0.00022104,6.0217e-06,6.678e-05,0.00014824,0.00034765,0.00061496,0.0004526,0.0010348,0.0011271,0.037308,0.0013406,0.00011068,-3.232e-05,9.3106e-06,0.0014705,0.0013291,0.0011344,0,0.0026214,0,0,0,0,0
0.00043719,0.00029553,0.00026055,2.8713e-05,7.5926e-05,0.00015591,0.00031529,0.00052762,0.00043116,0.00027533,0.00087743,0.037055,0.0019778,-0.00041157,0.00060046,0.0008551,0.0019078,0.0021105,0.0017943,0,0.0020972,0,0,0,0,0
0.00039376,0.0002863,0.0002664,4.456e-05,7.7019e-05,0.00014482,0.00027356,0.00043604,0.0003913,-0.00021208,0.00066689,0.036285,0.0025308,-0.00079456,0.001054,0.0014556,0.0022873,0.0027563,0.0023931,0,0.0016777,0,0,0,0,0
0.00034098,0.00026089,0.00025084,5.5297e-05,7.3457e-05,0.00012208,0.00022798,0.00034802,0.0003411,-0.00050388,0.00049063,0.035147,0.0029942,-0.0010682,0.0013688,0.0018673,0.0026036,0.0032718,0.0029151,0,0.0013422,0,0,0,0,0
0.00028449,0.00022633,0.00022246,6.22e-05,6.7332e-05,9.2925e-05,0.00018215,0.00026736,0.00028634,-0.00065738,0.00034419,0.033756,0.0033687,-0.0012562,0.0015769,0.0021348,0.0028563,0.0036678,0.0033533,0,0.0010737,0,0,0,0,0
0.00022811,0.00018753,0.00018728,6.6224e-05,5.9952e-05,6.1102e-05,0.00013835,0.00019566,0.00023104,-0.00071527,0.00022347,0.032199,0.0036586,-0.0013777,0.0017036,0.0022928,0.0030482,0.0039576,0.0037069,0,0.00085899,0,0,0,0,0
0.00017437,0.00014782,0.00014943,6.8092e-05,5.2139e-05,2.9205e-05,9.7931e-05,0.00013332,0.00017786,-0.00070906,0.00012481,0.030545,0.0038709,-0.0014478,0.0017685,0.0023685,0.003184,0.004155,0.0039791,0,0.00068719,0,0,0,0,0
0.00012481,0.00010939,0.0001117,6.8359e-05,4.4403e-05,-1.0615e-06,6.1634e-05,8.0044e-05,0.0001285,-0.00066179,4.4973e-05,0.028845,0.0040134,-0.0014785,0.0017871,0.0023831,0.0032695,0.0042736,0.0041757,0,0.00054976,0,0,0,0,0
8.0262e-05,7.3625e-05,7.5867e-05,6.7454e-05,3.7056e-05,-2.8643e-05,2.9761e-05,3.5231e-05,8.3899e-05,-0.00059012,-1.8899e-05,0.027139,0.0040947,-0.0014795,0.0017715,0.0023531,0.0033108,0.0043257,0.0043041,0,0.0004398,0,0,0,0,0
4.1097e-05,4.1317e-05,4.3018e-05,6.5705e-05,3.0277e-05,-5.2964e-05,2.3275e-06,-1.9042e-06,4.4516e-05,-0.00050587,-6.9297e-05,0.025454,0.0041232,-0.0014582,0.0017313,0.0022912,0.0033141,0.0043229,0.0043722,0,0.00035184,0,0,0,0,0
7.3336e-06,1.2841e-05,1.3739e-05,6.3367e-05,2.4155e-05,-7.3783e-05,-2.0836e-05,-3.2197e-05,1.0434e-05,-0.00041724,-0.00010839,0.023811,0.0041069,-0.0014207,0.0016735,0.0022072,0.0032852,0.0042752,0.0043882,0,0.00028147,0,0,0,0,0
-2.1231e-05,-1.1712e-05,-1.1738e-05,6.0633e-05,1.8722e-05,-9.1093e-05,-4.0017e-05,-5.6481e-05,-1.8503e-05,-0.00032979,-0.00013803,0.022226,0.0040535,-0.0013716,0.0016039,0.0021086,0.0032296,0.0041916,0.0043599,0,0.00022518,0,0,0,0,0
