piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3
0.00067539,0.00072846,0.0033909,0.00033833,0.0011065,0.0019461,0.0022971,0.0015484,0.00060123,0,-2.4037e-05,0.0011898,0.0040236,0.0018167,0.0013037,0.00083826,0.0031865,0.0022933,0.00092009
0.0003414,0.00029206,0.0020007,0.00015769,0.00056951,0.0012735,-2.7271e-05,0.00042269,0.00033745,0,-4.1719e-05,0.0020651,0.0035152,0.0012366,0.0010071,0.00051258,0.0031487,0.0029194,0.0014365
0.00015174,9.6719e-05,0.0012363,9.4375e-05,0.00030889,0.00083305,-0.00039005,-3.8049e-05,0.00016895,0,-5.4202e-05,0.002683,0.0030682,0.00084041,0.00082822,0.00037027,0.0026076,0.002863,0.0016951
4.3379e-05,3.3392e-06,0.00078908,6.7857e-05,0.00017952,0.00054171,-0.00035455,-0.00019418,6.3313e-05,0,-6.2581e-05,0.0030977,0.002685,0.00056006,0.00070778,0.0003115,0.0021158,0.0025754,0.001792
-1.7726e-05,-4.1948e-05,0.00051481,5.4131e-05,0.00011275,0.00034793,-0.00026872,-0.00022273,-1.05e-06,0,-6.7778e-05,0.003355,0.0023584,0.00035787,0.00061974,0.00029087,0.001743,0.0022455,0.0017904
-5.0906e-05,-6.2897e-05,0.00034019,4.5419e-05,7.6185e-05,0.00021859,-0.00019844,-0.00020437,-3.8653e-05,0,-7.054e-05,0.0034917,0.00208,0.00021065,0.0005513,0.00028653,0.0014677,0.0019429,0.0017312
-6.7505e-05,-7.1066e-05,0.00022563,3.8989e-05,5.4565e-05,0.00013208,-0.00014888,-0.00017339,-5.9168e-05,0,-7.1462e-05,0.0035374,0.0018418,0.00010314,0.0004956,0.0002878,0.0012612,0.0016861,0.0016407
-7.4304e-05,-7.2455e-05,0.00014865,3.3803e-05,4.0655e-05,7.4192e-05,-0.00011489,-0.000143,-6.8964e-05,0,-7.1014e-05,0.0035152,0.0016373,2.4851e-05,0.00044868,0.00028956,0.0011018,0.0014743,0.0015351
-7.54e-05,-7.0306e-05,9.5953e-05,2.9435e-05,3.099e-05,3.5528e-05,-9.1369e-05,-0.00011735,-7.2189e-05,0,-6.9562e-05,0.0034433,0.0014609,-3.1668e-05,0.00040819,0.00028957,0.00097505,0.0013005,0.0014246
-7.3281e-05,-6.6407e-05,5.9395e-05,2.5691e-05,2.3869e-05,9.8347e-06,-7.4734e-05,-9.696e-05,-7.1512e-05,0,-6.7396e-05,0.0033361,0.0013078,-7.1853e-05,0.0003726,0.00028703,0.00087138,0.0011569,0.0013152
-6.9455e-05,-6.1755e-05,3.3811e-05,2.2463e-05,1.8418e-05,-7.0691e-06,-6.2639e-05,-8.1131e-05,-6.8625e-05,0,-6.4737e-05,0.0032045,0.0011745,-9.9729e-05,0.00034093,0.00028191,0.00078449,0.0010367,0.0012102
-6.4828e-05,-5.6902e-05,1.5837e-05,1.9676e-05,1.4152e-05,-1.7992e-05,-5.3583e-05,-6.8892e-05,-6.459e-05,0,-6.1757e-05,0.0030569,0.0010578,-0.00011832,0.00031248,0.0002745,0.00071015,0.00093466,0.0011113
-5.9938e-05,-5.2147e-05,3.2225e-06,1.7273e-05,1.078e-05,-2.483e-05,-4.6598e-05,-5.9357e-05,-6.0058e-05,0,-5.8587e-05,0.0029001,0.00095511,-0.00012991,0.00028675,0.00026523,0.00064551,0.00084674,0.0010194
-5.5094e-05,-4.7643e-05,-5.569e-06,1.52e-05,8.1058e-06,-2.8875e-05,-4.1056e-05,-5.1818e-05,-5.5417e-05,0,-5.5329e-05,0.0027388,0.00086442,-0.00013625,0.00026338,0.00025454,0.00058856,0.00077,0.00093461
-5.0463e-05,-4.346e-05,-1.1607e-05,1.3414e-05,5.9867e-06,-3.1008e-05,-3.6542e-05,-4.5747e-05,-5.0893e-05,0,-5.2056e-05,0.0025768,0.00078398,-0.00013868,0.00024208,0.00024288,0.00053787,0.00070224,0.00085673
-4.6131e-05,-3.9619e-05,-1.5648e-05,1.1873e-05,4.3139e-06,-3.1835e-05,-3.278e-05,-4.0761e-05,-4.6607e-05,0,-4.8824e-05,0.0024168,0.00071236,-0.00013822,0.00022261,0.00023059,0.00049239,0.00064187,0.0007854
-4.2131e-05,-3.6119e-05,-1.8234e-05,1.0541e-05,3.0005e-06,-3.1775e-05,-2.9581e-05,-3.6585e-05,-4.2615e-05,0,-4.5673e-05,0.0022608,0.00064836,-0.00013566,0.00020478,0.00021799,0.00045136,0.00058769,0.00072019
-3.8467e-05,-3.2939e-05,-1.9759e-05,9.3872e-06,1.9762e-06,-3.1122e-05,-2.6816e-05,-3.3026e-05,-3.8938e-05,0,-4.2632e-05,0.0021103,0.00059099,-0.00013161,0.00018844,0.00020533,0.00041416,0.00053877,0.0006606
-3.5126e-05,-3.0058e-05,-2.0511e-05,8.3851e-06,1.1839e-06,-3.008e-05,-2.4394e-05,-2.9947e-05,-3.5572e-05,0,-3.9719e-05,0.0019661,0.0005394,-0.00012653,0.00017344,0.00019281,0.00038032,0.00049442,0.00060616
-3.2089e-05,-2.7449e-05,-2.0703e-05,7.5119e-06,5.7705e-07,-2.8792e-05,-2.2249e-05,-2.7247e-05,-3.2505e-05,0,-3.6947e-05,0.0018289,0.00049289,-0.00012079,0.00015966,0.00018057,0.00034945,0.00045406,0.00055642
-2.933e-05,-2.5085e-05,-2.0493e-05,6.7483e-06,1.1781e-07,-2.7359e-05,-2.0334e-05,-2.4856e-05,-2.9714e-05,0,-3.4322e-05,0.001699,0.00045085,-0.00011465,0.00014699,0.00016872,0.00032124,0.00041725,0.00051094
-2.6826e-05,-2.2943e-05,-1.9999e-05,6.0782e-06,-2.2442e-07,-2.5853e-05,-1.8613e-05,-2.272e-05,-2.7178e-05,0,-3.1847e-05,0.0015764,0.00041277,-0.00010831,0.00013535,0.00015734,0.00029542,0.0003836,0.00046935
-2.4552e-05,-2.0999e-05,-1.9309e-05,5.4878e-06,-4.7439e-07,-2.4323e-05,-1.7058e-05,-2.0801e-05,-2.4873e-05,0,-2.9522e-05,0.0014613,0.00037821,-0.00010193,0.00012464,0.00014648,0.00027176,0.00035279,0.00043128
-2.2485e-05,-1.9234e-05,-1.849e-05,4.9658e-06,-6.52e-07,-2.2804e-05,-1.5648e-05,-1.9066e-05,-2.2778e-05,0,-2.7343e-05,0.0013535,0.00034678,-9.5626e-05,0.00011478,0.00013618,0.00025005,0.00032455,0.00039643
