piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00010032,-0.0004209,0.00035798,-0.00033724,0.00035528,0.00033995,-0.0072339,-0.00069723,-1.5246e-05,0,-3.7312e-06,0.0001847,0.00081019,0.00020835,-0.00010952,0.00080893,-0.010035,-0.0010327,-2.3332e-05,0,0,0.01,0,0,0,0
-2.7466e-05,-8.4936e-05,0.00077351,-7.5546e-05,0.00049176,0.0003573,-0.00097307,-0.00031606,-6.1243e-07,0,-6.2061e-06,0.0003072,0.00071195,0.0002504,1.5069e-05,0.00089269,-0.011385,-0.0015008,-2.4269e-05,0,0,0.009,0,0,0,0
1.9062e-06,1.2803e-05,0.00086477,-6.0789e-06,0.00052491,0.00034594,0.00044941,-8.3009e-05,5.6683e-06,0,-8.0394e-06,0.00039795,0.000655,0.00024406,5.8038e-05,0.00087316,-0.010761,-0.0016237,-1.5594e-05,0,0,0.0081,0,0,0,0
1.4041e-05,4.1677e-05,0.00084839,1.2576e-05,0.0005114,0.00032441,0.00071283,3.1556e-05,8.7535e-06,0,-9.4432e-06,0.00046744,0.00061101,0.00022343,7.4517e-05,0.00082198,-0.0097726,-0.001577,-2.1983e-06,0,0,0.00729,0,0,0,0
1.8558e-05,4.8759e-05,0.00079503,1.7137e-05,0.00047855,0.00029934,0.00070826,7.9676e-05,1.0079e-05,0,-1.0515e-05,0.00052048,0.00057224,0.00019929,8.1047e-05,0.00076206,-0.0087901,-0.001459,1.3227e-05,0,0,0.006561,0,0,0,0
1.9478e-05,4.8298e-05,0.00073028,1.7559e-05,0.00043919,0.00027353,0.00064876,9.4966e-05,1.0276e-05,0,-1.1314e-05,0.00056004,0.00053641,0.00017539,8.3223e-05,0.00070153,-0.0078901,-0.0013183,2.8953e-05,0,0,0.0059049,0,0,0,0
1.8672e-05,4.5107e-05,0.00066423,1.6722e-05,0.00039915,0.00024836,0.00058363,9.5286e-05,9.7528e-06,0,-1.1885e-05,0.00058832,0.00050277,0.00015306,8.3221e-05,0.00064347,-0.0070805,-0.0011772,4.3878e-05,0,0,0.0053144,0,0,0,0
1.707e-05,4.1006e-05,0.00060099,1.5526e-05,0.00036096,0.00022451,0.00052326,8.9385e-05,8.8052e-06,0,-1.2265e-05,0.0006071,0.00047103,0.00013276,8.2012e-05,0.00058906,-0.0063546,-0.0010448,5.7353e-05,0,0,0.004783,0,0,0,0
1.5154e-05,3.6745e-05,0.00054218,1.4273e-05,0.00032559,0.00020231,0.0004691,8.1339e-05,7.6432e-06,0,-1.2482e-05,0.00061788,0.00044105,0.00011457,8.0084e-05,0.00053865,-0.0057038,-0.00092433,6.905e-05,0,0,0.0043047,0,0,0,0
1.3178e-05,3.2643e-05,0.00048827,1.307e-05,0.0002933,0.0001819,0.00042077,7.2958e-05,6.4081e-06,0,-1.2565e-05,0.00062195,0.00041274,9.841e-05,7.7706e-05,0.00049225,-0.0051201,-0.00081628,7.8857e-05,0,0,0.0038742,0,0,0,0
