piDC,PIC,y_gap,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3
-0.00061942,-0.00086402,-0.00094475,-0.00043863,-0.0047183,-0.00031565,0,-9.3395e-06,0.0004623,0.0022165,0.00042771,-0.00034522,0.0019596,-0.00060848,-0.0069882,-0.00048306
-0.00027152,-0.00032051,0.00050817,0.00037317,-0.0016208,-0.00017487,0,-1.6349e-05,0.00080925,0.002029,0.00058636,-5.1244e-05,0.0022806,-9.0813e-05,-0.0093887,-0.00075067
-8.689e-05,-7.2059e-05,0.001132,0.00034244,-0.00024744,-7.74e-05,0,-2.1762e-05,0.0010772,0.0018854,0.00062203,9.524e-05,0.0023382,0.00038422,-0.0097552,-0.00086912
1.0538e-05,4.2118e-05,0.0013627,0.00021112,0.00032239,-1.3795e-05,0,-2.5968e-05,0.0012854,0.0017628,0.00060118,0.00016983,0.0022725,0.0006771,-0.0092777,-0.00089023
6.0216e-05,9.2183e-05,0.0014056,0.0001109,0.00052726,2.5197e-05,0,-2.9207e-05,0.0014458,0.0016521,0.00055555,0.00020758,0.002151,0.00083095,-0.0084968,-0.00085167
8.3336e-05,0.00011082,0.0013601,4.8331e-05,0.00057206,4.7194e-05,0,-3.1648e-05,0.0015666,0.0015493,0.00050069,0.00022562,0.0020069,0.00089799,-0.0076495,-0.00077945
9.1608e-05,0.00011395,0.0012753,1.1568e-05,0.00055077,5.7921e-05,0,-3.3418e-05,0.0016542,0.0014528,0.00044429,0.00023269,0.0018571,0.00091404,-0.0068338,-0.00069081
9.1647e-05,0.00010953,0.0011755,-9.4968e-06,0.00050552,6.1448e-05,0,-3.4623e-05,0.0017138,0.0013616,0.00039007,0.00023342,0.0017101,0.00090086,-0.0060851,-0.00059677
8.7255e-05,0.00010166,0.0010729,-2.1297e-05,0.00045452,6.0564e-05,0,-3.535e-05,0.0017498,0.0012753,0.00033975,0.00023035,0.0015699,0.00087132,-0.0054119,-0.00050408
8.0643e-05,9.245e-05,0.0009734,-2.7638e-05,0.00040515,5.713e-05,0,-3.5677e-05,0.001766,0.0011938,0.00029398,0.00022494,0.0014385,0.00083298,-0.0048118,-0.00041666
