piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00077527,0.00082783,0.0035752,0.00035688,0.0011687,0.0020496,0.0025248,0.0017287,0.00069439,0,-2.1593e-05,0.0010688,0.0043166,0.0017675,0.0014416,0.0010592,0.0035024,0.0025603,0.0010627,0.01,0,0,0,0,0,0
0.00041543,0.00035877,0.0021791,0.00017272,0.00062038,0.001386,3.8802e-05,0.00052068,0.00040976,0,-3.8641e-05,0.0019127,0.0039434,0.0012633,0.0011534,0.00066722,0.0035563,0.0033315,0.0016897,0.0085,0,0,0,0,0,0
0.00020543,0.00014235,0.0014105,0.00010983,0.00035467,0.00094602,-0.00037003,1.2581e-05,0.00022305,0,-5.1656e-05,0.002557,0.0035849,0.00091523,0.00098064,0.00048099,0.003043,0.0033501,0.0020311,0.007225,0,0,0,0,0,0
8.084e-05,3.3805e-05,0.00095664,8.4231e-05,0.00022246,0.00064995,-0.0003508,-0.00017105,0.00010203,0,-6.1272e-05,0.003033,0.0032556,0.00066253,0.00086338,0.0003934,0.0025563,0.0030968,0.0021872,0.0061412,0,0,0,0,0,0
6.8404e-06,-2.2888e-05,0.00067286,7.1081e-05,0.00015341,0.00044836,-0.00027261,-0.00021591,2.4998e-05,0,-6.8085e-05,0.0033702,0.0029572,0.00047329,0.0007759,0.00035446,0.0021781,0.002777,0.0022255,0.0052201,0,0,0,0,0,0
-3.6513e-05,-5.2535e-05,0.00048665,6.249e-05,0.00011452,0.00030964,-0.00020679,-0.00020744,-2.2832e-05,0,-7.2614e-05,0.0035944,0.0026879,0.00032882,0.00070591,0.00033913,0.0018913,0.0024698,0.0021905,0.0044371,0,0,0,0,0,0
-6.1049e-05,-6.7333e-05,0.0003593,5.5784e-05,9.0361e-05,0.00021316,-0.00016006,-0.00018253,-5.1451e-05,0,-7.5298e-05,0.0037272,0.0024451,0.00021724,0.00064702,0.00033443,0.0016692,0.0021994,0.0021118,0.0037715,0,0,0,0,0,0
-7.3954e-05,-7.3732e-05,0.0002691,5.0025e-05,7.3727e-05,0.00014535,-0.00012785,-0.00015586,-6.7556e-05,0,-7.6506e-05,0.003787,0.0022262,0.00013056,0.00059571,0.00033359,0.0014919,0.0019686,0.0020084,0.0032058,0,0,0,0,0,0
-7.9671e-05,-7.5312e-05,0.00020332,4.4878e-05,6.124e-05,9.7205e-05,-0.00010539,-0.00013242,-7.5602e-05,0,-7.6545e-05,0.003789,0.0020284,6.3145e-05,0.00054994,0.00033315,0.0013457,0.0017725,0.0018927,0.0027249,0,0,0,0,0,0
-8.0973e-05,-7.4132e-05,0.00015421,4.0225e-05,5.1288e-05,6.2694e-05,-8.9277e-05,-0.00011324,-7.8526e-05,0,-7.5669e-05,0.0037456,0.0018497,1.0848e-05,0.00050848,0.00033145,0.0012218,0.0016047,0.0017726,0.0023162,0,0,0,0,0,0
