piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.0056981,-0.0065896,-0.029511,-0.0030215,-0.010334,-0.016155,-0.02534,-0.015646,-0.0048463,0,0.0098354,0.013148,-0.031219,0.0032619,-0.016563,-0.027917,-0.035152,-0.023172,-0.0074166,0,0.01,0,0,0,0,0
-0.0016236,-0.0012052,-0.012897,-0.00080535,-0.0037577,-0.0083339,0.0040103,-0.0016504,-0.0016537,0,0.0076282,0.022405,-0.022509,0.0038585,-0.010286,-0.016635,-0.029589,-0.025617,-0.0099474,0,0.008,0,0,0,0,0
0.00037866,0.00085013,-0.0048927,-0.00015169,-0.00094766,-0.0037934,0.0074439,0.0033256,0.00011923,0,0.0058827,0.028808,-0.015502,0.0034377,-0.0063383,-0.0097244,-0.019263,-0.020691,-0.0097649,0,0.0064,0,0,0,0,0
0.0012732,0.0015554,-0.0010361,3.7584e-05,0.00016015,-0.0012339,0.005968,0.0043856,0.0010149,0,0.0045039,0.033058,-0.01002,0.0026677,-0.0037098,-0.0053232,-0.010984,-0.014196,-0.0082117,0,0.00512,0,0,0,0,0
0.0015749,0.0016784,0.00073872,8.4834e-05,0.00052284,0.00013104,0.0041424,0.0039654,0.0013825,0,0.0034168,0.035669,-0.0057987,0.0018369,-0.0019049,-0.0024563,-0.0052372,-0.0083227,-0.006096,0,0.004096,0,0,0,0,0
0.0015685,0.0015513,0.0014528,9.003e-05,0.00057674,0.00078605,0.0027508,0.0031293,0.0014457,0,0.0025617,0.037036,-0.0025891,0.001069,-0.00064691,-0.000568,-0.0014212,-0.0036879,-0.0038836,0,0.0032768,0,0,0,0,0
0.0014134,0.0013287,0.0016313,8.4947e-05,0.00051603,0.0010304,0.0017904,0.0022968,0.0013455,0,0.0018911,0.037464,-0.0001816,0.00041125,0.00023305,0.00067693,0.0010624,-0.00028609,-0.0018244,0,0.0026214,0,0,0,0,0
0.0011981,0.001084,0.0015504,7.9202e-05,0.00042377,0.0010474,0.0011431,0.0016039,0.0011682,0,0.0013669,0.037194,0.001595,-0.00012537,0.00084456,0.0014896,0.0026482,0.0020894,-3.6638e-05,0,0.0020972,0,0,0,0,0
0.00097084,0.00085151,0.0013561,7.5056e-05,0.00033303,0.00094797,0.00070781,0.0010712,0.00096488,0,0.00095908,0.036411,0.0028783,-0.00054688,0.001262,0.0020069,0.0036301,0.0036759,0.00144,0,0.0016777,0,0,0,0,0
0.00075638,0.00064552,0.0011251,7.2471e-05,0.00025499,0.00079765,0.00041399,0.00067895,0.00076409,0,0.00064334,0.035264,0.0037778,-0.00086642,0.0015378,0.0023204,0.0042044,0.0046815,0.0026093,0,0.0013422,0,0,0,0,0
0.00056609,0.00047053,0.00089648,7.0859e-05,0.00019177,0.00063385,0.00021501,0.00039754,0.00058063,0,0.00040047,0.033864,0.0043806,-0.0010993,0.0017093,0.0024919,0.0045026,0.0052703,0.0034979,0,0.0010737,0,0,0,0,0
0.00040386,0.00032604,0.00068854,6.9657e-05,0.00014208,0.00047681,8.0218e-05,0.00019927,0.00042092,0,0.00021515,0.0323,0.0047553,-0.0012607,0.0018041,0.0025645,0.0046139,0.0055654,0.004142,0,0.00085899,0,0,0,0,0
0.00026948,0.00020931,0.00050851,6.847e-05,0.00010366,0.00033639,-1.0701e-05,6.1656e-05,0.00028653,0,7.5159e-05,0.030639,0.0049563,-0.0013643,0.0018426,0.0025683,0.0045991,0.0056567,0.0045805,0,0.00068719,0,0,0,0,0
0.00016072,0.00011674,0.00035772,6.7073e-05,7.4233e-05,0.00021641,-7.1349e-05,-3.2369e-05,0.00017641,0,-2.9208e-05,0.028934,0.0050261,-0.0014221,0.00184,0.0025247,0.0045001,0.0056088,0.0048505,0,0.00054976,0,0,0,0,0
7.4489e-05,4.4593e-05,0.00023449,6.5367e-05,5.1827e-05,0.00011729,-0.00011095,-9.5334e-05,8.8175e-05,0,-0.00010568,0.027221,0.0049983,-0.0014442,0.001808,0.0024489,0.0043462,0.0054676,0.0049854,0,0.0004398,0,0,0,0,0
7.4536e-06,-1.0613e-05,0.00013582,6.3337e-05,3.4844e-05,3.7638e-05,-0.00013582,-0.00013627,1.8958e-05,0,-0.00016037,0.025531,0.0048989,-0.001439,0.0017551,0.002352,0.0041578,0.0052658,0.0050144,0,0.00035184,0,0,0,0,0
-4.357e-05,-5.1996e-05,5.8285e-05,6.1014e-05,2.2029e-05,-2.4758e-05,-0.00015036,-0.00016162,-3.4183e-05,0,-0.00019817,0.023883,0.0047485,-0.0014132,0.001688,0.0022419,0.0039492,0.0050264,0.0049621,0,0.00028147,0,0,0,0,0
-8.1466e-05,-8.2234e-05,-1.5072e-06,5.8455e-05,1.2412e-05,-7.2375e-05,-0.00015763,-0.00017599,-7.4003e-05,0,-0.0002229,0.022293,0.0045629,-0.0013725,0.0016117,0.0021244,0.0037305,0.0047657,0.0048489,0,0.00022518,0,0,0,0,0
-0.00010875,-0.00010359,-4.6673e-05,5.5723e-05,5.2489e-06,-0.00010765,-0.00015981,-0.00018262,-0.00010296,0,-0.00023763,0.02077,0.0043542,-0.0013212,0.0015298,0.0020036,0.0035088,0.0044953,0.0046913,0,0.00018014,0,0,0,0,0
-0.00012756,-0.00011793,-7.9956e-05,5.2882e-05,-3.2426e-08,-0.00013281,-0.00015845,-0.00018386,-0.0001232,0,-0.00024474,0.01932,0.0041318,-0.0012629,0.0014453,0.0018827,0.003289,0.004223,0.0045028,0,0.00014412,0,0,0,0,0
