rho,regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
0.000000,float,1.224229014e-05,2.742025865e-05,3.206248352e-05,2.216670576e-06,4.166992248e-05,2.778364296e-05,0.0001979451935,3.840398662e-05,1.224081882e-05,3.621043363e-05,  0.01363629186
0.000000,peg,1.198124961e-05,1.954285019e-05,  0.00340124031,1.207749335e-05,7.775779825e-05, 0.002998060531, 0.001590068469,5.505253633e-05,1.122568388e-05,0.0002332780883,  0.02265871915
0.000000,managed,4.316662793e-06,8.963508604e-06,0.0001608902577,3.770394489e-06,2.523920363e-05,0.0002520501135,9.436494308e-05,1.796882609e-05,4.676186814e-06,4.046839384e-05,  0.01596505463
1.000000,float,1.473477741e-05,2.483292119e-05,6.536078843e-05,1.301260672e-05,5.805714762e-05,3.756796157e-05,0.0001409452745,3.606262008e-05,1.469020329e-05,5.086540401e-05,  0.01495919885
1.000000,peg,1.201116525e-05,1.630387533e-05, 0.004667896417,2.026967337e-05,0.0001982407615, 0.003515884668,0.0007571129233,3.992920835e-05,1.149400425e-05,0.0002365929929,   0.0209934866
1.000000,managed,4.544861013e-06,8.240454286e-06,0.0001529127088, 1.44272851e-05,3.762364863e-05,0.0002312086629,0.0001002461547,1.785548228e-05,4.857321352e-06,4.953137728e-05,  0.01628165552
1.500000,float,1.851224911e-05,2.680863668e-05,9.159216028e-05,2.418952661e-05,7.193320725e-05, 5.02764417e-05,0.0001368996866, 3.97660659e-05,1.835141833e-05,6.338487121e-05,  0.01545912587
1.500000,peg,1.190906749e-05,1.433223207e-05, 0.006493499957,1.790782392e-05,0.0003715217481,   0.0041731312,0.0004265500181,3.108900108e-05,1.173560525e-05,0.0002391218669,  0.01979959311
1.500000,managed,5.123487169e-06,8.665719204e-06,0.0001899514718,2.293817771e-05, 5.64423705e-05,0.0002230359818,0.0001050849584,1.972543806e-05,5.350205591e-06,5.558980726e-05,  0.01627335922
2.000000,float,  2.4319614e-05,3.138730386e-05,0.0001252999838,3.944397051e-05,9.009976888e-05,7.295778293e-05,0.0001424285563,4.702127396e-05,2.396736717e-05,7.989651802e-05,  0.01561019193
2.000000,peg,1.169353412e-05,1.217420481e-05,  0.01033346215,2.872677038e-05,0.0007792749437,  0.00535512704,0.0001926857227,2.310218821e-05,1.210909895e-05,0.0002427200115,  0.01818966031
2.000000,managed,6.382731737e-06,1.003057269e-05,0.0002900674875, 3.48628249e-05,9.652483109e-05,0.0002165476751,0.0001125306724,2.367146537e-05,6.448980439e-06,6.368156035e-05,  0.01600069682
2.200000,float,2.719083106e-05,3.390188886e-05,0.0001411757205,4.632244724e-05,9.857387254e-05,8.655891586e-05,0.0001463795756,5.078993255e-05,2.674752031e-05,8.764288224e-05,  0.01550289061
2.200000,peg,1.156274634e-05,1.127291542e-05,  0.01297584349,5.133712768e-05, 0.001086775451,   0.0060682358,0.0001365737421,2.081979206e-05,1.230996989e-05,0.0002445986688,   0.0173816485
2.200000,managed,7.203990302e-06,1.096803341e-05,0.0003624976872,4.130862736e-05,0.0001236867539,0.0002148732781,0.0001168750911,2.602836829e-05,7.178698983e-06,6.781217877e-05,  0.01576044966
0.500000,float, 1.27883701e-05,2.523826517e-05,4.577777415e-05,5.982929431e-06,4.813897875e-05,3.078451865e-05, 0.000160053881,3.584618713e-05,1.278870126e-05,4.200143514e-05,  0.01431105932
0.500000,peg,1.202798301e-05,1.804803019e-05, 0.003782586155,1.844930901e-05,0.0001175911265, 0.003160237494, 0.001152653107,4.813592577e-05,1.133332019e-05,0.0002347239682,  0.02191642944
0.500000,managed,4.328860944e-06,  8.4069365e-06,0.0001478347966,8.145734282e-06,2.884822363e-05,0.0002407903209,9.676759272e-05,1.741279067e-05,4.679307886e-06,4.463322094e-05,  0.01615777858
