rho,regime,total
0.0,float,21.591997455813676
0.0,peg,73.00574865521509
0.0,managed,10.838665333757953
0.5,float,22.267125602901363
0.5,peg,77.97767869501352
0.5,managed,10.5883257575537
1.0,float,25.205651320556935
1.0,peg,90.45876588665513
1.0,managed,10.959289101860643
1.5,float,31.05577601146526
1.5,peg,117.11110481302696
1.5,managed,12.398539708292816
2.0,float,40.104491526979544
2.0,peg,174.28692753069842
2.0,managed,15.84514909455372
2.2,float,44.591278564790656
2.2,peg,213.93550481820765
2.2,managed,18.194713512385256
