rho,regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
0.000000,float,1.464768165e-05,3.552570435e-05,2.313521489e-05,1.923068587e-07,1.876784262e-06, 2.35925918e-05,0.0001490627446,5.618864594e-05,  1.4796372e-05,5.573689753e-05,  0.02042578581
0.000000,peg,7.682552294e-05, 0.000104420852,0.0004073337667,2.871144432e-07,3.854691926e-06,0.0004006998351, 0.001093391911,0.0005228054741,6.985720856e-05,0.0002406530896,  0.01942886078
0.000000,managed,1.096510941e-05,1.061592175e-05,1.225932884e-05,1.437968955e-07,1.888640356e-06,1.717365553e-05,8.230530148e-05,5.429573701e-05,1.102027458e-05,4.863014028e-05,  0.02008849134
0.250000,float,1.583054298e-05,3.615125471e-05,2.581886417e-05,2.731493962e-07,2.890385383e-06,2.474364877e-05,0.0001474754075,5.700567381e-05,1.593612474e-05,5.842526212e-05,  0.02068323239
0.250000,peg,7.326129401e-05,9.754471609e-05,0.0005650504448,3.573722484e-07,1.752693146e-05,0.0004094068862, 0.001056141026,0.0004847346743,6.475961347e-05,0.0002398083491,   0.0199266673
0.250000,managed,1.018523527e-05,1.068938606e-05,1.599494183e-05,2.272568021e-07,2.384246168e-06, 1.81258411e-05,8.038128364e-05,5.010679613e-05,1.026029826e-05,4.874367297e-05,  0.02042947931
0.500000,float,1.854893079e-05,3.834669669e-05,3.001799717e-05,4.007087574e-07,4.098723739e-06,2.732380949e-05,0.0001481955574,5.988039039e-05,1.855939634e-05,6.302235262e-05,  0.02097817262
0.500000,peg,6.935027632e-05,9.055439336e-05,0.0007602013507,1.266048307e-06, 4.74629396e-05, 0.000419655071, 0.001014441022,0.0004468634558,5.959829677e-05,0.0002388386151,  0.02050939012
0.500000,managed,9.554781156e-06,1.091821061e-05,2.203967347e-05,3.973340191e-07,3.524608682e-06,2.064929823e-05,7.918479384e-05,4.665619759e-05,9.647203535e-06,4.925705891e-05,  0.02081750497
0.750000,float,2.287413475e-05, 4.21535517e-05,3.601010955e-05,5.822614823e-07,5.621971458e-06,3.130530542e-05,0.0001511428376,6.482202562e-05,2.273340826e-05,6.954014661e-05,  0.02130539636
0.750000,peg,6.523117826e-05,8.362112163e-05,0.0009905852866,4.321610114e-06,9.003372406e-05,0.0004315328513,0.0009699648403,0.0004100429155,   5.450027e-05,0.0002377756077,   0.0211649275
0.750000,managed,9.136158829e-06,1.132632481e-05,3.065465979e-05,7.015240171e-07,5.296822633e-06,2.486761448e-05,7.876388765e-05,4.407913446e-05,9.233807712e-06,5.021684795e-05,  0.02124435224
1.000000,float,2.892434161e-05,4.766345702e-05,4.412696065e-05,8.234054349e-07,7.639636897e-06,3.669329613e-05,0.0001562920187,7.188423901e-05, 2.85722058e-05,7.804633739e-05,  0.02165943261
1.000000,peg,6.103241079e-05,7.688603372e-05, 0.001252744155, 1.09947428e-05,0.0001413537835,0.0004452238407,0.0009242060116,0.0003749289548,4.957175771e-05,0.0002366507155,  0.02188035651
1.000000,managed,8.982804602e-06,1.193446451e-05,4.224825267e-05,1.173480161e-06,7.755807445e-06,3.093563294e-05,7.911031264e-05,4.243706402e-05,9.063157931e-06,5.165987014e-05,  0.02170189161
1.500000,float, 4.68062657e-05,6.431831047e-05,6.812105303e-05,1.539574975e-06,1.400351706e-05,5.190018879e-05, 0.000173305899,9.271344398e-05,4.583717375e-05,0.0001014965832,  0.02242579612
1.500000,peg,5.283296769e-05,6.442454462e-05, 0.001851989903,3.972257955e-05,0.0002568552723,0.0004792974281,0.0008337487834,0.0003115420692,4.054109184e-05,0.0002343358594,  0.02343581309
1.500000,managed,9.651900318e-06,1.382812064e-05,7.681104065e-05,2.645646325e-06,1.539384238e-05,4.945682526e-05,8.192190561e-05,4.196499934e-05,9.592731823e-06,5.612185246e-05,    0.022677209
2.000000,float,7.347075792e-05,  8.9479148e-05, 0.000104629283, 2.86732407e-06,2.493199949e-05,7.377924085e-05,0.0001997120154,0.0001231437777, 7.16141678e-05, 0.000134531242,  0.02323301776
2.000000,peg,4.545187263e-05,5.373208061e-05,    0.002511763,9.101662228e-05,0.0003739999243,0.0005255341782,0.0007508140007,0.0002586701676,3.294782441e-05,0.0002321219144,  0.02506069515
2.000000,managed,1.187015288e-05,1.676414761e-05,0.0001325262668,4.766461645e-06,2.857451645e-05,  7.8405742e-05,8.716868413e-05,4.499143819e-05,1.148887094e-05,6.287520209e-05,   0.0236812606
3.000000,float,0.0001577931427,0.0001698899447,0.0002236974222,1.197157149e-05, 6.75441086e-05,0.0001446390258,0.0002840624968,0.0002159520071,0.0001533873244,0.0002346234753,  0.02479120304
3.000000,peg,3.467333876e-05,3.832105948e-05, 0.003860706849,0.0002325751647,  0.00058713925, 0.000680165973,0.0006263298886,0.0001844047281,2.266962868e-05, 0.000228807751,  0.02804127115
3.000000,managed,2.203253667e-05,2.670918683e-05,0.0003527455385,1.239523104e-05,8.573235448e-05,0.0001816160848,0.0001040764568,6.005268958e-05,2.042642815e-05,8.426597545e-05,  0.02553759196
