theta,regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
0.000000,float,2.513825683e-05,2.612704939e-05,1.436074352e-05,5.101581686e-07,5.874799392e-06,1.693527394e-05, 0.000107819943,6.016777567e-05,2.520757103e-05,3.963531364e-05, 0.001901859632
0.000000,peg,1.187243467e-05,1.751045182e-05,0.0001783558005,8.022495636e-07,1.753391475e-05,9.800137448e-05,0.0001499884997, 5.81601081e-05,1.128293265e-05,7.210304151e-07, 0.001766704775
0.000000,managed,6.845317108e-06,7.375138237e-06,3.461922923e-05,4.600647182e-07,6.365662565e-06,3.078291121e-05,7.900615472e-05,3.715947965e-05,7.097398971e-06,8.671451229e-06, 0.001857405031
0.250000,float,2.447854747e-05,2.550075586e-05,1.380947711e-05,5.352443067e-07,5.830515489e-06,1.676288264e-05,0.0001064243881,5.941789345e-05,2.453766338e-05, 3.86841721e-05,  0.00182719868
0.250000,peg, 1.19944489e-05,1.761752017e-05,0.0001722098171,8.217745901e-07, 1.71686895e-05,9.451366148e-05,0.0001466425041,5.807747997e-05,1.140384674e-05,7.034039314e-07, 0.001723515483
0.250000,managed,6.797876721e-06,7.345280225e-06, 3.29471772e-05,4.779184392e-07,6.265925241e-06,2.990409762e-05,7.859340023e-05,3.697137033e-05,7.046152394e-06,8.527388018e-06, 0.001793404648
0.500000,float,2.385278726e-05,2.490774912e-05,1.330762656e-05,5.626110013e-07,5.785984969e-06,1.665033403e-05,0.0001051902888,5.869304038e-05,2.390307615e-05,3.777286287e-05, 0.001750727978
0.500000,peg,1.213215041e-05,1.773702245e-05,0.0001664669455,8.432381952e-07, 1.68254141e-05,9.127202757e-05,0.0001435067486,5.801590974e-05,1.154115365e-05,6.852651702e-07, 0.001679070983
0.500000,managed,6.756272271e-06,7.318409891e-06,3.137739504e-05,4.976743825e-07,6.167490707e-06, 2.91231873e-05,7.829074597e-05,3.677620401e-05,7.002295538e-06, 8.38916078e-06,  0.00172779991
0.750000,float, 2.32626738e-05,2.434984671e-05,1.285679566e-05,5.921296218e-07,5.741381047e-06,1.659723136e-05,0.0001041150216,5.799377637e-05,2.330553748e-05,3.690328165e-05, 0.001672443144
0.750000,peg,1.228864366e-05,1.787134666e-05,0.0001611386281,8.665812644e-07,1.650636641e-05,8.827098559e-05,0.0001405717389,5.798189158e-05,1.169781912e-05,6.666092196e-07,  0.00163335924
0.750000,managed,6.720956894e-06,7.294750866e-06,2.990964027e-05,5.191105293e-07,6.070535696e-06,2.843713357e-05,7.809557841e-05,3.657318052e-05,6.966334766e-06, 8.25725993e-06,  0.00166056755
1.000000,float,2.271024039e-05,2.382922188e-05,1.245867581e-05,6.237573206e-07,5.696875863e-06,1.660356576e-05,0.0001031986734,5.732095487e-05,2.274712354e-05,3.607783641e-05, 0.001592364444
1.000000,peg,1.246783625e-05,1.802348737e-05,0.0001562400046,8.918735039e-07,1.621438221e-05,8.550540775e-05,0.0001378294338,5.798390021e-05, 1.18775761e-05,6.474501498e-07,  0.00158641473
1.000000,managed,6.692537136e-06,7.274622575e-06,2.854370719e-05,5.420662407e-07, 5.97524196e-06,2.784303229e-05, 7.80071094e-05, 3.63615994e-05,6.938943322e-06,8.132338563e-06, 0.001591708809
1.250000,float,2.219793735e-05,2.334848922e-05,1.211506883e-05,6.575432754e-07,5.652640228e-06, 1.66697683e-05,0.0001024441456,5.667578547e-05,2.223034099e-05,3.529954886e-05, 0.001510542395
1.250000,peg,1.267466358e-05,1.819720404e-05,0.0001517907204,9.193480592e-07,1.595301058e-05,8.297045728e-05,0.0001352730189,5.803296912e-05,1.208513705e-05,6.278256745e-07, 0.001538329859
1.250000,managed,6.671811279e-06,7.258465551e-06,2.727941178e-05,5.664456971e-07,5.881797447e-06,2.733810695e-05, 7.80264209e-05,3.614088398e-05,6.921001163e-06,8.015244723e-06, 0.001521254511
1.500000,float,2.172872907e-05, 2.29108076e-05,1.182791594e-05,6.936379553e-07,5.608843093e-06,1.679678172e-05,0.0001018573482,5.605991132e-05,2.175822576e-05,3.457217355e-05,  0.00142706443
1.500000,peg,1.291538597e-05,1.839722745e-05,0.0001478159684,9.494517672e-07,1.572672019e-05,8.066149739e-05,0.0001328966936,5.814346874e-05,1.232647442e-05,6.078032318e-07, 0.001489269869
1.500000,managed,6.659816376e-06,7.246872642e-06,2.611657094e-05,5.922230558e-07,5.790397182e-06, 2.69196948e-05,7.815657479e-05,3.591061429e-05,6.913643838e-06,7.907060053e-06,  0.00144927102
