rho,phi_s,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
0.000000,0.000000,1.224229014e-05,2.742025865e-05,3.206248352e-05,2.216670576e-06,4.166992248e-05,2.778364296e-05,0.0001979451935,3.840398662e-05,1.224081882e-05,3.621043363e-05,  0.01363629186
0.000000,0.050000,6.027828543e-06,1.817452646e-05,1.876667848e-05,2.522928431e-06,3.665604849e-05,4.581015593e-05,0.0001491888029,2.764576391e-05,6.175478912e-06, 2.94868533e-05,  0.01423947912
0.000000,0.100000,4.930837721e-06,1.487380949e-05,2.774353986e-05,2.799888331e-06,3.303749754e-05,7.667173608e-05,0.0001217018278,2.368124275e-05,5.163932678e-06,3.036456654e-05,  0.01467679441
0.000000,0.150000,4.513106987e-06,1.271051437e-05, 4.99972828e-05,3.060883622e-06,3.026696787e-05,0.0001150868693,0.0001050108724,2.127095653e-05,4.801048391e-06,3.240160079e-05,   0.0150531685
0.000000,0.200000,4.344255485e-06,1.112494444e-05,8.133421432e-05, 3.30894707e-06,2.813101632e-05,0.0001582535304,9.606672679e-05,1.969012326e-05,4.667885691e-06, 3.48983375e-05,  0.01538797187
0.000000,0.300000,4.316662793e-06,8.963508604e-06,0.0001608902577,3.770394489e-06,2.523920363e-05,0.0002520501135,9.436494308e-05,1.796882609e-05,4.676186814e-06,4.046839384e-05,  0.01596505463
0.000000,0.400000,4.463003425e-06,7.619741098e-06,0.0002524240448,4.189814707e-06,2.362441429e-05,0.0003492053432,0.0001068662343,1.736020306e-05,4.830393888e-06,4.629499058e-05,   0.0164489884
0.000000,0.500000,4.676196653e-06,6.772997686e-06,0.0003485511291,4.571635244e-06,2.285224679e-05,0.0004453973944, 0.000128009533,1.737211174e-05, 5.03588225e-06,5.210820702e-05,  0.01686278855
0.000000,0.750000, 5.27900891e-06,5.855871734e-06,0.0005865296103,5.387888663e-06, 2.30333109e-05,0.0006702650781,  0.00019921937,1.868556024e-05,5.588365941e-06,6.592085923e-05,  0.01768016408
0.000000,1.000000,5.852361123e-06,5.788303646e-06, 0.000804802091,6.047973747e-06, 2.46849497e-05,0.0008670832491,0.0002785769666,2.066918918e-05,6.096960096e-06,7.831772399e-05,  0.01828827169
0.000000,1.500000,6.797250618e-06,6.533354888e-06, 0.001168701265,7.045474347e-06, 2.92399444e-05, 0.001183803492,0.0004290439174,2.473995861e-05,6.916370182e-06,9.893289944e-05,   0.0191385667
0.000000,2.000000,7.509310391e-06,7.564457092e-06, 0.001450490576,7.761358009e-06, 3.37935231e-05, 0.001422583847,0.0005565479515,2.824462648e-05,7.523612886e-06,0.0001150360633,  0.01970785874
1.000000,0.000000,1.473477741e-05,2.483292119e-05,6.536078843e-05,1.301260672e-05,5.805714762e-05,3.756796157e-05,0.0001409452745,3.606262008e-05,1.469020329e-05,5.086540401e-05,  0.01495919885
1.000000,0.050000, 7.31227401e-06,1.570660805e-05,4.253746609e-05,1.333158201e-05,5.168326466e-05,5.180021291e-05, 0.000120974923,2.611453731e-05,7.391260744e-06,4.193841676e-05,  0.01528791706
1.000000,0.100000,5.763870911e-06,1.284011155e-05,4.258867681e-05,1.359342637e-05,4.707515282e-05, 7.70390295e-05,0.0001110322374,2.275121946e-05,5.926629135e-06,4.184284656e-05,  0.01553034193
1.000000,0.150000,5.100174527e-06,1.110141742e-05,5.689112298e-05, 1.38278895e-05,4.356015645e-05, 0.000109586625,0.0001049613625,2.075719456e-05,5.320775991e-06,4.316983783e-05,  0.01574401584
1.000000,0.200000,4.772562861e-06,9.876311439e-06,8.167629878e-05,1.404280622e-05,4.091563253e-05,0.0001471027934,0.0001015388383,1.942859232e-05,5.034330304e-06,4.505586899e-05,   0.0159381871
1.000000,0.300000,4.544861013e-06,8.240454286e-06,0.0001529127088, 1.44272851e-05,3.762364863e-05,0.0002312086629,0.0001002461547,1.785548228e-05,4.857321352e-06,4.953137728e-05,  0.01628165552
1.000000,0.400000,4.564959007e-06,7.220616659e-06,0.0002422871963,1.476358884e-05, 3.62652321e-05,0.0003213925283,0.0001039819127,1.709583324e-05,4.902120873e-06,5.435897666e-05,  0.01657784969
1.000000,0.500000,  4.6889579e-06,6.561548887e-06, 0.000341521722,1.506130958e-05,3.623251547e-05,0.0004133275505,0.0001109518367,1.679265811e-05,5.035411887e-06,5.925045465e-05,  0.01683675612
1.000000,0.750000,5.151663642e-06,5.780890855e-06,0.0006037728571,1.567714163e-05,3.957166219e-05,0.0006372160715,0.0001359780944,1.703525575e-05,5.486577915e-06,7.108394307e-05,  0.01736286809
1.000000,1.000000,5.646942509e-06,5.629797729e-06,0.0008602401666,1.615942225e-05,4.531034956e-05,0.0008424000533,0.0001653500892, 1.78898757e-05, 5.94882259e-06,8.193052716e-05,  0.01776665121
1.000000,1.500000,6.519595675e-06,6.033185698e-06, 0.001314843104, 1.68687976e-05,5.858718037e-05, 0.001188871699,0.0002238898609,2.000131756e-05,6.741710523e-06,0.0001004389213,  0.01834883848
1.000000,2.000000,7.209514197e-06,6.716269964e-06, 0.001687015147,1.736700138e-05,7.127184273e-05, 0.001462494725,0.0002758336004,2.199946946e-05,7.356773949e-06,0.0001153162726,  0.01875024511
