rho,phi_s,total
0.0,0.0,19.081349622875308
0.0,0.05,10.33948660937584
0.0,0.1,8.871669635957582
0.0,0.15,8.549939900939778
0.0,0.2,8.722878059321056
0.0,0.3,9.78765747753465
0.0,0.4,11.308332405231054
0.0,0.5,13.014022671307318
0.0,0.75,17.398325849318972
0.0,1.0,21.486772162219868
0.0,1.5,28.33110569057152
0.0,2.0,33.626609866132775
1.0,0.0,25.200210604417137
1.0,0.05,13.696277919494333
1.0,0.1,11.308654887765938
1.0,0.15,10.469905252447639
1.0,0.2,10.302133800515668
1.0,0.3,10.956933200968159
1.0,0.4,12.279365069100942
1.0,0.5,13.922090038819773
1.0,0.75,18.514346291923378
1.0,1.0,23.102314600851134
1.0,1.5,31.264430313610106
1.0,2.0,37.92981273386459
2.0,0.0,47.98978283243956
2.0,0.05,27.53422189184078
2.0,0.1,22.307538505461945
2.0,0.15,19.9355643160186
2.0,0.2,18.820755327310682
2.0,0.3,18.464808669652992
2.0,0.4,19.42157387537595
2.0,0.5,21.08007052948708
2.0,0.75,26.69406102129181
2.0,1.0,33.09158496719808
2.0,1.5,45.81589709157317
2.0,2.0,57.288872967984254
