psi,rho,regime,total
0.005,0.0,float,18.32362379775998
0.01,0.0,float,18.10219701713829
0.02,0.0,float,17.88286875160643
0.04,0.0,float,17.65845841181791
0.08,0.0,float,17.428761680018233
0.005,0.0,managed,8.718017836041644
0.01,0.0,managed,8.347928794324384
0.02,0.0,managed,8.011738643416384
0.04,0.0,managed,7.730136927777834
0.08,0.0,managed,7.514948103736797
0.005,0.0,peg,97.59037240891631
0.01,0.0,peg,85.20206204793483
0.02,0.0,peg,71.9345820180812
0.04,0.0,peg,58.93561188535462
0.08,0.0,peg,47.47649546403745
0.005,1.0,float,25.645054016664925
0.01,1.0,float,25.599335792322858
0.02,1.0,float,25.525629754508333
0.04,1.0,float,25.404795981828062
0.08,1.0,float,25.2341426752164
0.005,1.0,managed,10.797158013627984
0.01,1.0,managed,10.465289430000356
0.02,1.0,managed,10.169465854523237
0.04,1.0,managed,9.931744185510617
0.08,1.0,managed,9.762300702367304
0.005,1.0,peg,138.18595258975847
0.01,1.0,peg,120.7549846336996
0.02,1.0,peg,102.05483309243172
0.04,1.0,peg,83.69381382796519
0.08,1.0,peg,67.46720666020634
0.005,2.0,float,44.197055334067564
0.01,2.0,float,44.18532391233844
0.02,2.0,float,44.09777855461435
0.04,2.0,float,43.92341759332477
0.08,2.0,float,43.672801251758706
0.005,2.0,managed,17.677846882807792
0.01,2.0,managed,17.40322844174168
0.02,2.0,managed,17.17843228576877
0.04,2.0,managed,17.023199936117887
0.08,2.0,managed,16.935704263343986
0.005,2.0,peg,244.0921812819849
0.01,2.0,peg,214.04971556833098
0.02,2.0,peg,181.8837996359688
0.04,2.0,peg,150.40716883278978
0.08,2.0,peg,122.7372865291758
