psi,regime,variable,eps_a1,eps_a2,eps_a3,eps_pF,eps_D,eps_pX,eps_rp
0.00500000,float,piDC,0.7329840152,10.16938422,83.6183026,0.2196973795,0.1111888209,0.3119507329,4.836492233
0.00500000,float,PIC,0.8523176568,8.081976068,38.15921701,1.685205936,0.3898944565,0.6032256144,50.22816326
0.00500000,float,y_gap,0.09237413263,0.5170555744,0.9590456565,2.692373652,0.9814465192,0.918368248,93.83933622
0.00500000,float,y_gap1,1.872436559,8.519983764,72.71266917,0.48945797,0.4464733573,0.579082047,15.37989714
0.00500000,float,y_gap2,1.633229302,31.71272604,55.77998662,0.2355069651,0.5135740964,0.7426008943,9.38237608
0.00500000,float,y_gap3,0.346395277,9.385659237,19.68375724,2.127224076,0.3700168513,0.2767024608,67.81024486
0.00500000,float,PI1,79.85462849,2.192395655,12.08442997,0.1315102827,0.1232698795,0.1892628614,5.424502857
0.00500000,float,PI2,1.32543162,56.2224502,29.6122195,0.4534807799,0.2066386531,0.4163297383,11.76344951
0.00500000,float,PI3,0.6592259233,8.406433917,86.12983597,0.1977575808,0.09685176635,0.283370403,4.226524438
0.00500000,float,I,0.1857471336,4.869683465,34.73362971,1.845824251,0.1530084148,0.04728366049,58.16482336
0.00500000,float,BSTAR,0.01878489042,0.5773449672,3.614044939,5.223940422,0.8993179838,1.325975775,88.34059102
0.00500000,peg,piDC,0.003837070511,0.5333289687,21.76007827,7.168901263,0.7158660134,1.094574274,68.72341415
0.00500000,peg,PIC,0.323048649,2.50293388,10.08014966,19.76579189,0.552901074,0.805084792,65.97009006
0.00500000,peg,y_gap,0.03525033605,0.5145841853,4.819525107,4.798499432,0.9013014169,1.117062981,87.81377654
0.00500000,peg,y_gap1,0.7266382098,4.743167232,14.33498736,5.351190303,1.260907767,1.488103245,72.09500589
0.00500000,peg,y_gap2,0.2247954051,4.764363608,2.24884189,3.995697411,0.8858560754,1.088144863,86.79230075
0.00500000,peg,y_gap3,0.006668333861,0.192657912,7.783303466,4.905040917,0.8607025142,1.072163794,85.17946306
0.00500000,peg,PI1,7.122825831,0.106631275,1.860773486,3.524985696,0.3966821303,0.4632945795,86.524807
0.00500000,peg,PI2,0.2081014749,21.45791558,1.699627023,7.465853179,0.4919438106,0.6849670449,67.99159189
0.00500000,peg,PI3,0.00262096891,0.06448311663,25.91857724,6.825594438,0.721100012,1.115347668,65.35227656
0.00500000,peg,I,0.0001360845769,0.0044030887,0.02852124198,0.03813464534,0.006550041642,0.009682266464,99.91257263
0.00500000,peg,BSTAR,0.01711205338,0.5536695675,3.586424164,4.79526851,0.8236397153,1.217503587,89.0063824
0.00500000,managed,piDC,0.2838701368,4.905992151,79.95071132,5.592512117,0.1555587151,0.2234468698,8.887908691
0.00500000,managed,PIC,1.153282525,7.745762689,20.97504324,9.838801839,0.3805507535,0.4563223339,59.45023662
0.00500000,managed,y_gap,0.6970584606,7.019825764,24.61914066,22.53312127,5.31574244,6.77009681,33.0450146
0.00500000,managed,y_gap1,2.432556272,11.97751499,80.13132768,1.981859762,0.9724855543,1.240873588,1.263382163
0.00500000,managed,y_gap2,2.005578758,36.93758647,44.8384494,2.486697292,1.385621372,1.925926609,10.4201401
0.00500000,managed,y_gap3,0.03095317705,6.696440474,50.30245997,16.52155027,2.838346994,3.49781603,20.11243308
0.00500000,managed,PI1,84.88794089,0.668837562,1.568891306,2.097339615,0.013800606,0.01611522771,10.74707479
0.00500000,managed,PI2,1.473926339,88.86253031,3.655937215,4.632010366,0.0314281199,0.04564380401,1.298523845
0.00500000,managed,PI3,0.1591414596,1.522881187,84.14604474,4.807250929,0.155734712,0.2247503913,8.984196586
0.00500000,managed,I,0.03271860839,1.448985455,9.783617015,2.236709501,0.2942830704,0.2395273876,85.96415896
0.00500000,managed,BSTAR,0.01830370929,0.57003587,3.602647573,5.130320717,0.8826931091,1.301402544,88.49459648
0.01000000,float,piDC,0.7381568034,10.29233479,84.42529154,0.1679843146,0.1291666463,0.3497647239,3.897301174
