kappa,rho,regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
0.500000,0.000000,float,0.0001624494577,0.0001747774689,0.0001060163402, 1.69868694e-08,7.674807446e-06,7.547653819e-05,0.0003230324744,0.0002249688678, 0.000170767467,0.0002531836339,  0.02263331114
0.500000,0.000000,peg,0.0002766028688,0.0002357750486,0.0004483635418,1.303941004e-07,1.723121263e-05,0.0003224503696, 0.001603374435,0.0003349178937,0.0002836403543,0.0002358424915,  0.02280061767
0.500000,0.000000,managed,4.002852788e-05,2.997015183e-05,9.143010016e-05,2.738712907e-08, 7.42641768e-06,6.434701809e-05,0.0001814060904,7.552294097e-05,5.258331245e-05,6.820581322e-05,  0.02267323732
0.500000,1.000000,float,0.0002979946472,0.0003081486196,0.0002432427655,8.112636659e-07,2.778969726e-05,0.0001079277914,0.0004081599501,0.0003480856757,0.0003059914862,   0.0003964455,  0.02335576568
0.500000,1.000000,peg,0.0002406865456,0.0002005341172,0.0009421326379,1.043903283e-06,7.657207318e-05, 0.000465148306,0.0008624004624,0.0002414248061, 0.000257816197,0.0002349402692,  0.02366401887
0.500000,1.000000,managed,5.183718395e-05,4.432311052e-05,0.0002338991023,7.699030306e-07,  2.8730519e-05,9.917188191e-05,0.0001478903846,8.306883702e-05,6.380905255e-05,8.173702878e-05,  0.02343343279
0.500000,2.000000,float,0.0008240236576,0.0008304664474,0.0008313616393,1.217937192e-05, 0.000137448906,0.0002142117368,0.0009379487892,0.0008904110367,0.0008262699331,0.0009133853221,  0.02424688149
0.500000,2.000000,peg,0.0001937118484, 0.000159695099, 0.002846708314, 2.48641557e-05,0.0003709025264,0.0008923498157,0.0003578726219,0.0001577048105,0.0002264535922,0.0002343877283,  0.02465017542
0.500000,2.000000,managed,0.0001029303914,9.690863975e-05,0.0009361294973,1.316217141e-05,0.0001589625235,0.0002300592996,0.0002056233608,0.0001532477624, 0.000109850429,0.0001239573726,  0.02435045839
0.750000,0.000000,float,9.191217452e-05,0.0001042830531,7.609772979e-05,2.603406957e-08,1.259813113e-05,5.004412959e-05,0.0002395873854,0.0001237424749,9.532636174e-05,0.0001658447887,  0.02258595142
