kappa,rho,regime,total
0.5,0.0,float,12.26079144442005
0.75,0.0,float,21.781587085932657
1.0,0.0,float,17.88273142307168
1.15,0.0,float,4.396970526121554
0.5,0.0,managed,4.719861459335025
0.75,0.0,managed,6.750931627274655
1.0,0.0,managed,8.01168629156775
1.15,0.0,managed,5.268887976146706
0.5,0.0,peg,24.162030319866847
0.75,0.0,peg,43.744099736534395
1.0,0.0,peg,71.93441991155835
1.15,0.0,peg,91.09155656870949
0.5,1.0,float,24.778672619901915
0.75,1.0,float,38.217267659357084
1.0,1.0,float,25.525433194330155
1.15,1.0,float,5.572617823336875
0.5,1.0,managed,8.052793280636275
0.75,1.0,managed,9.917102141596029
1.0,1.0,managed,10.1694025105893
1.15,1.0,managed,6.0437123382690325
0.5,1.0,peg,31.38510727829702
0.75,1.0,peg,58.314045829516886
1.0,1.0,peg,102.05467308664527
1.15,1.0,peg,136.5958245621223
0.5,2.0,float,81.3809621622227
0.75,2.0,float,94.09382441069543
1.0,2.0,float,44.09743796357184
1.15,2.0,float,8.057433428516232
0.5,2.0,managed,23.825566129797288
0.75,2.0,managed,22.677492550779895
1.0,2.0,managed,17.178333270749672
1.15,2.0,managed,8.043238305649597
0.5,2.0,peg,60.14563395473106
0.75,2.0,peg,104.30601369981397
1.0,2.0,peg,181.88363299864454
1.15,2.0,peg,250.6126498798081
