delta3,rho,regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
0.050000,0.000000,float,1.886182514e-07,1.435188223e-05,9.679214305e-05,9.441281176e-08, 2.74390804e-05,0.0001243487721,0.0001304829018,2.058749828e-05, 1.89464782e-07,2.832940943e-05,  0.02252756809
0.050000,0.000000,peg,6.078148176e-07,1.498471446e-05, 0.004466361074,1.308904728e-06,9.743225219e-05,  0.00379769024, 0.003010270492,0.0001008954254,5.569057397e-07,0.0002351772753,  0.02309180827
0.050000,0.000000,managed,1.842264447e-07,7.391604348e-06,0.0001377512232,1.661846046e-07,2.451634565e-05,0.0001991372845,0.0001523606261,1.644527783e-05,1.851438377e-07,4.912933341e-05,  0.02263303091
0.050000,1.000000,float, 2.44576634e-07,1.231052675e-05, 0.000117130148, 1.12975163e-06, 3.98302322e-05,0.0001465583536,0.0001135273562,1.900521078e-05,2.430710318e-07,3.378236343e-05,   0.0232271367
0.050000,1.000000,peg, 5.66097775e-07,8.798644817e-06, 0.007270155539,2.702140828e-06,0.0003188768911, 0.004685490229, 0.001104840043,5.604320317e-05,5.258740271e-07,0.0002339505348,  0.02422953179
0.050000,1.000000,managed,1.856806702e-07,7.715175169e-06, 0.000158849029,9.545149619e-07, 3.56542707e-05,0.0002014971829,0.0001111135165,1.599839766e-05,1.855158376e-07,5.060765291e-05,  0.02338709434
0.050000,2.000000,float,3.458425935e-07,1.035436052e-05,0.0001522277706, 5.57546371e-06,6.567222798e-05,  0.00020366325, 0.000107979519,1.928515597e-05, 3.40413566e-07,4.326639583e-05,  0.02414610436
0.050000,2.000000,peg,5.006233277e-07, 4.27907985e-06,  0.01462441913,6.168516344e-05, 0.001065556325, 0.006802322852,0.0002043397432,2.307618043e-05,4.838741056e-07,0.0002337336035,  0.02513355743
0.050000,2.000000,managed,2.180292091e-07,  7.8427093e-06,0.0002037229049,4.926230341e-06,6.878874025e-05,0.0002300232968,0.0001038817385,1.781539881e-05,2.148407994e-07,  5.5683449e-05,  0.02426836824
0.100000,0.000000,float,2.328043905e-06,1.618957518e-05,8.561322951e-05,8.313796907e-08,2.597670779e-05,0.0001018881823,0.0001335430246,2.184285429e-05,2.351868036e-06,3.583046398e-05,  0.02252523857
0.100000,0.000000,peg,4.204359725e-06,1.948918278e-05, 0.003859690036,1.095512266e-06,9.381098919e-05, 0.003124137067,  0.00293232664,9.350474353e-05,3.724440359e-06,0.0002351542029,  0.02311081428
0.100000,0.000000,managed,1.286040704e-06,7.714147584e-06,0.0001003281106,1.357547341e-07,2.258973358e-05,0.0001376012242,0.0001525585364,1.650417667e-05,1.322722034e-06,5.153694254e-05,   0.0226384466
0.100000,1.000000,float,3.040990682e-06,1.492003672e-05,0.0001054198141,1.087530526e-06,3.829348311e-05,0.0001204023931,0.0001157344617,2.129304402e-05,3.037551814e-06,4.207956562e-05,   0.0232252464
0.100000,1.000000,peg,3.792000572e-06,1.242976968e-05, 0.006330000816,2.665989367e-06, 0.000311277567, 0.003885004271, 0.001084908916,5.341317058e-05, 3.44062262e-06, 0.000233963822,   0.0242186141
0.100000,1.000000,managed,1.387059194e-06,8.259040607e-06,0.0001252754048,9.190707736e-07,3.532197805e-05,0.0001428880402,0.0001114140394,1.630227615e-05,1.410695644e-06,5.353128841e-05,  0.02339146176
0.100000,2.000000,float,4.386369714e-06,1.434693945e-05,0.0001397970264, 5.53662191e-06,6.415637973e-05,0.0001688761069,  0.00011206066,2.361808637e-05,4.333273361e-06,5.329112704e-05,  0.02414599575
0.100000,2.000000,peg,3.236865901e-06,6.852057633e-06,   0.0126789372, 5.80466192e-05,0.0009973881023, 0.005657148111,0.0002070890733,2.370922216e-05,3.136249045e-06,0.0002337481428,   0.0251187465
0.100000,2.000000,managed,1.796236339e-06,8.954339218e-06,0.0001969988019,5.506394351e-06,7.488988242e-05,0.0001699979108,0.0001050687773, 1.90824422e-05,1.780498243e-06,5.955041486e-05,  0.02427360107
0.160000,0.000000,float, 1.12278598e-05,2.425870998e-05,7.232701375e-05,6.619350057e-08,2.377306882e-05,7.294331241e-05,0.0001434470698,2.798317718e-05,1.148600677e-05,5.370199218e-05,   0.0225202518
0.160000,0.000000,peg, 1.50980415e-05, 2.85851837e-05, 0.003184248323, 8.70196568e-07,9.198304899e-05,  0.00244008439,  0.00279321006,8.362429652e-05,1.346693822e-05,0.0002351394505,    0.023129256
0.160000,0.000000,managed,4.038203986e-06,8.854396015e-06,7.423102393e-05,1.064737622e-07,2.060316983e-05,9.053647359e-05,0.0001522823755,1.660644563e-05, 4.37995063e-06,5.413713821e-05,  0.02264418683
0.160000,1.000000,float,1.488380119e-05,2.602833239e-05,9.365393894e-05,1.016993513e-06,3.577081638e-05,8.661209381e-05,0.0001256155424,3.077247915e-05,1.503285722e-05,6.289132182e-05,  0.02322135769
0.160000,1.000000,peg,1.312788176e-05, 1.99131379e-05, 0.005302537715,2.618298911e-06,0.0002980859566, 0.003078803498, 0.001049879435,4.991200451e-05, 1.21495283e-05,0.0002339911537,  0.02419850063
