delta3,rho,regime,total
0.05,0.0,float,5.584266124371931
0.1,0.0,float,10.939435800706937
0.16,0.0,float,17.882731132788084
0.25,0.0,float,23.38687390621123
0.4,0.0,float,21.96084023280408
0.6,0.0,float,16.94370495619138
0.05,0.0,managed,5.8118099702357
0.1,0.0,managed,7.286578263521967
0.16,0.0,managed,8.011686165332208
0.25,0.0,managed,7.9845879049579835
0.4,0.0,managed,7.128946372015916
0.6,0.0,managed,6.007186766415865
0.05,0.0,peg,82.77666977803699
0.1,0.0,peg,78.32825167549645
0.16,0.0,peg,71.93442066486578
0.25,0.0,peg,61.52685127344572
0.4,0.0,peg,45.08328365072304
0.6,0.0,peg,27.499422287245128
0.05,1.0,float,7.275848637402897
0.1,1.0,float,15.024130201369196
0.16,1.0,float,25.525432839303367
0.25,1.0,float,35.15992383174505
0.4,1.0,float,35.615393858795585
0.6,1.0,float,29.430281184605807
0.05,1.0,managed,6.763648965304958
0.1,1.0,managed,8.83029648720934
0.16,1.0,managed,10.169402387643492
0.25,1.0,managed,10.66734998919706
0.4,1.0,managed,10.075874941864399
0.6,1.0,managed,8.892480401935076
0.05,1.0,peg,122.89845487971812
0.1,1.0,peg,113.65687459887671
0.16,1.0,peg,102.0546739459155
0.25,1.0,peg,85.03834015085323
0.4,1.0,peg,60.724205380730545
0.6,1.0,peg,36.97653401668999
0.05,2.0,float,10.921547230650171
0.1,2.0,float,24.373867244794845
0.16,2.0,float,44.097437375024704
0.25,2.0,float,66.08085272362713
0.4,2.0,float,75.0495764758257
0.6,2.0,float,68.84225438321273
0.05,2.0,managed,9.380061956361228
0.1,2.0,managed,13.55784532462491
0.16,2.0,managed,17.178333085578533
0.25,2.0,managed,19.866032290522114
0.4,2.0,managed,20.738884124663244
0.6,2.0,managed,19.931111562381393
0.05,2.0,peg,231.0318379702968
0.1,2.0,peg,207.39153396456365
0.16,2.0,peg,181.88363310340424
0.25,2.0,peg,148.60797935100683
0.4,2.0,peg,106.02022509591828
0.6,2.0,peg,68.25102231715776
