topology,phi_s,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
triangle,0.000000,1.488380119e-05,2.602833239e-05,9.365393894e-05,1.016993513e-06,3.577081638e-05,8.661209381e-05,0.0001256155424,3.077247915e-05,1.503285722e-05,6.289132182e-05,  0.02322135769
triangle,0.050000,7.826673221e-06,1.758691232e-05,6.479953671e-05,9.714836591e-07,3.392554391e-05,6.945892068e-05,0.0001129504428, 2.25189048e-05,8.032655089e-06,5.267608585e-05,  0.02325868315
triangle,0.100000,6.153096527e-06,1.478420257e-05,5.370889012e-05,9.401148201e-07,3.309145375e-05, 6.27991994e-05, 0.000108507424,2.003696431e-05,6.394380218e-06,5.178812392e-05,   0.0232910586
triangle,0.150000,5.368497682e-06,1.303189667e-05,5.469861475e-05,9.154340124e-07, 3.28158325e-05,6.390122298e-05,0.0001069365591,1.867695828e-05, 5.63274689e-06, 5.24739011e-05,  0.02332070681
triangle,0.200000, 4.93866703e-06,1.175999097e-05,6.518868692e-05,8.961272069e-07,3.299728442e-05,7.088751476e-05,0.0001073023913,1.783480027e-05, 5.21770454e-06,5.378405321e-05,  0.02334818388
triangle,0.300000,4.552792001e-06,9.983686666e-06,0.0001076202194,8.704824726e-07,3.444108049e-05,9.771119188e-05,0.0001121566688,1.696430157e-05,4.845174559e-06,5.720373437e-05,  0.02339776743
triangle,0.400000,4.458962936e-06,8.799981201e-06,0.0001703008166,8.582609516e-07,3.695377453e-05,0.0001363135556,0.0001208580376,1.669301335e-05,4.750706311e-06,6.105550285e-05,  0.02344144656
triangle,0.500000,4.499701281e-06, 7.97648537e-06,0.0002462105037,8.559872683e-07,4.020257524e-05,  0.00018238439,0.0001321277051,1.675629824e-05,4.782153233e-06,6.503692317e-05,  0.02348030934
triangle,0.750000, 4.84019744e-06,6.837088209e-06,0.0004660328275,8.786996217e-07,5.014605384e-05,0.0003137852616,0.0001665851797, 1.76487725e-05,5.079459112e-06,7.486752904e-05,  0.02356125147
triangle,1.000000,5.286467457e-06,6.424271214e-06,0.0006995657513,9.242947364e-07,    6.11455e-05,0.0004516009433,0.0002047171778,1.898207403e-05,5.470749766e-06, 8.40729077e-05,  0.02362519267
triangle,1.500000,6.163617249e-06,6.542944238e-06, 0.001146378348,1.040024361e-06,8.283798482e-05,0.0007124800975,0.0002801667717,2.186400051e-05,6.235069715e-06, 0.000100174975,  0.02372023815
triangle,2.000000,6.913580526e-06,7.141314573e-06, 0.001537782483,1.158988152e-06,0.0001022752381,0.0009390795894,0.0003481242995,2.451170967e-05,6.883726808e-06,0.0001134753907,  0.02378778862
hub_spoke,0.000000,1.633627128e-05,2.696426004e-05,0.0001036405608, 1.54038388e-06,4.260333953e-05,9.279389165e-05,0.0001323623635,3.306188134e-05, 1.64056631e-05,6.699823827e-05,  0.02350382812
hub_spoke,0.050000, 8.62130797e-06,1.799668812e-05,7.529640091e-05,1.471353537e-06,4.096458917e-05,7.560368168e-05,0.0001183438883,2.429233484e-05,8.751908117e-06,5.597662072e-05,  0.02354713405
hub_spoke,0.100000,6.733917708e-06,1.507802024e-05,6.534978041e-05,1.418335728e-06,4.049019311e-05,6.906713543e-05,0.0001136476371,2.162014074e-05,6.907645157e-06, 5.47278444e-05,   0.0235837943
hub_spoke,0.150000,5.821790067e-06,1.327888441e-05,6.756590222e-05,1.374456377e-06,4.065052897e-05,7.007042588e-05, 0.000112403629,  2.0123841e-05,6.025654078e-06,5.514991408e-05,  0.02361729557
hub_spoke,0.200000,5.301478205e-06,1.198338695e-05,7.941985387e-05,1.337711898e-06,4.135655099e-05,7.675467712e-05,0.0001135418019,1.916013892e-05, 5.52681801e-06,5.624146177e-05,  0.02364839803
hub_spoke,0.300000,4.786819727e-06,1.017977491e-05,0.0001252249332,1.281109128e-06, 4.41070061e-05,0.0001026019667,0.0001209802136,1.805132472e-05,5.037945666e-06,5.929380705e-05,  0.02370475778
hub_spoke,0.400000, 4.59884089e-06,8.971530836e-06,0.0001923139101,1.241984063e-06,4.821709773e-05,0.0001400516415,0.0001333187391,1.753447095e-05,4.860881937e-06,6.283180654e-05,  0.02375469246
hub_spoke,0.500000,4.563835179e-06,8.119610561e-06,0.0002736764551,1.216058545e-06,5.328324421e-05,0.0001850332009,0.0001489903379,1.734591659e-05,4.827407316e-06, 6.65344706e-05,  0.02379935273
hub_spoke,0.750000,4.759298321e-06,6.893982992e-06,0.0005109534212,1.190762632e-06,6.835322395e-05,0.0003146333839,0.0001965368862,1.760897565e-05,5.003873149e-06,7.577825239e-05,  0.02389305875
hub_spoke,1.000000,5.097692144e-06, 6.38705221e-06,0.0007656669735,1.200314823e-06,8.482679481e-05,0.0004521992067,0.0002492155953,1.834748919e-05, 5.30784469e-06,8.451714345e-05,  0.02396772218
hub_spoke,1.500000, 5.82122723e-06,6.331507641e-06, 0.001259384915,1.267423069e-06,0.0001172737211,0.0007161988132,0.0003542122861,2.019874224e-05,5.951010147e-06,9.994487829e-05,  0.02407971414
hub_spoke,2.000000,6.466458478e-06,6.789776337e-06, 0.001697702988,1.356955188e-06,0.0001464591634,0.0009486713908,0.0004497177351,2.201797824e-05,6.519021516e-06,0.0001128063241,  0.02416002657
chain,0.000000,1.970587934e-05,2.994709104e-05,0.0001286609328,1.311837655e-05,5.048332076e-05,9.257909562e-05, 0.000160074051,4.398530341e-05,1.917797049e-05,7.693367342e-05,  0.02419465804
