topology,phi_s,total
chain,0.0,33.72510536146741
chain,0.05,19.407508973396077
chain,0.1,15.7488277872353
chain,0.15,14.025567294019949
chain,0.2,13.155979303307967
chain,0.3,12.709284517744145
chain,0.4,13.188684505810475
chain,0.5,14.175291524776584
chain,0.75,17.728939654523252
chain,1.0,21.885430641425167
chain,1.5,30.22999267160478
chain,2.0,37.76262209720509
hub_spoke,0.0,28.856935741850847
hub_spoke,0.05,16.522979376140988
hub_spoke,0.1,13.435869246554303
hub_spoke,0.15,12.038116690958063
hub_spoke,0.2,11.39322436864902
hub_spoke,0.3,11.257089099035964
hub_spoke,0.4,11.955832233416553
hub_spoke,0.5,13.113376909115404
hub_spoke,0.75,16.976646868943085
hub_spoke,1.0,21.34205646001309
hub_spoke,1.5,29.93228816103272
hub_spoke,2.0,37.57674795861491
triangle,0.0,25.525629754508333
triangle,0.05,14.528381429799962
triangle,0.1,11.83007791496793
triangle,0.15,10.645900666193576
triangle,0.2,10.13946318198474
triangle,0.3,10.169465854523237
triangle,0.4,10.953126005889507
triangle,0.5,12.146034052464373
triangle,0.75,15.962231887251647
triangle,1.0,20.162553195161884
triangle,1.5,28.256950262739505
triangle,2.0,35.33258279190506
