regime,variable,eps_a1,eps_a2,eps_a3,eps_pF,eps_D,eps_pX,eps_rp
float,piDC,8.236770499,38.7242983,30.49497243,0.769888168,0.2900855682,0.7680031861,20.71598184
float,PIC,5.991758224,24.81068853,17.12956361,1.545239478,0.5174911489,0.9367661482,49.06849286
float,y_gap,5.57763314,16.89949482,1.427471667,1.806354498,2.522750674,2.913049811,68.85324539
float,y_gap1,13.47469434,2.616117777,53.32151305,0.8131099749,5.527929376,7.993340284,16.2532952
float,y_gap2,22.89054256,24.31289955,25.36333753,0.5252194929,1.477982921,1.903852962,23.52616499
float,y_gap3,0.6140712025,37.32250866,4.947794543,1.590534065,0.774680721,0.765660665,53.98475014
float,PI1,41.238955,7.304545952,16.20842757,0.9461317454,0.3313341358,0.526383893,33.44422171
float,PI2,5.806039673,53.79287789,19.29665858,0.605529362,0.2395381583,0.5072642314,19.75209211
float,PI3,7.969235959,36.94334738,33.67880813,0.7439027999,0.2774724156,0.7491270044,19.63810631
float,I,3.117682399,17.67379254,23.68711207,1.725688273,0.02189960638,0.03802467762,53.73580044
float,BSTAR,0.03533437731,0.2839716667,1.384069471,4.816098406,0.8323550633,1.09361068,91.55456034
peg,piDC,0.02165173458,0.8675290502,9.557840178,8.911422596,1.069778243,1.470147597,78.1016306
peg,PIC,0.2608951314,1.236791928,4.847951585,16.21931665,0.8768669661,1.169047466,75.38913027
peg,y_gap,0.4543659696,1.37663877,3.315276417,5.878623741,1.446915784,1.710129146,85.81805017
peg,y_gap1,1.109659293,0.8563185802,1.397913353,3.253083908,1.494842667,1.829728312,90.05845389
peg,y_gap2,1.538381367,2.739820407,0.9155788332,5.073109153,1.203890719,1.406878273,87.12234125
peg,y_gap3,0.2137619418,3.873050286,6.913171062,6.72196855,1.483086151,1.758011494,79.03695052
peg,PI1,6.130149002,0.0564161554,0.6471951397,7.459061748,0.6204583397,0.7408701834,84.34584943
peg,PI2,0.1754645063,7.257518514,0.5865387644,6.696375036,0.7494065286,0.9381666725,83.59652998
peg,PI3,0.001985949841,0.3323053275,13.25915126,9.238255433,1.128671101,1.577757966,74.46187296
peg,I,0.00132580364,0.01073056024,0.05250182442,0.178239477,0.03079126017,0.04050806236,99.68590301
peg,BSTAR,0.03513524876,0.2843716008,1.391355859,4.723541389,0.8160021239,1.073508026,91.67608575
managed,piDC,2.025364555,14.44931368,38.79922247,18.35682787,0.8731422366,1.214057787,24.28207141
managed,PIC,4.470281929,14.56677529,14.67675589,26.68439804,0.5565352463,0.7327716003,38.312482
managed,y_gap,9.214598832,26.91432517,4.481850731,18.58839081,8.362698879,10.22547768,22.2126579
managed,y_gap1,10.19143371,3.318343754,26.45786117,1.038863558,5.186544682,7.136381946,46.67057118
managed,y_gap2,24.81656162,31.79119904,9.550062894,7.003802069,3.880539264,4.815244696,18.14259041
managed,y_gap3,1.503940499,50.52153699,20.43121027,13.69387702,3.852546995,4.562201533,5.434686697
managed,PI1,77.42306028,0.7687587312,8.844764285,11.51569638,0.05320778023,0.0675738528,1.326938696
managed,PI2,3.5230915,66.1577005,5.837802414,9.894005326,0.2709889924,0.3420386085,13.97437266
managed,PI3,1.344367632,8.954382328,48.66642568,16.75069401,0.8462224488,1.185836194,22.25207171
managed,I,0.3074278414,2.630297438,8.284732145,4.080173531,0.4394499696,0.4213316549,83.83658742
managed,BSTAR,0.03539552349,0.2846175213,1.386209155,4.798812927,0.8293891612,1.090111481,91.57546423
