piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00018502,-0.0005085,0.00071758,3.4489e-05,0.00023894,0.00044415,-0.00041165,-0.00043352,-0.00016991,-0.0025775,8.208e-05,0.0013524,0.00057657,0.0013627,0.00091899,-0.00041217,-0.00058461,-0.00060824,-0.0002369,0,0,0,0,0,0,0.01
-0.00015197,-0.00014029,0.00057938,3.4767e-05,0.00024242,0.00030219,-0.00019429,-0.00025917,-0.00014558,-0.0024692,6.2361e-05,0.0023221,0.00015264,0.00099437,0.00083808,-0.00018893,-0.00086052,-0.00097187,-0.00043988,0,0,0,0,0,0,0.008
-0.00012521,-0.00010306,0.00046168,3.0908e-05,0.00022622,0.00020455,-0.0001129,-0.00015691,-0.00012338,-0.002361,4.3457e-05,0.0029956,-0.00017565,0.00070688,0.00076307,-2.288e-05,-0.0010209,-0.001192,-0.00061191,0,0,0,0,0,0,0.0064
-0.00010351,-7.7858e-05,0.00036408,2.6126e-05,0.00020209,0.00013586,-7.5862e-05,-9.6905e-05,-0.00010396,-0.0022581,2.7045e-05,0.0034413,-0.00043349,0.00048374,0.00069439,9.8924e-05,-0.0011286,-0.001328,-0.00075687,0,0,0,0,0,0,0.00512
-8.5876e-05,-6.0135e-05,0.00028446,2.151e-05,0.00017621,8.6736e-05,-5.5685e-05,-6.1424e-05,-8.7382e-05,-0.0021625,1.3549e-05,0.0037126,-0.00063817,0.00031167,0.00063197,0.0001865,-0.0012077,-0.0014142,-0.00087871,0,0,0,0,0,0,0.004096
-7.1517e-05,-4.727e-05,0.00022021,1.7422e-05,0.00015156,5.1229e-05,-4.3149e-05,-4.0159e-05,-7.3424e-05,-0.0020748,2.8558e-06,0.0038515,-0.000802,0.00018,0.00057545,0.00024765,-0.001269,-0.0014705,-0.00098108,0,0,0,0,0,0,0.0032768
-5.98e-05,-3.7681e-05,0.00016878,1.3948e-05,0.00012941,2.543e-05,-3.4653e-05,-2.7173e-05,-6.1772e-05,-0.001995,-5.3609e-06,0.003891,-0.00093404,8.0231e-05,0.00052436,0.00028846,-0.0013182,-0.0015086,-0.0010672,0,0,0,0,0,0,0.0026214
-5.0213e-05,-3.0376e-05,0.00012789,1.1066e-05,0.00011014,6.6896e-06,-2.8545e-05,-1.9054e-05,-5.2091e-05,-0.0019224,-1.1487e-05,0.0038569,-0.001041,5.5495e-06,0.00047816,0.00031372,-0.0013587,-0.0015354,-0.0011398,0,0,0,0,0,0,0.0020972
-4.2348e-05,-2.4713e-05,9.556e-05,8.7111e-06,9.3685e-05,-6.8354e-06,-2.3959e-05,-1.3831e-05,-4.4064e-05,-0.0018567,-1.5901e-05,0.0037692,-0.0011282,-4.9461e-05,0.00043638,0.00032717,-0.0013927,-0.0015548,-0.0012013,0,0,0,0,0,0,0.0016777
-3.5877e-05,-2.0261e-05,7.0128e-05,6.8062e-06,7.9786e-05,-1.6465e-05,-2.0398e-05,-1.0363e-05,-3.741e-05,-0.001797,-1.8941e-05,0.0036435,-0.0011995,-8.911e-05,0.00039855,0.00033172,-0.0014217,-0.0015693,-0.0012534,0,0,0,0,0,0,0.0013422
-3.0536e-05,-1.6721e-05,5.0229e-05,5.2774e-06,6.8115e-05,-2.3164e-05,-1.756e-05,-7.9808e-06,-3.1889e-05,-0.0017429,-2.0898e-05,0.0034921,-0.001258,-0.00011682,0.00036425,0.00032967,-0.0014466,-0.0015805,-0.0012979,0,0,0,0,0,0,0.0010737
-2.6111e-05,-1.3882e-05,3.4747e-05,4.0578e-06,5.8339e-05,-2.765e-05,-1.5249e-05,-6.289e-06,-2.7299e-05,-0.0016938,-2.2013e-05,0.0033241,-0.0013063,-0.0001353,0.00033312,0.00032282,-0.0014683,-0.0015893,-0.001336,0,0,0,0,0,0,0.00085899
-2.2432e-05,-1.1587e-05,2.278e-05,3.0897e-06,5.0155e-05,-3.0465e-05,-1.3335e-05,-5.0487e-06,-2.3473e-05,-0.0016491,-2.2483e-05,0.0031467,-0.0013463,-0.00014669,0.00030482,0.00031253,-0.0014872,-0.0015964,-0.0013687,0,0,0,0,0,0,0.00068719
-1.9361e-05,-9.7211e-06,1.3599e-05,2.3248e-06,4.3296e-05,-3.2022e-05,-1.173e-05,-4.1135e-06,-2.0273e-05,-0.0016084,-2.2466e-05,0.0029652,-0.0013796,-0.00015269,0.00027907,0.0002999,-0.0015039,-0.0016022,-0.001397,0,0,0,0,0,0,0.00054976
-1.6787e-05,-8.1955e-06,6.6207e-06,1.7229e-06,3.7536e-05,-3.2638e-05,-1.0368e-05,-3.3911e-06,-1.7587e-05,-0.0015713,-2.209e-05,0.0027837,-0.0014073,-0.00015462,0.00025561,0.00028575,-0.0015186,-0.0016069,-0.0014215,0,0,0,0,0,0,0.0004398
-1.4619e-05,-6.9422e-06,1.3766e-06,1.2516e-06,3.2682e-05,-3.2557e-05,-9.2024e-06,-2.8219e-06,-1.5323e-05,-0.0015375,-2.1455e-05,0.0026052,-0.0014306,-0.00015354,0.00023422,0.0002707,-0.0015317,-0.0016109,-0.0014428,0,0,0,0,0,0,0.00035184
-1.2786e-05,-5.9076e-06,-2.5055e-06,8.8438e-07,2.8579e-05,-3.1969e-05,-8.1971e-06,-2.3659e-06,-1.3408e-05,-0.0015067,-2.0638e-05,0.0024317,-0.0014502,-0.00015025,0.0002147,0.00025525,-0.0015433,-0.0016142,-0.0014615,0,0,0,0,0,0,0.00028147
-1.1228e-05,-5.0497e-06,-5.3227e-06,5.998e-07,2.5096e-05,-3.1018e-05,-7.3245e-06,-1.9959e-06,-1.1779e-05,-0.0014785,-1.9701e-05,0.0022647,-0.0014668,-0.0001454,0.00019686,0.00023975,-0.0015537,-0.001617,-0.001478,0,0,0,0,0,0,0.00022518
-9.8982e-06,-4.335e-06,-7.3107e-06,3.8079e-07,2.2127e-05,-2.9818e-05,-6.5626e-06,-1.6923e-06,-1.0387e-05,-0.0014527,-1.869e-05,0.0021052,-0.0014809,-0.00013947,0.00018056,0.00022447,-0.001563,-0.0016194,-0.0014924,0,0,0,0,0,0,0.00018014
-8.7572e-06,-3.737e-06,-8.6567e-06,2.1359e-07,1.9584e-05,-2.8454e-05,-5.894e-06,-1.441e-06,-9.1928e-06,-0.0014291,-1.7641e-05,0.0019538,-0.001493,-0.00013285,0.00016564,0.00020959,-0.0015714,-0.0016214,-0.0015053,0,0,0,0,0,0,0.00014412
-7.7737e-06,-3.2342e-06,-9.5087e-06,8.7248e-08,1.7396e-05,-2.6992e-05,-5.3045e-06,-1.2312e-06,-8.163e-06,-0.0014075,-1.6581e-05,0.0018108,-0.0015033,-0.00012584,0.00015199,0.00019525,-0.0015789,-0.0016231,-0.0015166,0,0,0,0,0,0,0.00011529
-6.9219e-06,-2.8096e-06,-9.9837e-06,-6.9838e-09,1.5505e-05,-2.5482e-05,-4.7827e-06,-1.055e-06,-7.2708e-06,-0.0013877,-1.553e-05,0.0016763,-0.0015122,-0.00011864,0.00013949,0.00018154,-0.0015857,-0.0016246,-0.0015268,0,0,0,0,0,0,9.2234e-05
-6.1807e-06,-2.4492e-06,-1.0174e-05,-7.6069e-08,1.3863e-05,-2.3961e-05,-4.3188e-06,-9.059e-07,-6.4943e-06,-0.0013695,-1.4503e-05,0.0015503,-0.0015198,-0.00011142,0.00012804,0.00016852,-0.0015919,-0.0016259,-0.0015358,0,0,0,0,0,0,7.3787e-05
-5.5329e-06,-2.1418e-06,-1.0151e-05,-1.2554e-07,1.2431e-05,-2.2457e-05,-3.9051e-06,-7.7909e-07,-5.8153e-06,-0.0013529,-1.351e-05,0.0014325,-0.0015265,-0.00010431,0.00011754,0.00015621,-0.0015974,-0.001627,-0.0015439,0,0,0,0,0,0,5.903e-05
-4.9641e-06,-1.8784e-06,-9.9729e-06,-1.5978e-07,1.1177e-05,-2.099e-05,-3.535e-06,-6.7062e-07,-5.2191e-06,-0.0013376,-1.2558e-05,0.0013227,-0.0015323,-9.7389e-05,0.00010792,0.00014463,-0.0016024,-0.0016279,-0.0015512,0,0,0,0,0,0,4.7224e-05
-4.4628e-06,-1.6516e-06,-9.6828e-06,-1.8227e-07,1.0073e-05,-1.9573e-05,-3.2028e-06,-5.7733e-07,-4.6935e-06,-0.0013236,-1.1652e-05,0.0012205,-0.0015374,-9.0723e-05,9.9095e-05,0.00013376,-0.001607,-0.0016287,-0.0015578,0,0,0,0,0,0,3.7779e-05
-4.0192e-06,-1.4553e-06,-9.3152e-06,-1.9576e-07,9.0978e-06,-1.8217e-05,-2.904e-06,-4.9669e-07,-4.2282e-06,-0.0013107,-1.0794e-05,0.0011256,-0.0015419,-8.4352e-05,9.1e-05,0.0001236,-0.0016111,-0.0016294,-0.0015637,0,0,0,0,0,0,3.0223e-05
-3.6251e-06,-1.2847e-06,-8.8966e-06,-2.0241e-07,8.2333e-06,-1.6927e-05,-2.6345e-06,-4.2664e-07,-3.8149e-06,-0.0012989,-9.9858e-06,0.0010375,-0.0015458,-7.8301e-05,8.3574e-05,0.00011413,-0.0016148,-0.00163,-0.001569,0,0,0,0,0,0,2.4179e-05
-3.2739e-06,-1.1357e-06,-8.4474e-06,-2.0392e-07,7.464e-06,-1.5707e-05,-2.3909e-06,-3.655e-07,-3.4464e-06,-0.001288,-9.2268e-06,0.00095598,-0.0015493,-7.2584e-05,7.6759e-05,0.00010531,-0.0016182,-0.0016306,-0.0015738,0,0,0,0,0,0,1.9343e-05
-2.9599e-06,-1.0051e-06,-7.9828e-06,-2.0163e-07,6.7773e-06,-1.4558e-05,-2.1703e-06,-3.119e-07,-3.1169e-06,-0.001278,-8.5164e-06,0.00088054,-0.0015524,-6.7204e-05,7.0504e-05,9.7122e-05,-0.0016213,-0.001631,-0.0015781,0,0,0,0,0,0,1.5474e-05
-2.6783e-06,-8.8998e-07,-7.5146e-06,-1.9658e-07,6.1623e-06,-1.348e-05,-1.9703e-06,-2.6471e-07,-2.8214e-06,-0.0012688,-7.8533e-06,0.00081079,-0.0015551,-6.2159e-05,6.4762e-05,8.9523e-05,-0.0016241,-0.0016314,-0.0015821,0,0,0,0,0,0,1.2379e-05
-2.4251e-06,-7.882e-07,-7.0513e-06,-1.8959e-07,5.6101e-06,-1.2472e-05,-1.7885e-06,-2.2299e-07,-2.5557e-06,-0.0012604,-7.2357e-06,0.00074637,-0.0015576,-5.7443e-05,5.949e-05,8.2483e-05,-0.0016267,-0.0016317,-0.0015856,0,0,0,0,0,0,9.9035e-06
-2.197e-06,-6.9786e-07,-6.5991e-06,-1.8128e-07,5.1129e-06,-1.1531e-05,-1.6231e-06,-1.8598e-07,-2.3162e-06,-0.0012526,-6.6616e-06,0.00068691,-0.0015597,-5.3045e-05,5.4649e-05,7.5968e-05,-0.001629,-0.0016319,-0.0015889,0,0,0,0,0,0,7.9228e-06
-1.9909e-06,-6.1741e-07,-6.1623e-06,-1.7214e-07,4.6644e-06,-1.0655e-05,-1.4725e-06,-1.5302e-07,-2.0998e-06,-0.0012455,-6.1288e-06,0.00063206,-0.0015617,-4.8952e-05,5.0204e-05,6.9945e-05,-0.0016311,-0.0016321,-0.0015918,0,0,0,0,0,0,6.3383e-06
-1.8043e-06,-5.4551e-07,-5.744e-06,-1.6253e-07,4.2587e-06,-9.8403e-06,-1.3352e-06,-1.2358e-07,-1.9039e-06,-0.0012389,-5.6349e-06,0.00058149,-0.0015634,-4.515e-05,4.6122e-05,6.4381e-05,-0.001633,-0.0016323,-0.0015944,0,0,0,0,0,0,5.0706e-06
-1.6352e-06,-4.8109e-07,-5.3461e-06,-1.5274e-07,3.8913e-06,-9.0847e-06,-1.2098e-06,-9.7199e-08,-1.7264e-06,-0.0012329,-5.1777e-06,0.00053488,-0.0015649,-4.1623e-05,4.2373e-05,5.9245e-05,-0.0016347,-0.0016325,-0.0015968,0,0,0,0,0,0,4.0565e-06
-1.4817e-06,-4.2319e-07,-4.9697e-06,-1.4297e-07,3.5579e-06,-8.3846e-06,-1.0953e-06,-7.35e-08,-1.5651e-06,-0.0012273,-4.7549e-06,0.00049194,-0.0015663,-3.8355e-05,3.8929e-05,5.4506e-05,-0.0016362,-0.0016326,-0.001599,0,0,0,0,0,0,3.2452e-06
-1.342e-06,-3.7103e-07,-4.615e-06,-1.3338e-07,3.2549e-06,-7.7365e-06,-9.9066e-07,-5.2154e-08,-1.4184e-06,-0.0012222,-4.3641e-06,0.0004524,-0.0015676,-3.5331e-05,3.5766e-05,5.0137e-05,-0.0016376,-0.0016326,-0.001601,0,0,0,0,0,0,2.5961e-06
-1.2148e-06,-3.2395e-07,-4.2822e-06,-1.2407e-07,2.9791e-06,-7.1373e-06,-8.9492e-07,-3.2886e-08,-1.2849e-06,-0.0012174,-4.0034e-06,0.00041599,-0.0015687,-3.2536e-05,3.2861e-05,4.6109e-05,-0.0016389,-0.0016327,-0.0016028,0,0,0,0,0,0,2.0769e-06
-1.0989e-06,-2.8135e-07,-3.9708e-06,-1.1512e-07,2.7279e-06,-6.5836e-06,-8.0729e-07,-1.5459e-08,-1.1631e-06,-0.0012131,-3.6705e-06,0.00038248,-0.0015696,-2.9954e-05,3.0191e-05,4.2399e-05,-0.0016401,-0.0016327,-0.0016044,0,0,0,0,0,0,1.6615e-06
