piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00029816,-0.00054222,0.00012096,-0.00017953,0.00018718,0.0001133,-0.008074,-0.00075429,-0.00025231,-0.00029459,-0.00039067,9.9383e-05,3.8315e-05,0.00014355,-3.3648e-05,0.00047541,-0.011466,-0.0010583,-0.00035179,0,0,0.01,0,0,0,0
-0.00026793,-0.00035786,0.00021903,-7.0596e-06,0.0002707,-4.4612e-05,-0.0016014,-0.00055586,-0.00024779,-0.00067937,-0.00029533,0.00018118,-0.00051188,0.00012795,-1.9491e-05,0.0004463,-0.013741,-0.0018382,-0.00069727,0,0,0.009,0,0,0,0
-0.00024117,-0.0002619,0.00024256,3.9126e-05,0.00031451,-0.00011107,7.5879e-05,-0.00037585,-0.00023406,-0.00096812,-0.0002429,0.00024459,-0.00093476,0.00011238,-4.4785e-06,0.00041558,-0.013633,-0.0023655,-0.0010236,0,0,0.0081,0,0,0,0
-0.00021719,-0.00021001,0.00023936,4.9927e-05,0.00032669,-0.00013726,0.00048351,-0.0002535,-0.00021678,-0.0012037,-0.00020818,0.00029269,-0.0012828,9.7558e-05,6.6498e-06,0.00038488,-0.012946,-0.0027212,-0.0013259,0,0,0.00729,0,0,0,0
-0.00019561,-0.00017666,0.00022592,5.036e-05,0.00031974,-0.00014418,0.00055373,-0.00017644,-0.00019858,-0.001404,-0.00018229,0.00032857,-0.0015797,8.3887e-05,1.4236e-05,0.00035522,-0.01216,-0.0029688,-0.0016028,0,0,0.006561,0,0,0,0
-0.00017619,-0.0001526,0.00020872,4.7628e-05,0.00030269,-0.00014161,0.00053486,-0.00012856,-0.00018073,-0.0015778,-0.00016155,0.00035465,-0.0018384,7.1542e-05,1.9298e-05,0.00032714,-0.0114,-0.0031491,-0.0018547,0,0,0.0059049,0,0,0,0
-0.0001587,-0.00013387,0.00019059,4.3962e-05,0.00028107,-0.00013444,0.00049398,-9.8339e-05,-0.00016384,-0.0017307,-0.0001442,0.00037281,-0.0020666,6.0549e-05,2.2651e-05,0.00030089,-0.010699,-0.0032871,-0.0020832,0,0,0.0053144,0,0,0,0
-0.00014294,-0.00011857,0.00017284,4.0128e-05,0.00025799,-0.00012527,0.00044958,-7.8608e-05,-0.00014817,-0.001866,-0.00012928,0.0003845,-0.0022694,5.0849e-05,2.4842e-05,0.00027651,-0.01006,-0.0033974,-0.0022898,0,0,0.004783,0,0,0,0
-0.00012875,-0.00010564,0.00015611,3.6415e-05,0.00023516,-0.00011547,0.00040687,-6.5123e-05,-0.00013379,-0.0019863,-0.00011623,0.00039087,-0.0024505,4.2349e-05,2.6225e-05,0.00025399,-0.0094824,-0.0034888,-0.0024763,0,0,0.0043047,0,0,0,0
-0.00011596,-9.447e-05,0.00014062,3.2934e-05,0.00021343,-0.00010574,0.00036729,-5.5415e-05,-0.0001207,-0.0020935,-0.00010468,0.00039287,-0.0026128,3.4937e-05,2.7025e-05,0.00023323,-0.0089608,-0.0035665,-0.0026446,0,0,0.0038742,0,0,0,0
-0.00010445,-8.4679e-05,0.00012646,2.9726e-05,0.0001932,-9.6462e-05,0.00033113,-4.8053e-05,-0.00010882,-0.0021893,-9.4381e-05,0.00039129,-0.0027583,2.8503e-05,2.7393e-05,0.00021413,-0.0084906,-0.0036339,-0.0027963,0,0,0.0034868,0,0,0,0
-9.4069e-05,-7.6013e-05,0.0001136,2.6798e-05,0.0001746,-8.779e-05,0.00029831,-4.2205e-05,-9.8072e-05,-0.0022749,-8.5153e-05,0.00038677,-0.0028891,2.2939e-05,2.7433e-05,0.00019657,-0.0080669,-0.0036931,-0.0029331,0,0,0.0031381,0,0,0,0
-8.4722e-05,-6.8294e-05,0.00010198,2.4139e-05,0.00015763,-7.9787e-05,0.00026864,-3.7382e-05,-8.8364e-05,-0.0023515,-7.6861e-05,0.00037988,-0.0030067,1.8143e-05,2.722e-05,0.00018044,-0.0076854,-0.0037456,-0.0030563,0,0,0.0028243,0,0,0,0
-7.63e-05,-6.1393e-05,9.1498e-05,2.1734e-05,0.00014222,-7.2455e-05,0.00024185,-3.3289e-05,-7.9603e-05,-0.00242,-6.9395e-05,0.00037109,-0.0031125,1.4026e-05,2.6809e-05,0.00016563,-0.0073419,-0.0037923,-0.0031673,0,0,0.0025419,0,0,0,0
-6.8714e-05,-5.5205e-05,8.2063e-05,1.9563e-05,0.00012827,-6.5768e-05,0.0002177,-2.9746e-05,-7.1701e-05,-0.0024813,-6.2666e-05,0.00036081,-0.0032077,1.0505e-05,2.6244e-05,0.00015203,-0.0070328,-0.003834,-0.0032672,0,0,0.0022877,0,0,0,0
-6.1879e-05,-4.9649e-05,7.3579e-05,1.7605e-05,0.00011566,-5.9686e-05,0.00019595,-2.6636e-05,-6.4577e-05,-0.0025361,-5.6595e-05,0.00034938,-0.0032933,7.5053e-06,2.5559e-05,0.00013955,-0.0067545,-0.0038714,-0.0033573,0,0,0.0020589,0,0,0,0
-5.5721e-05,-4.4655e-05,6.5956e-05,1.5842e-05,0.00010428,-5.4162e-05,0.00017636,-2.388e-05,-5.8157e-05,-0.0025851,-5.1114e-05,0.00033709,-0.0033704,4.9628e-06,2.4783e-05,0.00012809,-0.006504,-0.0039049,-0.0034384,0,0,0.001853,0,0,0,0
-5.0173e-05,-4.0163e-05,5.9109e-05,1.4254e-05,9.4007e-05,-4.9152e-05,0.00015872,-2.1425e-05,-5.237e-05,-0.002629,-4.6166e-05,0.00032419,-0.0034398,2.8188e-06,2.3938e-05,0.00011757,-0.0062786,-0.003935,-0.0035114,0,0,0.0016677,0,0,0,0
-4.5174e-05,-3.6122e-05,5.2961e-05,1.2824e-05,8.4745e-05,-4.4608e-05,0.00014285,-1.9229e-05,-4.7156e-05,-0.0026682,-4.1697e-05,0.00031089,-0.0035022,1.0221e-06,2.3044e-05,0.00010791,-0.0060758,-0.003962,-0.0035771,0,0,0.0015009,0,0,0,0
