piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00018433,0.00070866,0.00081499,4.2491e-05,0.00011775,0.00065475,0.00041944,0.00051463,0.00016441,-0.0058103,0.0006909,0.0024036,0.0007439,0.002018,-0.0018292,-0.0025656,0.00059567,0.00072205,0.00022923,0,0,0,0,0,0.01,0
0.00014947,6.2469e-05,0.00063594,2.3596e-05,3.1766e-05,0.00058058,0.00020372,0.00026096,0.0001428,-0.0050782,0.00054764,0.0042571,0.00089874,0.0015366,-0.0013916,-0.0019393,0.00088499,0.0010882,0.00042834,0,0,0,0,0,0.0085,0
0.00012042,3.1129e-05,0.00050061,1.3375e-05,-6.341e-06,0.00049358,0.00011167,0.0001208,0.00012042,-0.0044509,0.00043529,0.0056561,0.00099728,0.0011431,-0.0010288,-0.0014244,0.0010436,0.0012577,0.00059624,0,0,0,0,0,0.007225,0
9.627e-05,1.3352e-05,0.00039559,7.5193e-06,-1.925e-05,0.00040732,6.5389e-05,4.4999e-05,9.9349e-05,-0.0039068,0.00034565,0.0066819,0.0010603,0.0008225,-0.00073068,-0.0010036,0.0011364,0.0013208,0.00073476,0,0,0,0,0,0.0061412,0
7.6234e-05,3.221e-06,0.00031252,4.0334e-06,-1.9577e-05,0.00032806,3.906e-05,5.2659e-06,8.0483e-05,-0.003431,0.00027334,0.0074028,0.0011002,0.00056246,-0.0004876,-0.00066201,0.0011919,0.0013282,0.00084697,0,0,0,0,0,0.0052201,0
5.9657e-05,-2.5407e-06,0.00024596,1.8982e-06,-1.4202e-05,0.00025827,2.2806e-05,-1.4474e-05,6.409e-05,-0.0030123,0.00021461,0.0078764,0.0011246,0.00035272,-0.00029105,-0.00038677,0.0012243,0.0013079,0.00093633,0,0,0,0,0,0.0044371,0
4.5982e-05,-5.7781e-06,0.00019218,5.5941e-07,-6.7803e-06,0.0001984,1.2219e-05,-2.3285e-05,5.0122e-05,-0.0026423,0.00016673,0.0081508,0.0011383,0.00018472,-0.00013357,-0.00016686,0.0012417,0.0012752,0.0010062,0,0,0,0,0,0.0037715,0
3.4741e-05,-7.542e-06,0.00014852,-2.9621e-07,8.2512e-07,0.00014799,5.0657e-06,-2.6245e-05,3.8386e-05,-0.0023143,0.00012765,0.0082662,0.0011443,5.133e-05,-8.697e-06,7.0681e-06,0.0012488,0.0012384,0.0010597,0,0,0,0,0,0.0032058,0
2.5536e-05,-8.4361e-06,0.00011299,-8.5015e-07,7.7314e-06,0.0001061,1.0962e-07,-2.6181e-05,2.8628e-05,-0.0020226,9.5755e-05,0.0082559,0.001145,-5.3445e-05,8.9077e-05,0.0001429,0.001249,0.0012017,0.0010997,0,0,0,0,0,0.0027249,0
1.8036e-05,-8.8111e-06,8.4077e-05,-1.21e-06,1.3583e-05,7.1704e-05,-3.3774e-06,-2.465e-05,2.0588e-05,-0.0017626,6.979e-05,0.0081475,0.0011416,-0.00013461,0.00016444,0.0002473,0.0012442,0.0011671,0.0011284,0,0,0,0,0,0.0023162,0
