piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00025789,-0.00061399,0.00066132,3.2494e-05,0.00023466,0.00039417,-0.00050948,-0.00054034,-0.00024072,-0.0028787,-5.6737e-05,0.0012195,0.00044034,0.0012492,0.0010189,-0.00027404,-0.00072354,-0.00075812,-0.00033564,0.01,0,0,0,0,0,0
-0.00022275,-0.00022362,0.00057191,3.5982e-05,0.00025774,0.00027819,-0.00028233,-0.00035512,-0.00021485,-0.0029105,-4.865e-05,0.002154,-3.6549e-05,0.00097612,0.0009603,-0.00010531,-0.0011245,-0.0012564,-0.00063519,0.0085,0,0,0,0,0,0
-0.00019259,-0.00017891,0.00048724,3.4292e-05,0.00025505,0.0001979,-0.00019145,-0.00024196,-0.0001897,-0.0029156,-4.5726e-05,0.0028559,-0.00042816,0.00075022,0.00090055,2.6433e-05,-0.0013964,-0.0015958,-0.0008997,0.007225,0,0,0,0,0,0
-0.0001667,-0.00014632,0.00041096,3.0887e-05,0.00023972,0.00014035,-0.00014557,-0.00017164,-0.00016646,-0.0029037,-4.5019e-05,0.0033683,-0.00075448,0.00056425,0.00084156,0.00012826,-0.0016031,-0.0018367,-0.0011318,0.0061412,0,0,0,0,0,0
-0.00014444,-0.00012153,0.00034405,2.7064e-05,0.00021906,9.7921e-05,-0.0001173,-0.00012672,-0.00014555,-0.0028809,-4.509e-05,0.003727,-0.0010292,0.0004119,0.00078445,0.00020581,-0.0017697,-0.0020144,-0.0013347,0.0052201,0,0,0,0,0,0
-0.0001253,-0.00010202,0.0002863,2.3342e-05,0.00019699,6.5968e-05,-9.7469e-05,-9.6964e-05,-0.00012703,-0.002851,-4.525e-05,0.0039614,-0.001262,0.00028776,0.00072985,0.00026363,-0.0019081,-0.0021505,-0.0015118,0.0044371,0,0,0,0,0,0
-0.00010882,-8.6297e-05,0.00023697,1.9932e-05,0.00017549,4.1548e-05,-8.2439e-05,-7.645e-05,-0.00011078,-0.0028166,-4.519e-05,0.0040962,-0.0014604,0.00018722,0.00067807,0.00030544,-0.0020252,-0.0022578,-0.0016663,0.0037715,0,0,0,0,0,0
-9.4617e-05,-7.3386e-05,0.00019515,1.6905e-05,0.00015552,2.2723e-05,-7.0516e-05,-6.1705e-05,-9.6604e-05,-0.0027794,-4.4798e-05,0.0041515,-0.00163,0.00010638,0.00062923,0.00033431,-0.0021253,-0.0023443,-0.001801,0.0032058,0,0,0,0,0,0
-8.2372e-05,-6.2645e-05,0.00015987,1.4267e-05,0.00013744,8.1691e-06,-6.0777e-05,-5.0686e-05,-8.4281e-05,-0.0027407,-4.4061e-05,0.0041441,-0.0017754,4.1915e-05,0.00058334,0.00035274,-0.0022116,-0.0024154,-0.0019185,0.0027249,0,0,0,0,0,0
-7.1802e-05,-5.3625e-05,0.00013024,1.1996e-05,0.00012131,-3.0593e-06,-5.2666e-05,-4.2168e-05,-7.3585e-05,-0.0027015,-4.3012e-05,0.0040879,-0.0019003,-8.9599e-06,0.00054036,0.00036283,-0.0022864,-0.0024746,-0.0020211,0.0023162,0,0,0,0,0,0
