piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.001033,0.0039951,0.0054213,0.00026611,0.00086668,0.0042885,0.0026311,0.0029174,0.00091864,0.023584,0.0043031,0.013333,0.004544,0.011356,-0.010034,-0.013987,0.0037366,0.0040932,0.0012809,0,0.01,0,0,0,0,0
0.0007863,0.00015547,0.004015,0.00013698,0.00030331,0.0035747,0.0010465,0.0013349,0.00075353,0.018111,0.0032191,0.022949,0.0051376,0.0080929,-0.0071231,-0.0098507,0.0052228,0.0059661,0.0023315,0,0.008,0,0,0,0,0
0.00059227,-1.3638e-06,0.0029871,7.04e-05,5.098e-05,0.0028658,0.00043812,0.00049427,0.00059839,0.013757,0.002406,0.029663,0.0054241,0.0055696,-0.0048448,-0.006638,0.005845,0.0066596,0.0031658,0,0.0064,0,0,0,0,0
0.00044004,-7.5685e-05,0.0022219,3.4163e-05,-4.0013e-05,0.0022278,0.00016996,6.7394e-05,0.00046253,0.010332,0.0017889,0.034128,0.0055358,0.0036281,-0.0030784,-0.0041616,0.0060864,0.0067542,0.0038107,0,0.00512,0,0,0,0,0
0.00032099,-0.00010663,0.001645,1.3901e-05,-5.2084e-05,0.0016832,3.9087e-05,-0.00013374,0.00034832,0.0076654,0.0013171,0.036863,0.005548,0.0021441,-0.0017225,-0.0022696,0.0061419,0.0065665,0.0042964,0,0.004096,0,0,0,0,0
0.00022826,-0.00011512,0.0012063,2.463e-06,-2.9413e-05,0.0012332,-2.8249e-05,-0.0002148,0.00025484,0.0056106,0.00095508,0.038278,0.0055041,0.0010197,-0.00069349,-0.00083965,0.0061018,0.0062652,0.0046517,0,0.0032768,0,0,0,0,0
0.00015638,-0.00011247,0.00087106,-3.9659e-06,5.106e-06,0.00086992,-6.3111e-05,-0.00023429,0.00017981,0.0040449,0.00067688,0.0387,0.0054294,0.0001772,7.6617e-05,0.00022644,0.0060121,0.0059364,0.0049024,0,0.0026214,0,0,0,0,0
0.000101,-0.00010474,0.00061436,-7.5022e-06,4.0229e-05,0.00058163,-8.0357e-05,-0.0002241,0.00012049,0.0028676,0.00046332,0.038383,0.0053387,-0.0004446,0.00064287,0.0010072,0.005898,0.005622,0.0050704,0,0.0020972,0,0,0,0,0
5.8649e-05,-9.5123e-05,0.00041787,-9.3482e-06,7.0955e-05,0.00035627,-8.7745e-05,-0.00020125,7.4232e-05,0.0019968,0.00029991,0.037529,0.0052408,-0.00089427,0.0010495,0.0015653,0.0057734,0.0053397,0.0051739,0,0.0016777,0,0,0,0,0
2.6554e-05,-8.5253e-05,0.00026789,-1.0198e-05,9.5535e-05,0.00018255,-8.9548e-05,-0.00017457,3.862e-05,0.0013666,0.00017553,0.036292,0.0051409,-0.0012102,0.0013318,0.0019503,0.0056462,0.0050947,0.0052277,0,0.0013422,0,0,0,0,0
