piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
5.0144e-05,-0.0001939,0.0015639,5.4504e-05,0.00039281,0.0011166,0.00020244,-2.9314e-06,5.4226e-05,-0.0020134,0.00025574,0.0013452,0.0013255,0.0015073,0.0010298,-0.00016612,0.00028749,-4.1128e-06,7.5606e-05,0,0,0,0,0,0,0.01
4.455e-05,6.7168e-05,0.0012962,4.3577e-05,0.00033949,0.00091313,4.7466e-05,1.2974e-05,4.7001e-05,-0.0017333,0.0001969,0.0023114,0.0011402,0.0011183,0.00092921,2.1307e-05,0.0003549,1.4091e-05,0.00014114,0,0,0,0,0,0,0.008
3.9001e-05,5.9539e-05,0.0010751,3.5412e-05,0.00029225,0.0007474,2.6751e-05,2.1572e-05,4.0357e-05,-0.0014921,0.0001499,0.0029835,0.00099556,0.00081369,0.00083944,0.00015774,0.00039289,4.4358e-05,0.00019741,0,0,0,0,0,0,0.0064
3.3632e-05,5.233e-05,0.00089182,2.8747e-05,0.00025093,0.00061214,2.0378e-05,2.5442e-05,3.4271e-05,-0.0012841,0.00011226,0.0034288,0.00088216,0.00057603,0.00075926,0.00025454,0.00042183,8.0054e-05,0.00024519,0,0,0,0,0,0,0.00512
2.8538e-05,4.5441e-05,0.00073974,2.326e-05,0.00021508,0.00050141,1.5713e-05,2.6247e-05,2.872e-05,-0.0011043,8.2197e-05,0.0037001,0.00079267,0.00039151,0.00068752,0.00032074,0.00044415,0.00011688,0.00028523,0,0,0,0,0,0,0.004096
2.3781e-05,3.8977e-05,0.00061337,1.8753e-05,0.00018416,0.00041046,1.1522e-05,2.513e-05,2.368e-05,-0.00094897,5.825e-05,0.0038393,0.00072138,0.0002491,0.00062322,0.00036346,0.00046051,0.00015214,0.00031825,0,0,0,0,0,0,0.0032768
1.9395e-05,3.3009e-05,0.00050823,1.5062e-05,0.00015762,0.00033556,7.7342e-06,2.288e-05,1.9128e-05,-0.00081451,3.9248e-05,0.0038791,0.00066392,0.00014,0.0005655,0.00038831,0.00047149,0.00018424,0.00034492,0,0,0,0,0,0,0.0026214
1.5396e-05,2.7571e-05,0.00042065,1.205e-05,0.00013491,0.0002737,4.3668e-06,2.0029e-05,1.5039e-05,-0.00069808,2.4239e-05,0.0038453,0.00061692,5.7187e-05,0.00051358,0.00039968,0.00047769,0.00021234,0.00036589,0,0,0,0,0,0,0.0020972
1.1785e-05,2.267e-05,0.00034761,9.5982e-06,0.00011552,0.00022249,1.4214e-06,1.6934e-05,1.1387e-05,-0.00059717,1.2453e-05,0.003758,0.00057782,-4.9227e-06,0.00046683,0.00040102,0.00047971,0.0002361,0.00038177,0,0,0,0,0,0,0.0016777
8.5529e-06,1.8291e-05,0.00028661,7.6084e-06,9.9e-05,0.00018,-1.1171e-06,1.3827e-05,8.1459e-06,-0.00050969,3.2617e-06,0.0036327,0.00054466,-5.0778e-05,0.00042465,0.00039501,0.00047813,0.0002555,0.00039312,0,0,0,0,0,0,0.0013422
5.6851e-06,1.4409e-05,0.00023562,5.9978e-06,8.493e-05,0.00014469,-3.2746e-06,1.0852e-05,5.2863e-06,-0.0004338,-3.8398e-06,0.0034817,0.00051596,-8.3917e-05,0.00038655,0.00038374,0.00047348,0.00027072,0.00040049,0,0,0,0,0,0,0.0010737
3.1612e-06,1.0993e-05,0.00019296,4.6975e-06,7.2951e-05,0.00011531,-5.0828e-06,8.0936e-06,2.7803e-06,-0.00036797,-9.2622e-06,0.0033141,0.0004906,-0.00010715,0.00035209,0.00036884,0.00046626,0.00028208,0.00040437,0,0,0,0,0,0,0.00085899
9.582e-07,8.0051e-06,0.00015723,3.6507e-06,6.275e-05,9.0831e-05,-6.5755e-06,5.5968e-06,5.9999e-07,-0.00031086,-1.3338e-05,0.0031371,0.00046775,-0.0001227,0.00032088,0.00035153,0.00045692,0.00028993,0.00040521,0,0,0,0,0,0,0.00068719
-9.4818e-07,5.4096e-06,0.00012729,2.8101e-06,5.4057e-05,7.0427e-05,-7.787e-06,3.3783e-06,-1.2823e-06,-0.00026132,-1.6335e-05,0.0029561,0.0004468,-0.00013233,0.00029259,0.00033277,0.00044586,0.00029467,0.00040342,0,0,0,0,0,0,0.00054976
-2.5828e-06,3.1692e-06,0.0001022,2.1373e-06,4.6641e-05,5.3419e-05,-8.7503e-06,1.4378e-06,-2.8934e-06,-0.00021837,-1.8471e-05,0.002775,0.00042727,-0.00013744,0.00026691,0.00031329,0.00043343,0.00029669,0.00039938,0,0,0,0,0,0,0.0004398
-3.9702e-06,1.2485e-06,8.1158e-05,1.6004e-06,4.0308e-05,3.925e-05,-9.4964e-06,-2.3606e-07,-4.2587e-06,-0.00018116,-1.9923e-05,0.0025969,0.00040885,-0.00013912,0.00024358,0.0002936,0.00041995,0.00029636,0.00039345,0,0,0,0,0,0,0.00035184
-5.1343e-06,-3.8627e-07,6.3523e-05,1.1736e-06,3.489e-05,2.7459e-05,-1.0054e-05,-1.661e-06,-5.4027e-06,-0.00014894,-2.0831e-05,0.0024238,0.00039129,-0.00013825,0.00022237,0.00027412,0.00040567,0.00029403,0.00038591,0,0,0,0,0,0,0.00028147
-6.0977e-06,-1.7663e-06,4.8751e-05,8.3563e-07,3.0248e-05,1.7667e-05,-1.0449e-05,-2.8582e-06,-6.3482e-06,-0.00012109,-2.1311e-05,0.0022573,0.00037443,-0.00013551,0.00020307,0.00025512,0.00039083,0.00029002,0.00037706,0,0,0,0,0,0,0.00022518
-6.8821e-06,-2.9207e-06,3.6389e-05,5.6932e-07,2.6263e-05,9.5572e-06,-1.0704e-05,-3.8499e-06,-7.1166e-06,-9.7042e-05,-2.1456e-05,0.0020982,0.00035816,-0.00013141,0.0001855,0.0002368,0.00037563,0.00028462,0.00036714,0,0,0,0,0,0,0.00018014
-7.5074e-06,-3.8757e-06,2.6062e-05,3.6065e-07,2.2835e-05,2.866e-06,-1.0841e-05,-4.6585e-06,-7.7278e-06,-7.6319e-05,-2.1339e-05,0.0019472,0.00034239,-0.00012638,0.0001695,0.0002193,0.00036023,0.00027808,0.00035637,0,0,0,0,0,0,0.00014412
-7.9922e-06,-4.6555e-06,1.7452e-05,1.9826e-07,1.9881e-05,-2.6269e-06,-1.0877e-05,-5.3055e-06,-8.2e-06,-5.85e-05,-2.1022e-05,0.0018047,0.00032708,-0.00012074,0.00015491,0.00020271,0.00034479,0.00027064,0.00034493,0,0,0,0,0,0,0.00011529
-8.3534e-06,-5.2818e-06,1.0296e-05,7.2953e-08,1.7329e-05,-7.1067e-06,-1.083e-05,-5.8109e-06,-8.5502e-06,-4.3219e-05,-2.0554e-05,0.0016706,0.0003122,-0.00011472,0.0001416,0.00018706,0.00032941,0.00026248,0.00033301,0,0,0,0,0,0,9.2234e-05
-8.6068e-06,-5.774e-06,4.3697e-06,-2.2725e-08,1.5122e-05,-1.0729e-05,-1.0713e-05,-6.1932e-06,-8.7936e-06,-3.0155e-05,-1.9972e-05,0.0015449,0.00029774,-0.00010853,0.00012946,0.00017237,0.00031419,0.00025379,0.00032075,0,0,0,0,0,0,7.3787e-05
-8.7663e-06,-6.1498e-06,-5.1343e-07,-9.4784e-08,1.3207e-05,-1.3626e-05,-1.0538e-05,-6.4693e-06,-8.9442e-06,-1.9028e-05,-1.9308e-05,0.0014275,0.00028369,-0.0001023,0.00011838,0.00015864,0.00029923,0.00024472,0.00030828,0,0,0,0,0,0,5.903e-05
-8.8448e-06,-6.4247e-06,-4.5123e-06,-1.4807e-07,1.1544e-05,-1.5908e-05,-1.0316e-05,-6.6542e-06,-9.0145e-06,-9.5924e-06,-1.8587e-05,0.001318,0.00027005,-9.6126e-05,0.00010826,0.00014586,0.00028458,0.00023538,0.00029571,0,0,0,0,0,0,4.7224e-05
-8.8539e-06,-6.6127e-06,-7.761e-06,-1.865e-07,1.0097e-05,-1.7671e-05,-1.0058e-05,-6.7614e-06,-9.016e-06,-1.6327e-06,-1.7829e-05,0.0012162,0.00025683,-9.0098e-05,9.9015e-05,0.00013398,0.00027029,0.00022589,0.00028314,0,0,0,0,0,0,3.7779e-05
-8.8037e-06,-6.7261e-06,-1.0373e-05,-2.132e-07,8.8347e-06,-1.8995e-05,-9.7695e-06,-6.8027e-06,-8.9588e-06,5.0398e-06,-1.7051e-05,0.0011216,0.00024402,-8.4266e-05,9.0572e-05,0.00012297,0.00025642,0.00021635,0.00027065,0,0,0,0,0,0,3.0223e-05
-8.7036e-06,-6.7759e-06,-1.2446e-05,-2.3071e-07,7.7326e-06,-1.9948e-05,-9.459e-06,-6.7886e-06,-8.8521e-06,1.0591e-05,-1.6264e-05,0.0010339,0.00023165,-7.8669e-05,8.2857e-05,0.00011279,0.00024299,0.00020683,0.00025831,0,0,0,0,0,0,2.4179e-05
-8.5617e-06,-6.7718e-06,-1.4062e-05,-2.4104e-07,6.7688e-06,-2.0589e-05,-9.1319e-06,-6.7284e-06,-8.7039e-06,1.5167e-05,-1.5478e-05,0.00095261,0.0002197,-7.3329e-05,7.5805e-05,0.00010339,0.00023002,0.00019739,0.00024617,0,0,0,0,0,0,1.9343e-05
-8.3853e-06,-6.7223e-06,-1.529e-05,-2.4581e-07,5.9247e-06,-2.0969e-05,-8.7934e-06,-6.6301e-06,-8.5215e-06,1.8896e-05,-1.4701e-05,0.00087743,0.00020819,-6.8262e-05,6.9358e-05,9.4722e-05,0.00021753,0.00018808,0.00023429,0,0,0,0,0,0,1.5474e-05
-8.1808e-06,-6.6349e-06,-1.6192e-05,-2.4632e-07,5.1846e-06,-2.113e-05,-8.4478e-06,-6.5006e-06,-8.3112e-06,2.189e-05,-1.3939e-05,0.00080793,0.00019711,-6.3472e-05,6.3464e-05,8.6742e-05,0.00020553,0.00017896,0.0002227,0,0,0,0,0,0,1.2379e-05
-7.9538e-06,-6.5162e-06,-1.6817e-05,-2.4359e-07,4.5349e-06,-2.1109e-05,-8.0987e-06,-6.346e-06,-8.0786e-06,2.4249e-05,-1.3197e-05,0.00074375,0.00018647,-5.8962e-05,5.8074e-05,7.9402e-05,0.00019403,0.00017006,0.00021144,0,0,0,0,0,0,9.9035e-06
-7.7093e-06,-6.3719e-06,-1.7211e-05,-2.3846e-07,3.9642e-06,-2.0937e-05,-7.7491e-06,-6.1716e-06,-7.8287e-06,2.6059e-05,-1.2477e-05,0.00068451,0.00017627,-5.4726e-05,5.3144e-05,7.2658e-05,0.00018303,0.0001614,0.00020052,0,0,0,0,0,0,7.9228e-06
-7.4515e-06,-6.2071e-06,-1.7411e-05,-2.3156e-07,3.4625e-06,-2.0642e-05,-7.4017e-06,-5.9818e-06,-7.5657e-06,2.7398e-05,-1.1781e-05,0.00062986,0.0001665,-5.0758e-05,4.8635e-05,6.6466e-05,0.00017251,0.00015301,0.00018997,0,0,0,0,0,0,6.3383e-06
