piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.0020432,-0.00096152,0.0001857,0.00046958,0.0022824,-0.0025663,0.00071917,0.0002297,-0.0021832,0.0035404,-0.0019292,0.0012742,0.010965,0.0026098,0.00010598,0.0078317,0.0010213,0.00032228,-0.0030439,0,0,0,0,0.01,0,0
-0.0015744,-0.0013989,0.00051852,0.00034585,0.0016957,-0.001523,-0.00066888,-0.00040746,-0.0016449,0.001656,-0.0016217,0.0023421,0.0080761,0.0023284,0.00020463,0.0073169,7.1414e-05,-0.00024939,-0.0053375,0,0,0,0,0.009,0,0
-0.0011837,-0.0011337,0.0008527,0.00027821,0.0013407,-0.0007662,-0.00089616,-0.0006522,-0.0012156,9.7344e-05,-0.0013334,0.0032204,0.0056261,0.002082,0.00030266,0.0068414,-0.0012013,-0.0011645,-0.0070323,0,0,0,0,0.0081,0,0
-0.00086085,-0.00087739,0.0011457,0.00023482,0.0011179,-0.00020707,-0.00081508,-0.00068858,-0.00087106,-0.0011583,-0.0010767,0.0039284,0.0035923,0.0018628,0.00039092,0.0063954,-0.0023588,-0.0021306,-0.0082468,0,0,0,0,0.00729,0,0
-0.00059603,-0.0006475,0.0013833,0.00020369,0.00097024,0.00020934,-0.00066256,-0.00062395,-0.00059423,-0.0021456,-0.00085465,0.0044862,0.001933,0.0016657,0.00046532,0.0059738,-0.0032997,-0.003006,-0.0090753,0,0,0,0,0.006561,0,0
-0.00038055,-0.00044943,0.0015641,0.00017956,0.00086541,0.00051917,-0.00050641,-0.0005176,-0.00037221,-0.002902,-0.00066602,0.0049133,0.00060036,0.0014878,0.00052483,0.0055741,-0.0040189,-0.0037322,-0.0095943,0,0,0,0,0.0059049,0,0
-0.00020674,-0.00028322,0.0016925,0.00015986,0.00078535,0.00074734,-0.00036604,-0.00040083,-0.00019498,-0.0034631,-0.00050785,0.0052276,-0.00045263,0.0013267,0.00057003,0.0051951,-0.0045387,-0.0042946,-0.0098661,0,0,0,0,0.0053144,0,0
-6.7974e-05,-0.00014653,0.001775,0.00014317,0.00072002,0.00091185,-0.0002461,-0.00028921,-5.4577e-05,-0.0038613,-0.00037661,0.0054455,-0.0012694,0.0011808,0.00060227,0.0048361,-0.0048882,-0.0047004,-0.0099422,0,0,0,0,0.004783,0,0
4.1461e-05,-3.6058e-05,0.0018187,0.00012869,0.00066385,0.0010262,-0.00014642,-0.00018973,5.5465e-05,-0.0041253,-0.00026872,0.0055816,-0.0018889,0.0010487,0.00062319,0.0044967,-0.0050962,-0.0049666,-0.0098649,0,0,0,0,0.0043047,0,0
0.00012646,5.1698e-05,0.0018304,0.00011592,0.00061377,0.0011007,-6.5207e-05,-0.00010477,0.00014047,-0.0042797,-0.00018082,0.0056489,-0.0023448,0.00092923,0.00063444,0.0041766,-0.0051888,-0.0051135,-0.009669,0,0,0,0,0.0038742,0,0
0.00019118,0.0001201,0.0018163,0.00010455,0.00056808,0.0011437,-1.9144e-07,-3.4384e-05,0.00020487,-0.0043457,-0.00010987,0.0056585,-0.0026664,0.00082133,0.0006376,0.0038752,-0.005189,-0.0051618,-0.0093834,0,0,0,0,0.0034868,0,0
0.00023918,0.00017223,0.0017819,9.4362e-05,0.00052583,0.0011617,5.0936e-05,2.2499e-05,0.00025234,-0.0043413,-5.3199e-05,0.0056204,-0.0028785,0.00072403,0.00063411,0.003592,-0.0051167,-0.0051302,-0.0090316,0,0,0,0,0.0031381,0,0
0.00027345,0.00021081,0.0017318,8.519e-05,0.0004865,0.0011601,9.0327e-05,6.7411e-05,0.00028596,-0.0042816,-8.4796e-06,0.0055431,-0.0030023,0.00063645,0.00062521,0.0033265,-0.0049884,-0.0050356,-0.0086329,0,0,0,0,0.0028243,0,0
0.00029651,0.00023819,0.00167,7.6918e-05,0.00044977,0.0011433,0.00011991,0.000102,0.00030834,-0.0041791,2.629e-05,0.005434,-0.0030554,0.00055778,0.000612,0.0030781,-0.0048181,-0.0048925,-0.0082029,0,0,0,0,0.0025419,0,0
0.00031051,0.00025641,0.0015997,6.9447e-05,0.00041543,0.0011148,0.00014138,0.00012785,0.00032162,-0.0040444,5.282e-05,0.0052996,-0.0030528,0.00048722,0.00059542,0.0028459,-0.0046174,-0.0047132,-0.0077545,0,0,0,0,0.0022877,0,0
0.00031722,0.00026721,0.0015237,6.2695e-05,0.00038335,0.0010776,0.00015618,0.0001464,0.00032763,-0.0038861,7.2565e-05,0.0051453,-0.0030068,0.00042408,0.00057626,0.0026294,-0.0043956,-0.0045078,-0.0072977,0,0,0,0,0.0020589,0,0
0.00031816,0.00027203,0.0014441,5.659e-05,0.00035341,0.0010341,0.00016556,0.00015895,0.00032786,-0.0037113,8.6755e-05,0.0049758,-0.0029275,0.00036768,0.00055521,0.0024277,-0.0041604,-0.0042847,-0.0068406,0,0,0,0,0.001853,0,0
0.00031456,0.00027212,0.0013628,5.1071e-05,0.0003255,0.00098625,0.00017057,0.00016659,0.00032358,-0.0035259,9.6427e-05,0.0047952,-0.0028237,0.00031741,0.00053281,0.00224,-0.0039182,-0.004051,-0.0063894,0,0,0,0,0.0016677,0,0
0.00030746,0.0002685,0.0012812,4.608e-05,0.00029952,0.00093561,0.0001721,0.00017029,0.00031583,-0.0033346,0.00010245,0.0046068,-0.002702,0.00027269,0.00050956,0.0020656,-0.0036738,-0.0038121,-0.0059491,0,0,0,0,0.0015009,0,0
0.00029773,0.00026203,0.0012004,4.1569e-05,0.00027539,0.00088348,0.00017089,0.00017083,0.00030548,-0.003141,0.00010556,0.0044136,-0.0025683,0.000233,0.00048582,0.0019038,-0.0034311,-0.0035724,-0.0055231,0,0,0,0,0.0013509,0,0
0.00028607,0.00025341,0.0011213,3.7492e-05,0.00025299,0.00083086,0.00016755,0.00016891,0.00029322,-0.0029482,0.00010637,0.0042179,-0.002427,0.00019785,0.00046193,0.0017538,-0.0031931,-0.0033354,-0.0051143,0,0,0,0,0.0012158,0,0
0.00027305,0.00024323,0.0010446,3.3807e-05,0.00023224,0.00077857,0.00016261,0.00016508,0.00027965,-0.0027586,0.00010537,0.0040218,-0.002282,0.00016679,0.00043815,0.0016148,-0.0029622,-0.0031038,-0.0047244,0,0,0,0,0.0010942,0,0
0.00025916,0.00023196,0.00097075,3.0478e-05,0.00021305,0.00072722,0.00015647,0.00015981,0.00026523,-0.0025738,0.000103,0.003827,-0.002136,0.00013943,0.00041468,0.0014862,-0.00274,-0.0028796,-0.0043546,0,0,0,0,0.00098477,0,0
0.00024476,0.00022,0.00090008,2.7471e-05,0.00019531,0.0006773,0.00014949,0.00015348,0.00025034,-0.0023953,9.9586e-05,0.0036347,-0.0019913,0.00011537,0.0003917,0.0013672,-0.0025277,-0.0026642,-0.0040055,0,0,0,0,0.00088629,0,0
0.00023017,0.00020766,0.00083284,2.4756e-05,0.00017893,0.00062915,0.00014195,0.00014643,0.00023529,-0.002224,9.5423e-05,0.0034463,-0.0018498,9.4285e-05,0.00036933,0.0012573,-0.0023261,-0.0024588,-0.0036775,0,0,0,0,0.00079766,0,0
0.00021562,0.00019518,0.00076918,2.2304e-05,0.00016383,0.00058304,0.00013408,0.00013889,0.00022031,-0.0020606,9.0738e-05,0.0032624,-0.0017128,7.586e-05,0.00034766,0.0011558,-0.0021357,-0.0022639,-0.0033703,0,0,0,0,0.0007179,0,0
0.0002013,0.00018276,0.00070915,2.0092e-05,0.00014993,0.00053913,0.00012605,0.00013108,0.0002056,-0.0019056,8.5719e-05,0.0030838,-0.0015811,5.9812e-05,0.00032678,0.0010622,-0.0019567,-0.00208,-0.0030836,0,0,0,0,0.00064611,0,0
0.00018736,0.00017056,0.00065276,1.8095e-05,0.00013713,0.00049753,0.00011802,0.00012317,0.00019129,-0.001759,8.0515e-05,0.0029111,-0.0014556,4.5885e-05,0.00030674,0.00097584,-0.0017891,-0.0019072,-0.0028169,0,0,0,0,0.0005815,0,0
0.00017389,0.0001587,0.00059996,1.6293e-05,0.00012537,0.00045829,0.0001101,0.00011528,0.00017748,-0.0016211,7.5245e-05,0.0027447,-0.0013366,3.3845e-05,0.00028757,0.00089625,-0.0016327,-0.0017455,-0.0025695,0,0,0,0,0.00052335,0,0
0.00016099,0.00014726,0.00055066,1.4668e-05,0.00011456,0.00042143,0.00010237,0.00010753,0.00016426,-0.0014917,7.0003e-05,0.0025847,-0.0012244,2.3483e-05,0.00026928,0.00082293,-0.0014873,-0.0015946,-0.0023404,0,0,0,0,0.00047101,0,0
0.0001487,0.00013631,0.00050475,1.3203e-05,0.00010464,0.00038691,9.4894e-05,9.9976e-05,0.00015168,-0.0013707,6.4861e-05,0.0024315,-0.0011191,1.4608e-05,0.00025189,0.00075541,-0.0013526,-0.0014543,-0.0021289,0,0,0,0,0.00042391,0,0
0.00013705,0.00012588,0.00046211,1.1881e-05,9.5539e-05,0.00035469,8.7726e-05,9.2692e-05,0.00013977,-0.0012579,5.9872e-05,0.002285,-0.0010207,7.0502e-06,0.0002354,0.00069327,-0.001228,-0.0013243,-0.0019341,0,0,0,0,0.00038152,0,0
