piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00033633,0.00098529,0.0032698,0.00010027,0.00074798,0.0024215,0.0017528,0.00068111,0.0003092,-0.0048075,0.00070419,0.0023723,0.0020217,0.002439,-0.001493,-0.0018648,0.0024892,0.00095562,0.00043111,0,0,0,0,0,0.01,0
0.00027278,0.00018206,0.0027142,6.2805e-05,0.0005396,0.0021118,0.00027057,0.00046185,0.00025811,-0.0040629,0.00055293,0.0042024,0.0022054,0.0018955,-0.0011098,-0.0013457,0.0028735,0.0016036,0.00079098,0,0,0,0,0,0.0085,0
0.00021875,0.0001278,0.0022567,4.304e-05,0.00038992,0.0018238,6.795e-05,0.00030218,0.00021231,-0.0034314,0.00043138,0.0055856,0.0023215,0.0014484,-0.00079493,-0.00092293,0.00297,0.0020276,0.001087,0,0,0,0,0,0.007225,0
0.00017284,8.8039e-05,0.0018747,2.951e-05,0.0002831,0.0015621,1.3969e-05,0.00018748,0.00017174,-0.0028927,0.00033213,0.0066016,0.0023878,0.0010814,-0.00053765,-0.00058131,0.0029898,0.0022906,0.0013265,0,0,0,0,0,0.0061412,0
0.00013389,5.7153e-05,0.0015543,1.9819e-05,0.0002071,0.0013274,-1.5394e-05,0.00010563,0.00013612,-0.0024318,0.00025096,0.0073175,0.002416,0.0007814,-0.00032899,-0.00030758,0.002968,0.0024388,0.0015163,0,0,0,0,0,0.0052201,0
0.00010094,3.2897e-05,0.0012849,1.2856e-05,0.00015314,0.001119,-3.5614e-05,4.7637e-05,0.00010511,-0.002037,0.00018463,0.0077895,0.0024151,0.00053728,-0.00016125,-9.0383e-05,0.0029174,0.0025057,0.0016628,0,0,0,0,0,0.0044371,0
7.314e-05,1.3784e-05,0.0010581,7.8732e-06,0.00011488,0.00093534,-4.9978e-05,6.9261e-06,7.8312e-05,-0.0016984,0.00013053,0.0080649,0.0023918,0.00033973,-2.7787e-05,7.9904e-05,0.0028464,0.0025154,0.001772,0,0,0,0,0,0.0037715,0
4.9766e-05,-1.2898e-06,0.0008668,4.3329e-06,8.7773e-05,0.00077469,-6.0054e-05,-2.129e-05,5.5311e-05,-0.0014079,8.6536e-05,0.008183,0.0023515,0.00018093,7.7065e-05,0.00021142,0.0027611,0.0024855,0.0018491,0,0,0,0,0,0.0032058,0
3.0197e-05,-1.3168e-05,0.00070535,1.841e-06,6.8538e-05,0.00063497,-6.6916e-05,-4.0493e-05,3.571e-05,-0.0011586,5.0899e-05,0.0081765,0.0022983,5.4343e-05,0.00015815,0.00031101,0.0026661,0.0024287,0.0018989,0,0,0,0,0,0.0027249,0
1.3893e-05,-2.2497e-05,0.00056904,1.0976e-07,5.4839e-05,0.00051409,-7.1356e-05,-5.3214e-05,1.9125e-05,-0.00094468,2.2179e-05,0.0080725,0.0022355,-4.5553e-05,0.00021959,0.00038445,0.0025648,0.002354,0.0019256,0,0,0,0,0,0.0023162,0
