piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-1.946e-05,0.0022291,-0.002958,6.2916e-05,-0.00077863,-0.0022423,-0.0021528,0.0002986,-4.3608e-05,0.019362,0.004344,0.013423,-0.0010208,0.0099325,-0.01115,-0.016427,-0.0030573,0.00041895,-6.0802e-05,0,0.01,0,0,0,0,0
7.2309e-05,-0.00052991,-0.0018062,5.9876e-05,-0.00056203,-0.001304,0.00066817,0.00022234,6.0509e-05,0.013931,0.003419,0.023078,-0.00044235,0.0070912,-0.0078739,-0.01156,-0.0021084,0.00073089,2.3564e-05,0,0.008,0,0,0,0,0
0.0001313,-0.00034385,-0.00096344,4.173e-05,-0.00037876,-0.00062641,0.00079523,0.00017624,0.00012764,0.0097777,0.0026753,0.029804,7.5084e-05,0.0048826,-0.0053382,-0.0078025,-0.00097901,0.00097816,0.00020153,0,0.0064,0,0,0,0,0
0.00016593,-0.00021101,-0.00035117,2.7061e-05,-0.00022843,-0.00014979,0.00066666,0.0001459,0.00016735,0.0066224,0.0020808,0.034266,0.00052992,0.0031757,-0.0033891,-0.0049211,-3.2258e-05,0.0011829,0.00043487,0,0.00512,0,0,0,0,0
0.00018264,-0.00011478,8.3725e-05,1.6449e-05,-0.00010784,0.00017511,0.00053678,0.00012468,0.00018705,0.0042477,0.0016062,0.036992,0.00092594,0.0018656,-0.0019031,-0.0027296,0.00073004,0.0013578,0.00069566,0,0.004096,0,0,0,0,0
0.00018641,-4.6418e-05,0.00038234,8.9301e-06,-1.3179e-05,0.00038659,0.00042764,0.00010866,0.00019239,0.0024816,0.0012276,0.038396,0.0012674,0.00086874,-0.00078181,-0.0010806,0.0013374,0.0015102,0.0009639,0,0.0032768,0,0,0,0,0
0.00018107,5.4412e-07,0.0005771,3.6583e-06,5.9361e-05,0.00051408,0.00033757,9.5465e-05,0.00018768,0.001188,0.00092584,0.038806,0.0015584,0.0001185,5.3247e-05,0.00014343,0.0018168,0.0016442,0.0012256,0,0.0026214,0,0,0,0,0
0.00016955,3.1215e-05,0.00069355,4.617e-09,0.00011338,0.00058016,0.00026322,8.3717e-05,0.00017619,0.0002593,0.00068575,0.038477,0.0018031,-0.00043801,0.00066436,0.0010356,0.0021906,0.0017616,0.0014712,0,0.0020972,0,0,0,0,0
0.00015405,4.9629e-05,0.00075174,-2.4878e-06,0.00015216,0.00060207,0.00020171,7.266e-05,0.00016036,-0.00038942,0.00049508,0.037612,0.0020054,-0.00084285,0.001101,0.0016696,0.002477,0.0018636,0.0016948,0,0.0016777,0,0,0,0,0
0.00013625,5.8959e-05,0.0007673,-4.1496e-06,0.00017855,0.0005929,0.00015076,6.1937e-05,0.00014201,-0.00082477,0.00034403,0.036366,0.0021694,-0.0011294,0.0014024,0.0021041,0.0026911,0.0019505,0.0018928,0,0.0013422,0,0,0,0,0
0.00011736,6.1688e-05,0.0007524,-5.2194e-06,0.00019506,0.00056256,0.00010851,5.1427e-05,0.00012248,-0.001099,0.00022477,0.03486,0.0022986,-0.0013242,0.0015996,0.0023851,0.0028452,0.0020226,0.0020636,0,0.0010737,0,0,0,0,0
