piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00057724,0.00061627,0.0056901,0.00018833,0.0012854,0.0042164,0.0021103,0.0010193,0.00054757,0,-2.6187e-05,0.0012962,0.0039677,0.0022048,0.001583,0.0010273,0.0029969,0.0014302,0.00076347,0,0,0,0,0,0,0.01
0.00031963,0.00028741,0.0036683,8.7265e-05,0.00076263,0.0028185,0.00017424,0.00036867,0.00031711,0,-4.5309e-05,0.0022428,0.0034436,0.0015258,0.0012396,0.00071153,0.0032444,0.0019474,0.0012056,0,0,0,0,0,0,0.008
0.00016165,0.00011751,0.0024148,4.794e-05,0.00047789,0.0018889,-0.00023674,6.0007e-05,0.00016859,0,-5.879e-05,0.0029101,0.0029935,0.0010478,0.0010085,0.00054793,0.0029082,0.0020316,0.0014407,0,0,0,0,0,0,0.0064
6.4257e-05,2.6689e-05,0.0016093,3.0039e-05,0.00031807,0.0012612,-0.00027946,-7.3428e-05,7.3168e-05,0,-6.7827e-05,0.0033574,0.002609,0.00070433,0.00084507,0.00046239,0.0025113,0.0019286,0.0015427,0,0,0,0,0,0,0.00512
4.6302e-06,-2.2082e-05,0.0010784,2.0599e-05,0.00022458,0.00083321,-0.00024443,-0.00012167,1.2641e-05,0,-7.341e-05,0.0036338,0.0022814,0.00045477,0.00072398,0.00041698,0.0021642,0.0017579,0.0015603,0,0,0,0,0,0,0.004096
-3.1091e-05,-4.757e-05,0.00072192,1.4965e-05,0.00016702,0.00053994,-0.00020138,-0.00013079,-2.4833e-05,0,-7.6342e-05,0.0037789,0.0020022,0.00027246,0.00063058,0.00039168,0.0018782,0.0015744,0.0015257,0,0,0,0,0,0,0.0032768
-5.1565e-05,-5.9857e-05,0.00047932,1.1256e-05,0.00012947,0.0003386,-0.00016479,-0.00012347,-4.7075e-05,0,-7.7268e-05,0.0038248,0.0017637,0.00013925,0.00055604,0.00037584,0.0016442,0.0014012,0.0014601,0,0,0,0,0,0,0.0026214
-6.2302e-05,-6.4585e-05,0.00031268,8.6278e-06,0.00010353,0.00020053,-0.000136,-0.00011045,-5.93e-05,0,-7.67e-05,0.0037967,0.0015596,4.2361e-05,0.00049487,0.00036384,0.001451,0.0012462,0.0013774,0,0,0,0,0,0,0.0020972
-6.6857e-05,-6.4993e-05,0.00019758,6.6675e-06,8.4645e-05,0.00010626,-0.00011364,-9.6548e-05,-6.5003e-05,0,-7.504e-05,0.0037145,0.001384,-2.7424e-05,0.00044351,0.00035282,0.0012896,0.0011107,0.0012867,0,0,0,0,0,0,0.0016777
-6.7545e-05,-6.2983e-05,0.00011791,5.156e-06,7.031e-05,4.244e-05,-9.6199e-05,-8.3704e-05,-6.6528e-05,0,-7.2603e-05,0.0035938,0.0012324,-7.6882e-05,0.00039961,0.00034142,0.001153,0.0009933,0.001194,0,0,0,0,0,0,0.0013422
-6.5876e-05,-5.9684e-05,6.2845e-05,3.9676e-06,5.9074e-05,-1.9672e-07,-8.2425e-05,-7.2538e-05,-6.5445e-05,0,-6.9633e-05,0.0034469,0.001101,-0.00011106,0.00036153,0.00032914,0.001036,0.00089152,0.0011027,0,0,0,0,0,0,0.0010737
-6.2836e-05,-5.577e-05,2.5005e-05,3.0241e-06,5.0064e-05,-2.8083e-05,-7.1395e-05,-6.3088e-05,-6.28e-05,0,-6.6322e-05,0.0032829,0.00098654,-0.00013375,0.00032813,0.00031587,0.00093457,0.00080301,0.0010152,0,0,0,0,0,0,0.00085899
-5.9065e-05,-5.1643e-05,-7.2467e-07,2.2723e-06,4.272e-05,-4.5717e-05,-6.2434e-05,-5.5172e-05,-5.9284e-05,0,-6.2811e-05,0.0031091,0.00088638,-0.00014783,0.00029855,0.00030175,0.00084591,0.0007256,0.00093251,0,0,0,0,0,0,0.00068719
-5.4974e-05,-4.7539e-05,-1.7913e-05,1.6738e-06,3.6666e-05,-5.6253e-05,-5.5048e-05,-4.8548e-05,-5.5351e-05,0,-5.9212e-05,0.002931,0.00079839,-0.00015548,0.00027218,0.00028699,0.00076773,0.00065748,0.00085534,0,0,0,0,0,0,0.00054976
-5.0824e-05,-4.3593e-05,-2.9071e-05,1.1989e-06,3.1633e-05,-6.1903e-05,-4.8876e-05,-4.298e-05,-5.1288e-05,0,-5.5606e-05,0.0027525,0.00072076,-0.00015838,0.00024851,0.00027185,0.00069832,0.00059718,0.00078383,0,0,0,0,0,0,0.0004398
-4.6772e-05,-3.9878e-05,-3.5976e-05,8.2428e-07,2.7421e-05,-6.4222e-05,-4.3651e-05,-3.8266e-05,-4.7278e-05,0,-5.2053e-05,0.0025766,0.000652,-0.0001578,0.00022718,0.00025656,0.00063633,0.00054349,0.00071791,0,0,0,0,0,0,0.00035184
-4.2911e-05,-3.6425e-05,-3.9892e-05,5.3083e-07,2.3878e-05,-6.4301e-05,-3.9177e-05,-3.4241e-05,-4.3428e-05,0,-4.8597e-05,0.0024055,0.00059089,-0.00015471,0.00020789,0.00024134,0.00058069,0.00049545,0.00065736,0,0,0,0,0,0,0.00028147
-3.929e-05,-3.3243e-05,-4.172e-05,3.0301e-07,2.0882e-05,-6.2904e-05,-3.5305e-05,-3.0773e-05,-3.9798e-05,0,-4.5268e-05,0.0022408,0.00053639,-0.00014986,0.00019038,0.00022636,0.00053055,0.00045228,0.00060187,0,0,0,0,0,0,0.00022518
-3.5929e-05,-3.0329e-05,-4.2103e-05,1.2808e-07,1.8337e-05,-6.0568e-05,-3.1923e-05,-2.776e-05,-3.6417e-05,0,-4.2087e-05,0.0020833,0.00048762,-0.00014382,0.00017446,0.00021176,0.00048521,0.00041333,0.00055109,0,0,0,0,0,0,0.00018014
-3.2833e-05,-2.767e-05,-4.1503e-05,-4.448e-09,1.6166e-05,-5.7664e-05,-2.8946e-05,-2.512e-05,-3.3294e-05,0,-3.9066e-05,0.0019338,0.00044387,-0.00013701,0.00015994,0.00019766,0.00044411,0.00037809,0.00050467,0,0,0,0,0,0,0.00014412
-2.9994e-05,-2.5248e-05,-4.0249e-05,-1.0313e-07,1.4305e-05,-5.4451e-05,-2.6305e-05,-2.279e-05,-3.0425e-05,0,-3.6212e-05,0.0017925,0.00040451,-0.00012976,0.0001467,0.00018413,0.00040675,0.00034611,0.00046225,0,0,0,0,0,0,0.00011529
-2.7399e-05,-2.3046e-05,-3.8575e-05,-1.7495e-07,1.2703e-05,-5.1104e-05,-2.3951e-05,-2.0721e-05,-2.7798e-05,0,-3.3527e-05,0.0016596,0.00036902,-0.00012231,0.00013459,0.00017122,0.00037274,0.00031704,0.00042349,0,0,0,0,0,0,9.2234e-05
-2.5032e-05,-2.1045e-05,-3.665e-05,-2.2558e-07,1.1318e-05,-4.7743e-05,-2.1841e-05,-1.8873e-05,-2.54e-05,0,-3.1009e-05,0.0015349,0.00033694,-0.00011483,0.00012352,0.00015898,0.00034172,0.00029056,0.00038808,0,0,0,0,0,0,7.3787e-05
-2.2875e-05,-1.9226e-05,-3.4591e-05,-2.5963e-07,1.0116e-05,-4.4448e-05,-1.9942e-05,-1.7216e-05,-2.3214e-05,0,-2.8655e-05,0.0014184,0.0003079,-0.00010747,0.00011338,0.00014742,0.0003134,0.0002664,0.00035571,0,0,0,0,0,0,5.903e-05
-2.0911e-05,-1.7573e-05,-3.2483e-05,-2.8079e-07,9.0669e-06,-4.1269e-05,-1.8227e-05,-1.5723e-05,-2.1222e-05,0,-2.6461e-05,0.0013098,0.00028156,-0.00010031,0.0001041,0.00013655,0.00028751,0.00024434,0.00032612,0,0,0,0,0,0,4.7224e-05
-1.9123e-05,-1.607e-05,-3.0381e-05,-2.9204e-07,8.1483e-06,-3.8238e-05,-1.6674e-05,-1.4374e-05,-1.9407e-05,0,-2.4418e-05,0.0012087,0.00025763,-9.3409e-05,9.5585e-05,0.00012634,0.00026383,0.00022418,0.00029906,0,0,0,0,0,0,3.7779e-05
-1.7495e-05,-1.4702e-05,-2.8327e-05,-2.9574e-07,7.3405e-06,-3.5371e-05,-1.5265e-05,-1.3152e-05,-1.7755e-05,0,-2.252e-05,0.0011148,0.00023586,-8.6822e-05,8.778e-05,0.0001168,0.00024215,0.00020572,0.00027431,0,0,0,0,0,0,3.0223e-05
-1.6011e-05,-1.3456e-05,-2.6345e-05,-2.9379e-07,6.6274e-06,-3.2679e-05,-1.3982e-05,-1.2042e-05,-1.6249e-05,0,-2.076e-05,0.0010276,0.00021603,-8.057e-05,8.062e-05,0.00010789,0.0002223,0.00018883,0.00025165,0,0,0,0,0,0,2.4179e-05
-1.4659e-05,-1.2322e-05,-2.4452e-05,-2.8767e-07,5.9955e-06,-3.016e-05,-1.2814e-05,-1.1032e-05,-1.4876e-05,0,-1.913e-05,0.00094693,0.00019795,-7.4666e-05,7.405e-05,9.9597e-05,0.0002041,0.00017335,0.00023091,0,0,0,0,0,0,1.9343e-05
-1.3427e-05,-1.1287e-05,-2.2658e-05,-2.7858e-07,5.4336e-06,-2.7814e-05,-1.1749e-05,-1.0111e-05,-1.3625e-05,0,-1.7621e-05,0.00087225,0.00018145,-6.9114e-05,6.8021e-05,9.1887e-05,0.00018741,0.00015917,0.00021191,0,0,0,0,0,0,1.5474e-05
-1.2302e-05,-1.0343e-05,-2.0968e-05,-2.6741e-07,4.9324e-06,-2.5633e-05,-1.0775e-05,-9.2708e-06,-1.2483e-05,0,-1.6226e-05,0.0008032,0.00016638,-6.3911e-05,6.2486e-05,8.4731e-05,0.00017211,0.00014616,0.00019451,0,0,0,0,0,0,1.2379e-05
-1.1275e-05,-9.4803e-06,-1.9382e-05,-2.549e-07,4.4839e-06,-2.3611e-05,-9.8852e-06,-8.5033e-06,-1.144e-05,0,-1.4938e-05,0.00073942,0.0001526,-5.905e-05,5.7404e-05,7.8097e-05,0.00015807,0.00013423,0.00017856,0,0,0,0,0,0,9.9035e-06
-1.0336e-05,-8.6925e-06,-1.79e-05,-2.4159e-07,4.0814e-06,-2.174e-05,-9.071e-06,-7.8015e-06,-1.0488e-05,0,-1.3748e-05,0.00068054,0.00014,-5.4518e-05,5.2738e-05,7.1954e-05,0.00014519,0.00012328,0.00016393,0,0,0,0,0,0,7.9228e-06
-9.4785e-06,-7.9722e-06,-1.6519e-05,-2.2791e-07,3.7193e-06,-2.0011e-05,-8.3256e-06,-7.1594e-06,-9.6172e-06,0,-1.2651e-05,0.00062622,0.00012847,-5.0302e-05,4.8453e-05,6.6272e-05,0.00013337,0.00011324,0.00015052,0,0,0,0,0,0,6.3383e-06
-8.694e-06,-7.3133e-06,-1.5235e-05,-2.1416e-07,3.3928e-06,-1.8414e-05,-7.6428e-06,-6.5713e-06,-8.821e-06,0,-1.1639e-05,0.00057614,0.0001179,-4.6388e-05,4.4517e-05,6.1021e-05,0.00012251,0.00010402,0.00013823,0,0,0,0,0,0,5.0706e-06
-7.9762e-06,-6.7102e-06,-1.4043e-05,-2.0059e-07,3.0977e-06,-1.694e-05,-7.017e-06,-6.0326e-06,-8.0924e-06,0,-1.0707e-05,0.00052998,0.00010823,-4.2757e-05,4.0902e-05,5.6172e-05,0.00011255,9.5553e-05,0.00012694,0,0,0,0,0,0,4.0565e-06
-7.3191e-06,-6.158e-06,-1.2939e-05,-1.8737e-07,2.8306e-06,-1.5582e-05,-6.4432e-06,-5.5388e-06,-7.4255e-06,0,-9.8476e-06,0.00048745,9.936e-05,-3.9395e-05,3.7582e-05,5.1696e-05,0.0001034,8.7782e-05,0.00011659,0,0,0,0,0,0,3.2452e-06
-6.7173e-06,-5.6522e-06,-1.1917e-05,-1.7461e-07,2.5883e-06,-1.433e-05,-5.917e-06,-5.0861e-06,-6.8148e-06,0,-9.0563e-06,0.00044829,9.123e-05,-3.6285e-05,3.4531e-05,4.7568e-05,9.4994e-05,8.0646e-05,0.00010709,0,0,0,0,0,0,2.5961e-06
-6.1659e-06,-5.1886e-06,-1.0972e-05,-1.6241e-07,2.3682e-06,-1.3178e-05,-5.4343e-06,-4.6709e-06,-6.2553e-06,0,-8.3278e-06,0.00041223,8.3773e-05,-3.341e-05,3.1729e-05,4.3762e-05,8.7277e-05,7.4092e-05,9.8366e-05,0,0,0,0,0,0,2.0769e-06
