piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-8.9487e-06,-0.00026879,0.0002522,-5.4374e-05,0.00011788,0.0001887,-0.00955,-0.00026599,1.345e-05,0,-2.2233e-06,0.00011005,0.00046127,0.00015582,-3.9457e-05,0.00050311,-0.013563,-0.00037319,1.8754e-05,0,0,0.01,0,0,0,0
7.9952e-07,-2.537e-05,0.0004884,3.5497e-05,0.00021935,0.00023355,-2.945e-05,-0.00016646,1.3793e-05,0,-3.9857e-06,0.00019729,0.00042605,0.00017053,3.0524e-06,0.00052646,-0.013604,-0.00060673,3.7985e-05,0,0,0.009,0,0,0,0
5.1797e-06,9.9705e-06,0.0005525,4.6628e-05,0.00027107,0.0002348,0.00086502,-9.1086e-05,1.2434e-05,0,-5.3322e-06,0.00026395,0.00039176,0.00016475,2.7946e-05,0.00051243,-0.012376,-0.00073453,5.5321e-05,0,0,0.0081,0,0,0,0
7.1902e-06,1.9236e-05,0.00056646,4.7606e-05,0.00029492,0.00022393,0.00087009,-4.0184e-05,1.0647e-05,0,-6.3435e-06,0.000314,0.00036132,0.0001536,4.3424e-05,0.00048773,-0.01114,-0.00079091,7.0167e-05,0,0,0.00729,0,0,0,0
7.8211e-06,2.2901e-05,0.00055508,4.631e-05,0.00030103,0.00020774,0.00079156,-6.9378e-06,8.7664e-06,0,-7.0866e-06,0.00035079,0.00033423,0.00014032,5.2717e-05,0.00045833,-0.010016,-0.00080064,8.239e-05,0,0,0.006561,0,0,0,0
7.6278e-06,2.4119e-05,0.00052911,4.4053e-05,0.00029586,0.0001892,0.00071247,1.4123e-05,6.9431e-06,0,-7.6145e-06,0.00037692,0.00030985,0.00012634,5.7811e-05,0.00042695,-0.0090043,-0.00078083,9.207e-05,0,0,0.0059049,0,0,0,0
6.9663e-06,2.3913e-05,0.0004951,4.1303e-05,0.00028375,0.00017004,0.00064057,2.6877e-05,5.2582e-06,0,-7.9688e-06,0.00039446,0.00028768,0.00011248,6.006e-05,0.00039526,-0.0080946,-0.00074312,9.9402e-05,0,0,0.0053144,0,0,0,0
6.0672e-06,2.2855e-05,0.00045729,3.833e-05,0.00026763,0.00015133,0.00057591,3.4019e-05,3.7511e-06,0,-8.1828e-06,0.00040505,0.00026737,9.9226e-05,6.04e-05,0.00036428,-0.0072767,-0.00069539,0.00010463,0,0,0.004783,0,0,0,0
5.0775e-06,2.1318e-05,0.00041844,3.5306e-05,0.00024947,0.00013366,0.0005178,3.7419e-05,2.4352e-06,0,-8.2834e-06,0.00041003,0.00024866,8.6867e-05,5.9478e-05,0.00033464,-0.0065413,-0.00064289,0.00010803,0,0,0.0043047,0,0,0,0
4.0877e-06,1.9545e-05,0.00038027,3.2341e-05,0.00023057,0.00011736,0.00046557,3.8362e-05,1.3085e-06,0,-8.2924e-06,0.00041047,0.00023135,7.5537e-05,5.7743e-05,0.00030668,-0.0058801,-0.00058907,0.00010985,0,0,0.0038742,0,0,0,0
3.1513e-06,1.7694e-05,0.00034383,2.9501e-05,0.00021177,0.00010255,0.00041862,3.7734e-05,3.5994e-07,0,-8.2277e-06,0.00040727,0.00021528,6.5279e-05,5.5503e-05,0.00028058,-0.0052856,-0.00053612,0.00011035,0,0,0.0034868,0,0,0,0
2.2972e-06,1.5865e-05,0.00030968,2.6825e-05,0.0001936,8.926e-05,0.00037641,3.6139e-05,-4.2613e-07,0,-8.1039e-06,0.00040114,0.00020033,5.6082e-05,5.2969e-05,0.00025639,-0.0047511,-0.00048542,0.00010976,0,0,0.0031381,0,0,0,0
1.5383e-06,1.4117e-05,0.00027812,2.4333e-05,0.00017636,7.7425e-05,0.00033845,3.3987e-05,-1.0673e-06,0,-7.9335e-06,0.00039271,0.0001864,4.7898e-05,5.0286e-05,0.00023408,-0.0042704,-0.00043773,0.00010827,0,0,0.0028243,0,0,0,0
8.7778e-07,1.2486e-05,0.00024922,2.2032e-05,0.00016023,6.6956e-05,0.00030431,3.1551e-05,-1.5814e-06,0,-7.7265e-06,0.00038246,0.00017341,4.066e-05,4.7553e-05,0.00021358,-0.0038382,-0.00039347,0.00010607,0,0,0.0025419,0,0,0,0
3.128e-07,1.0986e-05,0.00022293,1.9919e-05,0.00014528,5.7739e-05,0.00027361,2.9014e-05,-1.9855e-06,0,-7.4914e-06,0.00037083,0.0001613,3.4291e-05,4.4835e-05,0.0001948,-0.0034497,-0.00035276,0.0001033,0,0,0.0022877,0,0,0,0
-1.6298e-07,9.6243e-06,0.00019916,1.7989e-05,0.00013151,4.9656e-05,0.000246,2.6492e-05,-2.2955e-06,0,-7.2355e-06,0.00035816,0.00014999,2.8712e-05,4.2175e-05,0.00017763,-0.0031003,-0.00031559,0.0001001,0,0,0.0020589,0,0,0,0
-5.5761e-07,8.398e-06,0.00017773,1.6232e-05,0.00011891,4.2588e-05,0.00022117,2.4059e-05,-2.5256e-06,0,-6.9645e-06,0.00034474,0.00013944,2.3843e-05,3.96e-05,0.00016195,-0.0027862,-0.00028183,9.6576e-05,0,0,0.001853,0,0,0,0
-8.7979e-07,7.3011e-06,0.00015848,1.4636e-05,0.00010742,3.6424e-05,0.00019884,2.1758e-05,-2.6885e-06,0,-6.6836e-06,0.00033084,0.00012959,1.9611e-05,3.7129e-05,0.00014765,-0.0025038,-0.00025131,9.2827e-05,0,0,0.0016677,0,0,0,0
-1.1382e-06,6.3254e-06,0.00014121,1.319e-05,9.6963e-05,3.1059e-05,0.00017876,1.9612e-05,-2.7953e-06,0,-6.3968e-06,0.00031664,0.0001204,1.5944e-05,3.4771e-05,0.00013461,-0.00225,-0.00022379,8.893e-05,0,0,0.0015009,0,0,0,0
-1.3412e-06,5.461e-06,0.00012576,1.1882e-05,8.7479e-05,2.6397e-05,0.00016069,1.7631e-05,-2.8557e-06,0,-6.1075e-06,0.00030232,0.00011184,1.2778e-05,3.2529e-05,0.00012272,-0.0020218,-0.00019905,8.4948e-05,0,0,0.0013509,0,0,0,0
-1.4963e-06,4.698e-06,0.00011194,1.07e-05,7.8889e-05,2.2353e-05,0.00014445,1.5817e-05,-2.8779e-06,0,-5.8186e-06,0.00028802,0.00010385,1.0054e-05,3.0407e-05,0.0001119,-0.0018166,-0.00017686,8.0936e-05,0,0,0.0012158,0,0,0,0
-1.6107e-06,4.0266e-06,9.9602e-05,9.6326e-06,7.1119e-05,1.885e-05,0.00012985,1.4165e-05,-2.8691e-06,0,-5.5324e-06,0.00027385,9.64e-05,7.7201e-06,2.8401e-05,0.00010203,-0.0016322,-0.00015699,7.6935e-05,0,0,0.0010942,0,0,0,0
-1.6904e-06,3.4373e-06,8.8588e-05,8.67e-06,6.4098e-05,1.582e-05,0.00011671,1.2666e-05,-2.8354e-06,0,-5.2508e-06,0.00025992,8.9462e-05,5.7274e-06,2.6511e-05,9.3052e-05,-0.0014665,-0.00013922,7.2982e-05,0,0,0.00098477,0,0,0,0
-1.741e-06,2.9214e-06,7.8764e-05,7.8023e-06,5.7758e-05,1.3204e-05,0.0001049,1.1312e-05,-2.7817e-06,0,-4.9753e-06,0.00024628,8.3e-05,4.0338e-06,2.4732e-05,8.487e-05,-0.0013175,-0.00012334,6.9103e-05,0,0,0.00088629,0,0,0,0
-1.7673e-06,2.4707e-06,7.0006e-05,7.0204e-06,5.2038e-05,1.0948e-05,9.4285e-05,1.0092e-05,-2.7126e-06,0,-4.7071e-06,0.000233,7.6984e-05,2.6015e-06,2.3059e-05,7.7417e-05,-0.0011836,-0.00010919,6.5321e-05,0,0,0.00079766,0,0,0,0
-1.7734e-06,2.0779e-06,6.22e-05,6.3161e-06,4.6878e-05,9.0058e-06,8.4738e-05,8.9946e-06,-2.6316e-06,0,-4.4471e-06,0.00022013,7.1385e-05,1.3969e-06,2.1489e-05,7.0628e-05,-0.0010632,-9.6565e-05,6.1652e-05,0,0,0.0007179,0,0,0,0
-1.763e-06,1.7362e-06,5.5245e-05,5.6819e-06,4.2226e-05,7.3373e-06,7.6155e-05,8.0096e-06,-2.5417e-06,0,-4.196e-06,0.0002077,6.6177e-05,3.9038e-07,2.0017e-05,6.4442e-05,-0.00095508,-8.5327e-05,5.8108e-05,0,0,0.00064611,0,0,0,0
-1.7391e-06,1.4397e-06,4.9051e-05,5.1109e-06,3.8033e-05,5.9068e-06,6.8438e-05,7.1268e-06,-2.4455e-06,0,-3.9543e-06,0.00019574,6.1333e-05,-4.4426e-07,1.8637e-05,5.8806e-05,-0.00085789,-7.5328e-05,5.4699e-05,0,0,0.0005815,0,0,0,0
-1.7045e-06,1.183e-06,4.3535e-05,4.597e-06,3.4255e-05,4.6831e-06,6.15e-05,6.3365e-06,-2.345e-06,0,-3.7224e-06,0.00018426,5.683e-05,-1.1301e-06,1.7345e-05,5.3669e-05,-0.00077055,-6.6438e-05,5.1429e-05,0,0,0.00052335,0,0,0,0
-1.6615e-06,9.6134e-07,3.8624e-05,4.1345e-06,3.0851e-05,3.6392e-06,5.5264e-05,5.6297e-06,-2.2421e-06,0,-3.5004e-06,0.00017327,5.2646e-05,-1.6874e-06,1.6137e-05,4.8987e-05,-0.00069207,-5.8539e-05,4.8303e-05,0,0,0.00047101,0,0,0,0
-1.6118e-06,7.7036e-07,3.4253e-05,3.7183e-06,2.7784e-05,2.7514e-06,4.9658e-05,4.9982e-06,-2.1381e-06,0,-3.2884e-06,0.00016278,4.8759e-05,-2.134e-06,1.5007e-05,4.4719e-05,-0.00062155,-5.1527e-05,4.5322e-05,0,0,0.00042391,0,0,0,0
-1.5572e-06,6.0635e-07,3.0364e-05,3.3439e-06,2.5021e-05,1.9989e-06,4.4618e-05,4.4345e-06,-2.0342e-06,0,-3.0865e-06,0.00015278,4.5149e-05,-2.4855e-06,1.3951e-05,4.0827e-05,-0.00055818,-4.5305e-05,4.2485e-05,0,0,0.00038152,0,0,0,0
-1.4991e-06,4.6593e-07,2.6904e-05,3.007e-06,2.2533e-05,1.3638e-06,4.0088e-05,3.9316e-06,-1.9314e-06,0,-2.8944e-06,0.00014327,4.1798e-05,-2.7556e-06,1.2965e-05,3.7279e-05,-0.00050125,-3.9789e-05,3.9793e-05,0,0,0.00034337,0,0,0,0
-1.4385e-06,3.4616e-07,2.3826e-05,2.7039e-06,2.0292e-05,8.3017e-07,3.6017e-05,3.4833e-06,-1.8302e-06,0,-2.7121e-06,0.00013425,3.8687e-05,-2.9563e-06,1.2044e-05,3.4043e-05,-0.0004501,-3.4902e-05,3.7241e-05,0,0,0.00030903,0,0,0,0
-1.3765e-06,2.4441e-07,2.109e-05,2.4313e-06,1.8274e-05,3.844e-07,3.2357e-05,3.0838e-06,-1.7315e-06,0,-2.5394e-06,0.0001257,3.5801e-05,-3.098e-06,1.1186e-05,3.1091e-05,-0.00040415,-3.0575e-05,3.4827e-05,0,0,0.00027813,0,0,0,0
-1.3139e-06,1.5838e-07,1.8657e-05,2.1861e-06,1.6457e-05,1.4445e-08,2.9068e-05,2.7282e-06,-1.6355e-06,0,-2.3759e-06,0.00011761,3.3124e-05,-3.1898e-06,1.0385e-05,2.8398e-05,-0.00036287,-2.6747e-05,3.2546e-05,0,0,0.00025032,0,0,0,0
-1.2513e-06,8.6018e-08,1.6495e-05,1.9656e-06,1.482e-05,-2.9014e-07,2.6113e-05,2.4117e-06,-1.5427e-06,0,-2.2215e-06,0.00010996,3.0642e-05,-3.2396e-06,9.6388e-06,2.5941e-05,-0.00032578,-2.3363e-05,3.0395e-05,0,0,0.00022528,0,0,0,0
-1.1892e-06,2.5546e-08,1.4575e-05,1.7672e-06,1.3346e-05,-5.3848e-07,2.3456e-05,2.1302e-06,-1.4533e-06,0,-2.0758e-06,0.00010275,2.834e-05,-3.2545e-06,8.9436e-06,2.3699e-05,-0.00029247,-2.0374e-05,2.8369e-05,0,0,0.00020276,0,0,0,0
-1.1281e-06,-2.4618e-08,1.2869e-05,1.5889e-06,1.2019e-05,-7.3851e-07,2.1069e-05,1.88e-06,-1.3674e-06,0,-1.9384e-06,9.5952e-05,2.6207e-05,-3.2402e-06,8.2964e-06,2.1654e-05,-0.00026255,-1.7737e-05,2.6462e-05,0,0,0.00018248,0,0,0,0
-1.0684e-06,-6.586e-08,1.1355e-05,1.4284e-06,1.0823e-05,-8.9715e-07,1.8924e-05,1.6578e-06,-1.2852e-06,0,-1.8091e-06,8.9551e-05,2.4231e-05,-3.202e-06,7.6939e-06,1.9786e-05,-0.00023568,-1.5411e-05,2.4671e-05,0,0,0.00016423,0,0,0,0
