piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.0016747,0.0030526,0.01269,0.00041451,0.0026343,0.0096414,0.0060534,0.0035988,0.0015512,0,-4.579e-05,0.0022666,0.0083748,0.0040275,-0.0002411,0.0008725,0.0085968,0.0050493,0.0021629,0,0,0,0,0,0.01,0
0.00094286,0.00071992,0.0076361,0.00014268,0.0012185,0.0062749,0.00060973,0.0013562,0.00091947,0,-8.2157e-05,0.0040668,0.0076538,0.0027406,-0.00048062,0.0001014,0.0094627,0.0069521,0.0034449,0,0,0,0,0,0.0085,0
0.00049257,0.00022799,0.0046558,4.6616e-05,0.00052196,0.0040872,-0.00058166,0.00027353,0.00050805,0,-0.00011017,0.0054536,0.0069618,0.0018693,-0.00050763,-0.00021029,0.0086367,0.0073359,0.0041532,0,0,0,0,0,0.007225,0
0.0002124,-2.8398e-05,0.0028383,1.0614e-05,0.00018839,0.0026393,-0.00073629,-0.00021166,0.00023957,0,-0.00013102,0.0064856,0.0063169,0.0012575,-0.00043818,-0.00029158,0.007591,0.0070389,0.0044873,0,0,0,0,0,0.0061412,0
3.807e-05,-0.0001608,0.0017036,-2.9497e-06,3.6066e-05,0.0016705,-0.00066416,-0.00040153,6.5547e-05,0,-0.00014587,0.0072204,0.0057261,0.00081666,-0.00033137,-0.00026026,0.0066478,0.0064755,0.0045786,0,0,0,0,0,0.0052201,0
-6.904e-05,-0.00022549,0.00098363,-7.5835e-06,-2.722e-05,0.0010184,-0.00056172,-0.00045156,-4.5422e-05,0,-0.00015576,0.00771,0.0051897,0.00049346,-0.00021684,-0.00017856,0.0058501,0.005842,0.0045153,0,0,0,0,0,0.0044371,0
-0.00013289,-0.00025245,0.00052243,-8.5992e-06,-4.7934e-05,0.00057896,-0.00047136,-0.00043942,-0.00011411,0,-0.00016162,0.0080003,0.0047051,0.00025397,-0.00010884,-7.9554e-05,0.0051807,0.0052254,0.0043562,0,0,0,0,0,0.0037715,0
-0.00016871,-0.00025826,0.0002262,-8.215e-06,-4.9257e-05,0.00028367,-0.00039842,-0.00040283,-0.00015443,0,-0.00016425,0.0081305,0.0042681,7.5728e-05,-1.356e-05,1.9447e-05,0.0046149,0.0046603,0.0041409,0,0,0,0,0,0.0032058,0
-0.00018633,-0.00025231,3.6928e-05,-7.3761e-06,-4.2572e-05,8.6876e-05,-0.00034039,-0.0003594,-0.00017582,0,-0.00016431,0.0081335,0.0038742,-5.6771e-05,6.6959e-05,0.00010983,0.0041315,0.004156,0.0038958,0,0,0,0,0,0.0027249,0
-0.00019222,-0.00024005,-8.2147e-05,-6.4741e-06,-3.3323e-05,-4.235e-05,-0.00029392,-0.00031688,-0.00018467,0,-0.00016236,0.008037,0.0035192,-0.00015456,0.0001328,0.0001878,0.0037141,0.0037114,0.0036383,0,0,0,0,0,0.0023162,0
