piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00039276,0.00044955,0.0068336,0.00017999,0.0016462,0.0050074,0.0030071,0.00066687,0.0003708,0,-2.3123e-05,0.0011446,0.0041832,0.0023015,0.0018548,0.0015069,0.0042705,0.00093565,0.00051701,0.01,0,0,0,0,0,0
0.00027484,0.00025309,0.0051823,0.00011085,0.0011884,0.0038831,-5.8543e-05,0.00039286,0.00026576,0,-4.1125e-05,0.0020357,0.003795,0.0017705,0.0015726,0.0012288,0.0041874,0.0014868,0.00088755,0.0085,0,0,0,0,0,0
0.00018673,0.00015661,0.0039543,7.8399e-05,0.00086575,0.0030101,-0.0003213,0.00020895,0.00018514,0,-5.4852e-05,0.0027152,0.0034424,0.001353,0.0013501,0.0010299,0.0037311,0.00178,0.0011457,0.007225,0,0,0,0,0,0
0.0001207,9.2031e-05,0.0030194,5.704e-05,0.00063632,0.0023261,-0.00030214,8.8903e-05,0.00012328,0,-6.5023e-05,0.0032187,0.0031222,0.001022,0.0011714,0.00088247,0.003302,0.0019047,0.0013176,0.0061412,0,0,0,0,0,0
7.1333e-05,4.6361e-05,0.0023029,4.1948e-05,0.00047226,0.0017887,-0.00026185,1.2379e-05,7.5996e-05,0,-7.2257e-05,0.0035767,0.0028321,0.00075909,0.0010257,0.00077089,0.0029301,0.0019221,0.0014235,0.0052201,0,0,0,0,0,0
3.4623e-05,1.4007e-05,0.0017514,3.1111e-05,0.00035429,0.001366,-0.00022595,-3.4838e-05,4.0083e-05,0,-7.7085e-05,0.0038157,0.0025695,0.00055035,0.00090516,0.0006847,0.0026092,0.0018732,0.0014794,0.0044371,0,0,0,0,0,0
7.5437e-06,-8.6883e-06,0.0013255,2.3265e-05,0.0002689,0.0010334,-0.0001958,-6.2511e-05,1.3035e-05,0,-7.9956e-05,0.0039578,0.0023322,0.00038487,0.00080417,0.00061656,0.0023312,0.0017855,0.0014976,0.0037715,0,0,0,0,0,0
-1.2194e-05,-2.4338e-05,0.00099589,1.754e-05,0.00020662,0.00077173,-0.00017052,-7.7303e-05,-7.0988e-06,0,-8.1253e-05,0.004022,0.0021178,0.00025403,0.00071849,0.00056132,0.002089,0.0016771,0.0014877,0.0032058,0,0,0,0,0,0
-2.6334e-05,-3.4844e-05,0.00074028,1.3328e-05,0.00016081,0.00056615,-0.00014922,-8.3744e-05,-2.1845e-05,0,-8.1297e-05,0.0040242,0.0019241,0.00015103,0.00064499,0.00051537,0.0018771,0.0015596,0.0014572,0.0027249,0,0,0,0,0,0
-3.6205e-05,-4.1597e-05,0.00054191,1.0199e-05,0.00012677,0.00040494,-0.00013117,-8.4889e-05,-3.2401e-05,0,-8.0355e-05,0.0039776,0.001749,7.0421e-05,0.0005813,0.00047619,0.0016908,0.0014405,0.0014121,0.0023162,0,0,0,0,0,0
-4.2829e-05,-4.5616e-05,0.00038797,7.8525e-06,0.00010122,0.0002789,-0.00011578,-8.2788e-05,-3.9708e-05,0,-7.865e-05,0.0038932,0.0015908,7.8507e-06,0.00052562,0.00044199,0.0015264,0.0013243,0.0013567,0.0019687,0,0,0,0,0,0
-4.6988e-05,-4.7653e-05,0.00026866,6.0751e-06,8.1807e-05,0.00018077,-0.0001026,-7.88e-05,-4.4504e-05,0,-7.6369e-05,0.0037803,0.0014477,-4.0186e-05,0.00047658,0.00041155,0.0013807,0.0012138,0.0012946,0.0016734,0,0,0,0,0,0
-4.9287e-05,-4.8263e-05,0.00017641,4.7153e-06,6.6879e-05,0.00010482,-9.1245e-05,-7.3816e-05,-4.7372e-05,0,-7.3662e-05,0.0036463,0.0013182,-7.652e-05,0.00043309,0.000384,0.0012511,0.0011102,0.0012286,0.0014224,0,0,0,0,0,0
-5.0192e-05,-4.7856e-05,0.00010538,3.6647e-06,5.5254e-05,4.6464e-05,-8.1413e-05,-6.8411e-05,-4.877e-05,0,-7.0655e-05,0.0034974,0.001201,-0.00010344,0.00039432,0.00035874,0.0011355,0.0010142,0.0011606,0.0012091,0,0,0,0,0,0
-5.0063e-05,-4.6736e-05,5.1014e-05,2.8457e-06,4.6087e-05,2.0812e-06,-7.2859e-05,-6.2945e-05,-4.9057e-05,0,-6.7449e-05,0.0033387,0.0010948,-0.00012282,0.00035957,0.00033535,0.001032,0.00092589,0.0010922,0.0010277,0,0,0,0,0,0
-4.9178e-05,-4.5129e-05,9.7426e-06,2.2019e-06,3.8767e-05,-3.1227e-05,-6.5383e-05,-5.7634e-05,-4.8517e-05,0,-6.4126e-05,0.0031743,0.0009985,-0.00013615,0.00032831,0.00031354,0.00093915,0.00084502,0.0010245,0.00087354,0,0,0,0,0,0
-4.7752e-05,-4.3202e-05,-2.1226e-05,1.6924e-06,3.2854e-05,-5.5772e-05,-5.8821e-05,-5.2605e-05,-4.7372e-05,0,-6.0752e-05,0.0030072,0.00091111,-0.00014468,0.00030009,0.0002931,0.00085562,0.00077122,0.0009585,0.00074251,0,0,0,0,0,0
-4.5949e-05,-4.1079e-05,-4.4093e-05,1.2867e-06,2.8023e-05,-7.3403e-05,-5.3038e-05,-4.7919e-05,-4.5795e-05,0,-5.7379e-05,0.0028402,0.00083176,-0.0001494,0.00027455,0.00027389,0.0007803,0.00070399,0.00089465,0.00063113,0,0,0,0,0,0
-4.3898e-05,-3.8851e-05,-6.0598e-05,9.6239e-07,2.4036e-05,-8.5596e-05,-4.7922e-05,-4.3601e-05,-4.392e-05,0,-5.4046e-05,0.0026753,0.00075966,-0.00015113,0.00025136,0.0002558,0.00071224,0.00064281,0.00083341,0.00053646,0,0,0,0,0,0
-4.1696e-05,-3.6585e-05,-7.2117e-05,7.0235e-07,2.0717e-05,-9.3536e-05,-4.338e-05,-3.9652e-05,-4.1854e-05,0,-5.0787e-05,0.002514,0.00069411,-0.00015054,0.00023028,0.00023875,0.00065063,0.00058718,0.00077505,0.00045599,0,0,0,0,0,0
-3.9415e-05,-3.4329e-05,-7.9743e-05,4.9361e-07,1.7929e-05,-9.8166e-05,-3.9334e-05,-3.6058e-05,-3.9676e-05,0,-4.7624e-05,0.0023574,0.00063446,-0.00014816,0.00021108,0.00022268,0.00059477,0.00053659,0.00071974,0.0003876,0,0,0,0,0,0
-3.7113e-05,-3.2118e-05,-8.4344e-05,3.2615e-07,1.5573e-05,-0.00010024,-3.5718e-05,-3.2796e-05,-3.7449e-05,0,-4.4574e-05,0.0022064,0.00058015,-0.00014444,0.00019357,0.00020753,0.00054405,0.00049057,0.00066752,0.00032946,0,0,0,0,0,0
-3.483e-05,-2.9976e-05,-8.6609e-05,1.9212e-07,1.3568e-05,-0.00010037,-3.2479e-05,-2.9842e-05,-3.5218e-05,0,-4.165e-05,0.0020617,0.00053068,-0.00013972,0.00017757,0.00019327,0.00049792,0.0004487,0.00061842,0.00028004,0,0,0,0,0,0
-3.2597e-05,-2.7919e-05,-8.7086e-05,8.5296e-08,1.1854e-05,-9.9026e-05,-2.9569e-05,-2.7169e-05,-3.3019e-05,0,-3.886e-05,0.0019236,0.00048559,-0.0001343,0.00016295,0.00017985,0.00045593,0.00041058,0.00057238,0.00023803,0,0,0,0,0,0
-3.0435e-05,-2.5959e-05,-8.6212e-05,7.2156e-10,1.0382e-05,-9.6594e-05,-2.6948e-05,-2.475e-05,-3.0878e-05,0,-3.6209e-05,0.0017923,0.00044446,-0.0001284,0.00014957,0.00016725,0.00041766,0.00037586,0.00052933,0.00020233,0,0,0,0,0,0
-2.836e-05,-2.41e-05,-8.4331e-05,-6.5615e-08,9.112e-06,-9.3378e-05,-2.4583e-05,-2.2562e-05,-2.8811e-05,0,-3.3697e-05,0.001668,0.00040694,-0.0001222,0.00013732,0.00015541,0.00038275,0.0003442,0.00048916,0.00017198,0,0,0,0,0,0
