piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.0019519,-0.0026406,-0.052484,-0.0011692,-0.012732,-0.038582,-0.026662,-0.0041975,-0.0017712,0,0.0098159,0.014111,-0.025978,0.0015308,-0.017946,-0.03073,-0.037863,-0.0058893,-0.0024696,0,0.01,0,0,0,0,0
-0.00079584,-0.0006542,-0.031995,-0.00046869,-0.0072832,-0.024243,0.0056805,-0.0014639,-0.00074563,0,0.0075937,0.024113,-0.018513,0.0019101,-0.011951,-0.020278,-0.029796,-0.0079432,-0.0035092,0,0.008,0,0,0,0,0
-7.8026e-05,0.00011938,-0.018431,-0.00019996,-0.0038391,-0.014392,0.006909,9.2419e-05,-9.3048e-05,0,0.005839,0.030972,-0.012677,0.0018409,-0.007628,-0.012823,-0.019984,-0.0078136,-0.0036389,0,0.0064,0,0,0,0,0
0.0003449,0.00050474,-0.0094597,-5.9266e-05,-0.001702,-0.0076985,0.0054008,0.00088739,0.00030149,0,0.0044557,0.035441,-0.0081409,0.0015482,-0.0045199,-0.0075073,-0.012315,-0.0065685,-0.0032186,0,0.00512,0,0,0,0,0
0.00057008,0.0006818,-0.0036523,1.5871e-05,-0.0004186,-0.0032496,0.0039978,0.0012173,0.00051895,0,0.0033676,0.038106,-0.0046453,0.001153,-0.0023021,-0.0037494,-0.006637,-0.0048606,-0.002495,0,0.004096,0,0,0,0,0
0.00066522,0.00073278,-2.1437e-05,5.2159e-05,0.00031354,-0.00038714,0.0029059,0.0012761,0.00061722,0,0.0025136,0.039415,-0.0019803,0.00072819,-0.00073711,-0.0011284,-0.0025102,-0.0030703,-0.0016344,0,0.0032768,0,0,0,0,0
0.00067746,0.00070869,0.0021269,6.5452e-05,0.00069596,0.0013655,0.0020767,0.0011872,0.00063753,0,0.0018455,0.039718,2.4639e-05,0.00031736,0.00034984,0.00066502,0.00043898,-0.0014046,-0.00074551,0,0.0026214,0,0,0,0,0
0.0006393,0.00064284,0.00328,6.5728e-05,0.0008618,0.0023524,0.0014514,0.0010273,0.00060897,0,0.0013247,0.039283,0.0015076,-5.5304e-05,0.0010874,0.0018583,0.0025002,3.6695e-05,0.00010357,0,0.0020972,0,0,0,0,0
0.00057285,0.0005568,0.0037784,5.9227e-05,0.00089815,0.0028211,0.0009825,0.00084261,0.0005518,0,0.00092055,0.038319,0.0025798,-0.00037809,0.0015705,0.0026188,0.0038955,0.0012189,0.00087293,0,0.0016777,0,0,0,0,0
0.00049289,0.00046422,0.0038587,4.9751e-05,0.00086112,0.0029478,0.0006332,0.00065959,0.00047991,0,0.0006086,0.036983,0.0033306,-0.00064721,0.0018691,0.0030693,0.0047947,0.0021443,0.0015421,0,0.0013422,0,0,0,0,0
0.00040906,0.00037341,0.0036832,3.9534e-05,0.00078627,0.0028574,0.00037512,0.00049224,0.00040261,0,0.00036946,0.035399,0.0038315,-0.00086368,0.002035,0.0033002,0.0053274,0.002835,0.0021034,0,0.0010737,0,0,0,0,0
0.00032743,0.00028909,0.0033626,2.9807e-05,0.00069552,0.0026373,0.00018643,0.00034689,0.00032595,0,0.0001877,0.033659,0.0041397,-0.0010313,0.0021064,0.0033774,0.0055922,0.0033217,0.0025579,0,0.00085899,0,0,0,0,0
0.00025157,0.0002137,0.0029705,2.1181e-05,0.00060192,0.0023474,5.0348e-05,0.00022528,0.00025366,0,5.1046e-05,0.031833,0.0043005,-0.0011552,0.0021114,0.0033493,0.0056637,0.0036377,0.0029116,0,0.00068719,0,0,0,0,0
0.00018341,0.00014816,0.0025552,1.389e-05,0.00051281,0.0020285,-4.599e-05,0.00012657,0.00018788,0,-5.0238e-05,0.029975,0.0043499,-0.001241,0.0020706,0.003251,0.0055984,0.0038153,0.0031735,0,0.00054976,0,0,0,0,0
0.00012373,9.2473e-05,0.002147,7.9516e-06,0.00043191,0.0017071,-0.00011246,4.8581e-05,0.00012962,0,-0.00012389,0.028123,0.0043164,-0.0012947,0.0019992,0.0031077,0.0054387,0.0038835,0.0033542,0,0.0004398,0,0,0,0,0
7.2613e-05,4.6104e-05,0.001764,3.2678e-06,0.00036073,0.0014,-0.00015662,-1.1424e-05,7.9196e-05,0,-0.00017603,0.026306,0.0042221,-0.0013214,0.0019082,0.0029376,0.0052163,0.0038675,0.0034647,0,0.00035184,0,0,0,0,0
2.9689e-05,8.2252e-06,0.0014161,-3.1471e-07,0.00029945,0.001117,-0.00018423,-5.6286e-05,3.6419e-05,0,-0.00021152,0.024544,0.0040846,-0.0013262,0.0018058,0.0027537,0.0049546,0.0037885,0.0035154,0,0.00028147,0,0,0,0,0
-5.6754e-06,-2.2123e-05,0.0011077,-2.9661e-06,0.00024754,0.0008631,-0.00019968,-8.8697e-05,8.2021e-07,0,-0.00023419,0.022851,0.0039175,-0.0013133,0.0016975,0.002565,0.0046711,0.003664,0.0035166,0,0.00022518,0,0,0,0,0
-3.4241e-05,-4.5925e-05,0.00083948,-4.8529e-06,0.00020408,0.00064025,-0.00020631,-0.00011108,-2.8232e-05,0,-0.00024706,0.021237,0.0037313,-0.0012867,0.0015876,0.0023777,0.0043781,0.0035082,0.0034772,0,0.00018014,0,0,0,0,0
-5.6817e-05,-6.4129e-05,0.00061009,-6.1267e-06,0.00016802,0.00044819,-0.00020664,-0.00012552,-5.1444e-05,0,-0.00025254,0.019706,0.0035339,-0.0012495,0.0014787,0.0021958,0.0040846,0.0033321,0.0034055,0,0.00014412,0,0,0,0,0
-7.4201e-05,-7.7613e-05,0.00041676,-6.92e-06,0.00013832,0.00028537,-0.00020257,-0.00013379,-6.9541e-05,0,-0.00025247,0.018262,0.0033316,-0.0012045,0.001373,0.0020221,0.0037969,0.0031444,0.0033085,0,0.00011529,0,0,0,0,0
-8.715e-05,-8.717e-05,0.00025611,-7.3442e-06,0.00011398,0.00014947,-0.00019551,-0.00013736,-8.3223e-05,0,-0.00024834,0.016905,0.0031289,-0.001154,0.0012717,0.0018581,0.0035193,0.0029516,0.0031925,0,9.2234e-05,0,0,0,0,0
-9.6359e-05,-9.3497e-05,0.00012444,-7.4914e-06,9.4099e-05,3.7833e-05,-0.00018653,-0.0001374,-9.3149e-05,0,-0.00024128,0.015633,0.0029292,-0.0010998,0.0011754,0.0017046,0.0032544,0.0027589,0.0030626,0,7.3787e-05,0,0,0,0,0
-0.00010246,-9.72e-05,1.8108e-05,-7.4357e-06,7.7912e-05,-5.2368e-05,-0.0001764,-0.00013488,-9.9919e-05,0,-0.00023219,0.014445,0.0027349,-0.0010434,0.0010848,0.0015618,0.0030038,0.0025696,0.0029233,0,5.903e-05,0,0,0,0,0
-0.00010599,-9.8798e-05,-6.6379e-05,-7.2361e-06,6.4749e-05,-0.00012389,-0.00016568,-0.00013053,-0.00010407,0,-0.00022175,0.013338,0.0025477,-0.00098617,0.00099982,0.0014298,0.0027685,0.0023865,0.0027782,0,4.7224e-05,0,0,0,0,0
-0.00010745,-9.8731e-05,-0.00013225,-6.9385e-06,5.4051e-05,-0.00017936,-0.00015479,-0.00012495,-0.00010608,0,-0.00021048,0.012308,0.0023688,-0.00092894,0.00092062,0.001308,0.0025487,0.0022112,0.0026303,0,3.7779e-05,0,0,0,0,0
-0.00010724,-9.737e-05,-0.0001824,-6.5783e-06,4.5354e-05,-0.00022118,-0.000144,-0.00011859,-0.00010635,0,-0.00019879,0.011351,0.0021989,-0.00087249,0.00084703,0.0011962,0.0023442,0.0020448,0.002482,0,3.0223e-05,0,0,0,0,0
-0.00010573,-9.5022e-05,-0.00021944,-6.182e-06,3.8272e-05,-0.00025153,-0.00013353,-0.00011179,-0.00010525,0,-0.00018697,0.010464,0.0020384,-0.0008174,0.00077884,0.0010936,0.0021546,0.0018879,0.0023353,0,2.4179e-05,0,0,0,0,0
-0.0001032,-9.194e-05,-0.00024563,-5.7695e-06,3.2495e-05,-0.00027235,-0.00012349,-0.00010481,-0.00010307,0,-0.00017526,0.0096424,0.0018873,-0.0007641,0.00071581,0.00099975,0.0019792,0.0017409,0.0021916,0,1.9343e-05,0,0,0,0,0
-9.9922e-05,-8.8333e-05,-0.00026292,-5.3551e-06,2.7767e-05,-0.00028533,-0.00011396,-9.7839e-05,-0.00010008,0,-0.00016381,0.0088823,0.0017456,-0.0007129,0.00065764,0.00091393,0.0018174,0.0016036,0.002052,0,1.5474e-05,0,0,0,0,0
-9.6086e-05,-8.4369e-05,-0.000273,-4.9489e-06,2.3884e-05,-0.00029193,-0.000105,-9.1007e-05,-9.6478e-05,0,-0.00015274,0.0081795,0.0016132,-0.00066399,0.00060404,0.00083553,0.0016683,0.0014759,0.0019175,0,1.2379e-05,0,0,0,0,0
-9.1869e-05,-8.0183e-05,-0.0002773,-4.5579e-06,2.0679e-05,-0.00029342,-9.6618e-05,-8.4409e-05,-9.2447e-05,0,-0.00014213,0.0075304,0.0014897,-0.0006175,0.00055469,0.00076396,0.0015311,0.0013575,0.0017886,0,9.9035e-06,0,0,0,0,0
-8.7409e-05,-7.5884e-05,-0.00027703,-4.1864e-06,1.802e-05,-0.00029086,-8.8816e-05,-7.8109e-05,-8.8131e-05,0,-0.00013202,0.0069312,0.0013748,-0.00057351,0.00050931,0.00069864,0.0014049,0.0012479,0.0016657,0,7.9228e-06,0,0,0,0,0
-8.2818e-05,-7.1556e-05,-0.00027319,-3.8371e-06,1.5801e-05,-0.00028516,-8.158e-05,-7.2142e-05,-8.3647e-05,0,-0.00012246,0.0063784,0.001268,-0.00053203,0.00046759,0.00063904,0.0012891,0.0011467,0.0015491,0,6.3383e-06,0,0,0,0,0
-7.8185e-05,-6.7265e-05,-0.00026664,-3.5113e-06,1.3938e-05,-0.00027707,-7.489e-05,-6.6531e-05,-7.9091e-05,0,-0.00011344,0.0058687,0.001169,-0.00049303,0.00042927,0.00058467,0.0011827,0.0010534,0.0014388,0,5.0706e-06,0,0,0,0,0
-7.3581e-05,-6.3061e-05,-0.00025806,-3.2092e-06,1.2362e-05,-0.00026722,-6.8719e-05,-6.1281e-05,-7.4537e-05,0,-0.00010497,0.0053989,0.0010772,-0.00045648,0.00039408,0.00053505,0.0010851,0.00096737,0.0013349,0,4.0565e-06,0,0,0,0,0
-6.9059e-05,-5.8981e-05,-0.00024803,-2.9306e-06,1.102e-05,-0.00025612,-6.3036e-05,-5.6391e-05,-7.0044e-05,0,-9.7047e-05,0.0049661,0.00099228,-0.00042229,0.00036177,0.00048976,0.0009956,0.00088825,0.0012372,0,3.2452e-06,0,0,0,0,0
-6.466e-05,-5.5052e-05,-0.00023699,-2.6744e-06,9.8687e-06,-0.00024419,-5.7812e-05,-5.1851e-05,-6.5657e-05,0,-8.9649e-05,0.0045674,0.00091377,-0.00039037,0.00033212,0.00044842,0.0009135,0.00081551,0.0011457,0,2.5961e-06,0,0,0,0,0
-6.0415e-05,-5.1293e-05,-0.00022534,-2.4397e-06,8.8739e-06,-0.00023177,-5.3013e-05,-4.7647e-05,-6.1408e-05,0,-8.2758e-05,0.0042004,0.00084125,-0.00036064,0.0003049,0.00041068,0.00083821,0.00074866,0.0010601,0,2.0769e-06,0,0,0,0,0
-5.6345e-05,-4.7716e-05,-0.00021336,-2.2251e-06,8.0084e-06,-0.00021914,-4.8609e-05,-4.3765e-05,-5.7323e-05,0,-7.6351e-05,0.0038624,0.0007743,-0.00033297,0.00027993,0.0003762,0.00076918,0.00068725,0.00098014,0,1.6615e-06,0,0,0,0,0
