regime,variable,eps_a1,eps_a2,eps_a3,eps_pF,eps_D,eps_pX,eps_rp
float,piDC,0.7416216046,10.12632067,84.50041855,0.150297294,0.1726573996,0.4231397003,3.885544779
float,PIC,0.8823936681,11.92325215,64.54895753,0.6603947604,0.3964875129,0.6933877406,20.89512664
float,y_gap,0.4749761569,4.086603351,24.25690871,1.760552768,1.41732194,1.567795523,66.43584155
float,y_gap1,5.063567503,9.304563158,74.64015022,0.2606263397,0.5195081323,0.6963960509,9.515188592
float,y_gap2,3.333744478,22.42965861,67.41054446,0.1010320343,1.13360682,1.651186299,3.9402273
float,y_gap3,0.3404447469,7.624642029,1.412150348,2.503006203,0.6410950134,0.5542416614,86.92442
float,PI1,50.67470374,6.006605694,36.61137991,0.1726033166,0.1704585038,0.324782087,6.039466744
float,PI2,1.072196669,45.95986964,41.88134311,0.3261534224,0.2723555127,0.5060639862,9.982017659
float,PI3,0.6979552244,9.2019217,85.83629828,0.1401793475,0.1624079049,0.4055011609,3.555736382
float,I,0.4031265977,6.907050843,58.90815211,1.005821817,0.01623610882,0.02982381102,32.72978871
float,BSTAR,0.01282692644,0.3934594437,2.678627561,4.716877203,0.909578527,1.188009237,90.1006211
peg,piDC,0.003971418514,0.2481496885,21.31706552,10.88400126,1.272257395,1.78087783,64.49367689
peg,PIC,0.1560822796,2.821267917,10.11497139,21.26262351,1.047812853,1.420565955,63.1766761
peg,y_gap,0.09053373057,0.9915179237,5.89639409,7.404059585,1.64336574,1.968318667,82.00581026
peg,y_gap1,1.840785197,4.340328727,16.57430717,6.52556963,1.581411876,1.813155927,67.32444147
peg,y_gap2,0.7331765944,5.749164599,7.415799038,5.351201544,1.648818569,1.996190864,77.10564879
peg,y_gap3,0.01569370711,0.5424567788,8.12150964,7.825960978,1.560951454,1.870038702,80.06338874
peg,PI1,10.86792412,0.08856152427,1.385677319,6.576807295,0.8008995397,0.9652934395,79.31483676
peg,PI2,0.177716202,22.24050282,1.08624336,10.47369186,0.829064099,1.059994379,64.13278728
peg,PI3,0.004181475819,0.06103762846,24.86874068,10.53628342,1.280255591,1.80862305,61.44087815
peg,I,0.000505187616,0.0158476726,0.111198876,0.1856583906,0.03573376875,0.04676196022,99.60429414
peg,BSTAR,0.01217131708,0.3818127011,2.679077507,4.473005809,0.8609217966,1.126620343,90.46639053
managed,piDC,0.2966307934,4.613381458,81.43435206,7.448971048,0.2009045157,0.2776599178,5.728100204
managed,PIC,1.130471175,15.50905203,39.48748217,12.18883229,0.3660140242,0.4408278328,30.87732048
managed,y_gap,1.247611177,13.12464614,44.72842522,16.98965989,5.866318113,7.429149987,10.61418947
managed,y_gap1,6.081840577,12.08301374,77.54317372,1.49112015,1.035019025,1.314449921,0.4513828701
managed,y_gap2,3.615921559,25.82890957,57.97865579,1.311247868,2.044119023,2.835963151,6.385183036
managed,y_gap3,0.05954198463,8.794350582,47.69150884,23.0755629,4.944203918,6.021299866,9.413531907
managed,PI1,84.11640775,1.919752829,4.652432696,3.914945345,0.05500018608,0.06834677211,5.273114424
managed,PI2,1.216361955,86.80870144,5.408964402,5.388025295,0.03297196246,0.04353407745,1.101440872
managed,PI3,0.1815048767,2.045496315,84.73340978,6.706350522,0.203295733,0.281788717,5.848154061
managed,I,0.08722347417,2.00866207,17.66344314,3.171075661,0.3149862907,0.2650361854,76.48957318
managed,BSTAR,0.01266790168,0.3906669317,2.681545961,4.662845181,0.8988901655,1.174235756,90.1791481
