piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-8.7276e-05,-0.0002918,0.00048944,0.00029097,0.0004251,-0.00022664,-0.00028065,-0.00020255,-7.8277e-05,-0.0022974,0.00011495,0.0010377,0.00031176,0.00059488,0.00039914,0.00017895,0.00034583,-0.00033937,-0.00018486,-0.00014834,-4.9008e-05,0,0,0,0,0,0,0.01
-7.8612e-05,-7.2947e-05,0.00039939,0.00021987,0.00036091,-0.00018139,-9.2916e-05,-0.00015171,-7.2933e-05,-0.0021628,8.2603e-05,0.0018026,0.00018278,0.00044083,0.00030108,0.00012795,0.00031084,-0.00018765,-0.00024606,-0.00025945,-9.4669e-05,0,0,0,0,0,0,0.008
-7.1128e-05,-6.228e-05,0.00032343,0.00016166,0.00030393,-0.00014216,-6.4212e-05,-0.00011463,-6.7752e-05,-0.002045,5.5577e-05,0.0023517,7.6603e-05,0.00031761,0.0002231,8.8415e-05,0.00027987,-7.0621e-05,-0.00028836,-0.00034341,-0.00013709,0,0,0,0,0,0,0.0064
-6.4583e-05,-5.4254e-05,0.00026133,0.00011565,0.00025431,-0.00010863,-5.3716e-05,-8.7648e-05,-6.2795e-05,-0.001943,3.4133e-05,0.0027319,-1.1098e-05,0.00022105,0.00016124,5.7838e-05,0.00025275,1.8155e-05,-0.00032374,-0.0004076,-0.0001764,0,0,0,0,0,0,0.00512
-5.8825e-05,-4.787e-05,0.00021084,7.9596e-05,0.00021165,-8.0403e-05,-4.6739e-05,-6.798e-05,-5.8117e-05,-0.0018545,1.7355e-05,0.0029806,-8.398e-05,0.00014591,0.00011238,3.4321e-05,0.00022896,8.4496e-05,-0.00035453,-0.00045739,-0.00021279,0,0,0,0,0,0,0.004096
-5.3735e-05,-4.2686e-05,0.00016986,5.1502e-05,0.00017533,-5.697e-05,-4.136e-05,-5.361e-05,-5.3748e-05,-0.0017777,4.3729e-06,0.0031276,-0.00014495,8.779e-05,7.4025e-05,1.6363e-05,0.00020803,0.00013313,-0.00038177,-0.00049666,-0.00024644,0,0,0,0,0,0,0.0032768
-4.9214e-05,-3.8408e-05,0.00013666,2.9756e-05,0.00014467,-3.776e-05,-3.7056e-05,-4.3067e-05,-4.9695e-05,-0.0017109,-5.5446e-06,0.0031967,-0.0001963,4.3174e-05,4.411e-05,2.7787e-06,0.00018954,0.00016785,-0.00040618,-0.0005282,-0.00027755,0,0,0,0,0,0,0.0026214
-4.518e-05,-3.4822e-05,0.0001098,1.3059e-05,0.00011895,-2.2207e-05,-3.3537e-05,-3.5288e-05,-4.5951e-05,-0.0016524,-1.2999e-05,0.0032064,-0.00023985,9.2428e-06,2.0972e-05,-7.3725e-06,0.00017315,0.00019168,-0.00042827,-0.00055404,-0.00030632,0,0,0,0,0,0,0.0020972
-4.1565e-05,-3.1769e-05,8.8094e-05,3.6973e-07,9.7499e-05,-9.7752e-06,-3.0601e-05,-2.9502e-05,-4.2504e-05,-0.0016012,-1.8485e-05,0.0031717,-0.00027706,-1.6252e-05,3.2553e-06,-1.4834e-05,0.00015856,0.00020704,-0.00044843,-0.00057565,-0.00033293,0,0,0,0,0,0,0.0016777
-3.8311e-05,-2.9132e-05,7.0572e-05,-9.1476e-06,7.9695e-05,2.5211e-08,-2.8105e-05,-2.5152e-05,-3.9335e-05,-0.001556,-2.2404e-05,0.0031041,-0.00030906,-3.5103e-05,-1.0138e-05,-2.0195e-05,0.00014553,0.00021584,-0.00046694,-0.00059407,-0.00035756,0,0,0,0,0,0,0.0013422
