piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.0013859,-0.00050409,0.00059689,0.00036296,0.0028801,-0.0026462,0.002059,1.9297e-05,-0.0014959,0.0056362,-0.0017984,0.00066789,0.0043945,0.00071333,0.00077171,0.00045896,-6.0092e-05,0.0062439,0.0013562,1.4133e-05,-0.00093654,0,0,0,0,0.01,0,0
-0.001249,-0.0011445,0.00034176,0.00024215,0.0020883,-0.0019887,-0.00099933,-0.00035321,-0.0013186,0.0038692,-0.0017198,0.0011592,0.003293,0.00056024,0.00057746,0.0004301,-9.2237e-05,0.0057273,0.00069799,-0.00024456,-0.0017621,0,0,0,0,0.009,0,0
-0.0011252,-0.0010901,0.00019862,0.00018455,0.0015101,-0.001496,-0.0012525,-0.00059392,-0.0011664,0.0021897,-0.0016045,0.0015377,0.0022786,0.0004751,0.00042833,0.00039709,-0.00010269,0.0052297,-0.00012701,-0.00067954,-0.0024924,0,0,0,0,0.0081,0,0
-0.001014,-0.0010202,0.00010171,0.00014314,0.0010864,-0.0011278,-0.0012134,-0.000739,-0.0010353,0.00063205,-0.001485,0.0018281,0.0013444,0.00040645,0.00031584,0.00036347,-0.00010379,0.004768,-0.00092627,-0.0012208,-0.0031406,0,0,0,0,0.00729,0,0
-0.00091426,-0.00094698,3.488e-05,0.00011093,0.00077634,-0.00085239,-0.0011387,-0.00081652,-0.00092179,-0.00080159,-0.0013676,0.0020474,0.00048711,0.00034764,0.00023106,0.00033053,-9.9334e-05,0.004343,-0.0016764,-0.0018188,-0.0037177,0,0,0,0,0.006561,0,0
-0.00082462,-0.00087394,-1.0516e-05,8.5494e-05,0.00054989,-0.0006459,-0.001058,-0.00084706,-0.00082282,-0.0021146,-0.0012547,0.0022088,-0.00029689,0.0002968,0.00016704,0.00029899,-9.1512e-05,0.003953,-0.0023733,-0.0024392,-0.0042328,0,0,0,0,0.0059049,0,0
-0.00074401,-0.00080295,-4.0505e-05,6.5265e-05,0.00038494,-0.00049071,-0.000977,-0.00084553,-0.00073607,-0.0033126,-0.0011477,0.002323,-0.0010119,0.00025273,0.00011861,0.00026926,-8.1808e-05,0.0035962,-0.0030168,-0.0030584,-0.0046937,0,0,0,0,0.0053144,0,0
-0.00067148,-0.00073516,-5.9468e-05,4.9099e-05,0.0002652,-0.00037376,-0.00089796,-0.0008227,-0.00065968,-0.0044024,-0.0010474,0.0023985,-0.0016627,0.00021448,8.1917e-05,0.00024158,-7.1246e-05,0.0032703,-0.0036083,-0.003661,-0.0051067,0,0,0,0,0.004783,0,0
-0.00060618,-0.00067124,-7.06e-05,3.6123e-05,0.00017864,-0.00028536,-0.00082231,-0.00078628,-0.00059214,-0.0053914,-0.00095411,0.0024424,-0.0022539,0.00018124,5.4068e-05,0.00021605,-6.0519e-05,0.0029732,-0.00415,-0.0042368,-0.0054774,0,0,0,0,0.0043047,0,0
-0.00054736,-0.00061153,-7.6234e-05,2.567e-05,0.00011641,-0.00021831,-0.00075087,-0.00074176,-0.00053221,-0.0062871,-0.00086783,0.0024605,-0.0027903,0.00015236,3.2916e-05,0.00019265,-5.0083e-05,0.0027027,-0.0046445,-0.0047801,-0.0058106,0,0,0,0,0.0038742,0,0
-0.00049435,-0.00055616,-7.8061e-05,1.7226e-05,7.1976e-05,-0.00016726,-0.00068406,-0.000693,-0.00047887,-0.0070971,-0.00078844,0.0024574,-0.0032765,0.00012725,1.685e-05,0.00017135,-4.0227e-05,0.0024565,-0.0050951,-0.0052877,-0.0061104,0,0,0,0,0.0034868,0,0
