piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
8.539e-05,0.00052769,0.00076434,0.00038503,0.00061256,-0.00023326,0.00063216,0.00030155,6.8467e-05,-0.0051093,0.00051541,0.0017379,0.00026711,0.00084919,0.00063051,0.00031032,-0.00063089,-0.0017714,0.0004164,0.00022085,4.2866e-05,0,0,0,0,0,0.01,0
5.8936e-05,-7.2678e-06,0.00060957,0.00028638,0.00041272,-8.9541e-05,5.0355e-05,0.00016913,5.0383e-05,-0.0045642,0.00039716,0.0030883,0.00027354,0.00064872,0.00047607,0.00024562,-0.00049527,-0.0013509,0.00044956,0.00034472,7.441e-05,0,0,0,0,0,0.0085,0
3.7396e-05,-2.8397e-05,0.00049414,0.00021303,0.00027143,9.6709e-06,-2.9285e-05,7.7437e-05,3.4304e-05,-0.0041093,0.00030623,0.0041246,0.00026789,0.00049104,0.00035276,0.00019064,-0.00037963,-0.0010084,0.00043027,0.00040143,9.5887e-05,0,0,0,0,0,0.007225,0
1.9837e-05,-4.1617e-05,0.00040267,0.00015426,0.00017204,7.6378e-05,-5.1261e-05,1.5291e-05,2.0208e-05,-0.0037236,0.00023343,0.004903,0.00025298,0.00036205,0.00025475,0.00014442,-0.00028261,-0.00072833,0.00039651,0.00041263,0.00010854,0,0,0,0,0,0.0061412,0
5.6221e-06,-5.0086e-05,0.00032932,0.0001068,0.00010281,0.00011971,-6.2079e-05,-2.574e-05,8.0744e-06,-0.0033945,0.00017484,0.00547,0.00023166,0.00025638,0.00017695,0.0001058,-0.00020177,-0.0004999,0.00035562,0.00039378,0.00011359,0,0,0,0,0,0.0052201,0
-5.7775e-06,-5.5201e-05,0.00027019,6.8562e-05,5.5245e-05,0.00014638,-6.7941e-05,-5.1807e-05,-2.1878e-06,-0.003112,0.0001277,0.0058642,0.00020606,0.00017012,0.0001153,7.3734e-05,-0.00013485,-0.00031443,0.00031087,0.00035584,0.00011222,0,0,0,0,0,0.0044371,0
-1.4814e-05,-5.7902e-05,0.00022229,3.7892e-05,2.3143e-05,0.00016126,-7.0604e-05,-6.737e-05,-1.072e-05,-0.0028683,8.9824e-05,0.0061179,0.0001778,0.00010008,6.6597e-05,4.7278e-05,-7.9846e-05,-0.00016468,0.00026436,0.0003065,0.00010551,0,0,0,0,0,0.0037715,0
-2.1875e-05,-5.8873e-05,0.00018335,1.3435e-05,2.0164e-06,0.0001679,-7.1068e-05,-7.5647e-05,-1.7687e-05,-0.002657,5.9459e-05,0.0062578,0.00014804,4.3571e-05,2.8293e-05,2.5607e-05,-3.498e-05,-4.4612e-05,0.00021755,0.00025109,9.4439e-05,0,0,0,0,0,0.0032058,0
-2.7288e-05,-5.8618e-05,0.00015157,-5.9166e-06,-1.1386e-05,0.00016887,-7.0034e-05,-7.8949e-05,-2.3266e-05,-0.002473,3.5204e-05,0.0063064,0.00011763,-1.6568e-06,-1.6434e-06,8.0022e-06,1.2864e-06,5.083e-05,0.00017142,0.00019327,7.9873e-05,0,0,0,0,0,0.0027249,0
-3.1333e-05,-5.7507e-05,0.00012553,-2.1077e-05,-1.941e-05,0.00016602,-6.8003e-05,-7.8926e-05,-2.7629e-05,-0.002312,1.5924e-05,0.0062821,8.7211e-05,-3.7501e-05,-2.4839e-05,-6.1632e-06,3.029e-05,0.00012586,0.00012662,0.00013547,6.2575e-05,0,0,0,0,0,0.0023162,0
-3.4248e-05,-5.5815e-05,0.00010413,-3.2798e-05,-2.3738e-05,0.00016067,-6.5336e-05,-7.675e-05,-3.094e-05,-0.0021706,7.0027e-07,0.0062004,5.7212e-05,-6.5554e-05,-4.2599e-05,-1.743e-05,5.3183e-05,0.00018401,8.3588e-05,7.9256e-05,4.3204e-05,0,0,0,0,0,0.0019687,0
-3.6233e-05,-5.374e-05,8.6493e-05,-4.17e-05,-2.5573e-05,0.00015377,-6.2289e-05,-7.3247e-05,-3.3353e-05,-0.0020459,-1.1216e-05,0.0060739,2.7947e-05,-8.7155e-05,-5.5976e-05,-2.6262e-05,7.0956e-05,0.00022824,4.2558e-05,2.561e-05,2.2322e-05,0,0,0,0,0,0.0016734,0
