piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00012378,-0.00035607,0.0004191,0.00027112,0.00039006,-0.00024208,-0.0003653,-0.0002645,-0.00011279,-0.0026088,2.4123e-05,0.00094732,0.00027313,0.00054966,0.00036486,0.00016113,0.00037877,-0.00025392,-0.00024062,-0.00019372,-7.0617e-05,0.01,0,0,0,0,0,0
-0.00011333,-0.00011575,0.00036782,0.00022018,0.00036294,-0.0002153,-0.00013848,-0.00020632,-0.00010611,-0.002566,1.4052e-05,0.0016943,0.0001444,0.00043626,0.00029605,0.00012245,0.00035453,-0.00014048,-0.00033184,-0.00034483,-0.00013705,0.0085,0,0,0,0,0,0
-0.00010395,-0.00010064,0.00031885,0.00017471,0.00033146,-0.00018732,-0.00010169,-0.0001625,-9.94e-05,-0.0025182,3.5417e-06,0.0022725,3.282e-05,0.00033895,0.00023736,9.0901e-05,0.00033078,-4.7423e-05,-0.00039882,-0.00046384,-0.00019928,0.007225,0,0,0,0,0,0
-9.544e-05,-8.8715e-05,0.00027526,0.00013636,0.00029864,-0.00015974,-8.6724e-05,-0.00012944,-9.2803e-05,-0.0024693,-5.5862e-06,0.0027103,-6.407e-05,0.00025795,0.00018742,6.5154e-05,0.00030821,2.7498e-05,-0.00045594,-0.00055864,-0.00025738,0.0061412,0,0,0,0,0,0
-8.7721e-05,-7.8855e-05,0.00023697,0.00010434,0.00026629,-0.00013366,-7.6102e-05,-0.0001044,-8.6429e-05,-0.0024206,-1.323e-05,0.003032,-0.00014855,0.00019098,0.00014517,4.4208e-05,0.00028696,8.7067e-05,-0.00050607,-0.00063511,-0.00031149,0.0052201,0,0,0,0,0,0
-8.0707e-05,-7.0574e-05,0.00020353,7.7736e-05,0.0002355,-0.00010971,-6.7568e-05,-8.5324e-05,-8.0352e-05,-0.002373,-1.9492e-05,0.0032581,-0.00022253,0.00013587,0.00010964,2.7245e-05,0.00026703,0.00013376,-0.00055058,-0.0006976,-0.0003618,0.0044371,0,0,0,0,0,0
-7.4327e-05,-6.3539e-05,0.00017445,5.5734e-05,0.0002069,-8.8178e-05,-6.0514e-05,-7.0689e-05,-7.4613e-05,-0.0023272,-2.4509e-05,0.003406,-0.00028758,9.0722e-05,7.9928e-05,1.3583e-05,0.00024842,0.0001697,-0.00059044,-0.00074937,-0.00040851,0.0037715,0,0,0,0,0,0
-6.8516e-05,-5.7501e-05,0.00014926,3.7634e-05,0.00018079,-6.9163e-05,-5.4593e-05,-5.9371e-05,-6.923e-05,-0.0022833,-2.8426e-05,0.0034901,-0.00034498,5.3949e-05,5.5248e-05,2.6575e-06,0.00023107,0.0001967,-0.0006264,-0.00079285,-0.00045186,0.0032058,0,0,0,0,0,0
-6.3217e-05,-5.2268e-05,0.00012751,2.283e-05,0.00015729,-5.2606e-05,-4.9558e-05,-5.0538e-05,-6.4205e-05,-0.0022417,-3.1384e-05,0.0035227,-0.00039583,2.4194e-05,3.4882e-05,-6.0021e-06,0.00021492,0.0002163,-0.00065904,-0.00082987,-0.00049205,0.0027249,0,0,0,0,0,0
-5.8379e-05,-4.7691e-05,0.00010877,1.0807e-05,0.00013633,-3.8367e-05,-4.522e-05,-4.3571e-05,-5.9532e-05,-0.0022023,-3.3517e-05,0.003514,-0.00044102,3.1251e-07,1.8201e-05,-1.2788e-05,0.00019992,0.00022981,-0.00068883,-0.00086178,-0.00052933,0.0023162,0,0,0,0,0,0
-5.3955e-05,-4.3656e-05,9.2663e-05,1.1204e-06,0.0001178,-2.6259e-05,-4.144e-05,-3.8011e-05,-5.5196e-05,-0.0021652,-3.495e-05,0.0034725,-0.00048132,-1.8666e-05,4.6537e-06,-1.8027e-05,0.00018598,0.00023832,-0.00071612,-0.00088962,-0.00056388,0.0019687,0,0,0,0,0,0
-4.9905e-05,-4.0072e-05,7.8844e-05,-6.6058e-06,0.00010152,-1.6074e-05,-3.8111e-05,-3.3518e-05,-5.1181e-05,-0.0021303,-3.5794e-05,0.0034054,-0.00051736,-3.3561e-05,-6.2397e-06,-2.1993e-05,0.00017305,0.00024276,-0.00074123,-0.00091416,-0.00059593,0.0016734,0,0,0,0,0,0
