piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00043957,0.0028913,0.0049936,0.0021055,0.0035983,-0.00071019,0.003763,0.0015801,0.00035017,0.027101,0.003188,0.0094681,0.0015797,0.0046537,0.0035063,0.0017214,-0.0034155,-0.0094797,0.0024787,0.0011572,0.00021923,0,0.01,0,0,0,0,0
0.00027707,-0.00021629,0.0037734,0.0014568,0.0023027,1.3843e-05,4.0222e-05,0.0007989,0.00023662,0.020446,0.0023255,0.016349,0.0014992,0.0033188,0.0024823,0.001278,-0.002509,-0.0067399,0.0025052,0.0017424,0.00036737,0,0.008,0,0,0,0,0
0.0001524,-0.00029391,0.00289,0.0009999,0.001419,0.00047102,-0.00039053,0.00028482,0.00014225,0.015076,0.0016905,0.021246,0.0013757,0.0023257,0.0017053,0.00092322,-0.0017813,-0.0046308,0.0022479,0.001951,0.00045644,0,0.0064,0,0,0,0,0
5.6771e-05,-0.00032955,0.0022193,0.00065414,0.00082249,0.00074271,-0.00045782,-4.2261e-05,6.4592e-05,0.010774,0.0012069,0.024606,0.0012224,0.0015592,0.0011201,0.00064226,-0.0012061,-0.0030034,0.0019464,0.00192,0.00049688,0,0.00512,0,0,0,0,0
-1.5843e-05,-0.00034312,0.0017064,0.00039112,0.00042657,0.00088866,-0.00046634,-0.00024102,1.7556e-06,0.0073411,0.00083779,0.026779,0.0010531,0.00096763,0.00068153,0.00042122,-0.00075497,-0.001754,0.0016392,0.0017435,0.00049797,0,0.004096,0,0,0,0,0
-7.0205e-05,-0.00034279,0.0013131,0.0001921,0.00016991,0.00095107,-0.00045499,-0.00035305,-4.8147e-05,0.0046101,0.0005568,0.02804,0.0008772,0.00051378,0.00035483,0.00024858,-0.00040399,-0.00080172,0.0013395,0.0014849,0.00046783,0,0.0032768,0,0,0,0,0
-0.00011013,-0.00033369,0.0010111,4.2787e-05,8.9838e-06,0.00095935,-0.00043344,-0.00040748,-8.6964e-05,0.0024453,0.0003438,0.028605,0.00070124,0.00016853,0.00011339,0.00011487,-0.00013349,-8.2814e-05,0.001054,0.0011865,0.00041338,0,0.0026214,0,0,0,0,0
-0.00013869,-0.00031928,0.00077898,-6.7916e-05,-8.6929e-05,0.00093382,-0.00040654,-0.00042458,-0.00011642,0.00073633,0.00018329,0.028645,0.00052937,-9.1182e-05,-6.3075e-05,1.2386e-05,7.2558e-05,0.00045308,0.00078621,0.00087551,0.0003405,0,0.0020972,0,0,0,0,0
-0.00015832,-0.00030194,0.00060027,-0.00014869,-0.00013939,0.00088835,-0.00037736,-0.00041833,-0.00013808,-0.00060647,6.3289e-05,0.028294,0.00036419,-0.0002837,-0.00019009,-6.5139e-05,0.00022717,0.00084579,0.00053765,0.00056913,0.00025405,0,0.0016777,0,0,0,0,0
-0.000171,-0.00028325,0.00046254,-0.00020631,-0.0001634,0.00083225,-0.00034781,-0.00039821,-0.00015331,-0.0016557,-2.5482e-05,0.027656,0.00020717,-0.00042356,-0.00027952,-0.00012279,0.00034088,0.0011268,0.00030855,0.00027748,0.00015806,0,0.0013422,0,0,0,0,0
-0.00017829,-0.00026426,0.00035627,-0.00024607,-0.00016933,0.00077166,-0.00031912,-0.00037059,-0.00016332,-0.0024699,-9.0196e-05,0.026813,5.9062e-05,-0.0005223,-0.00034048,-0.00016468,0.00042225,0.001321,9.8347e-05,6.0637e-06,5.5813e-05,0,0.0010737,0,0,0,0,0
-0.00018143,-0.00024563,0.00027419,-0.00027212,-0.00016424,0.00071054,-0.00029196,-0.00033965,-0.00016912,-0.0030967,-0.00013642,0.025828,-7.9884e-05,-0.00058907,-0.00037993,-0.00019413,0.00047813,0.001448,-9.3963e-05,-0.00024269,-5.0069e-05,0,0.00085899,0,0,0,0,0
-0.00018143,-0.00022777,0.00021073,-0.00028769,-0.00015289,0.00065131,-0.0002667,-0.00030804,-0.00017157,-0.0035742,-0.00016846,0.024751,-0.00020975,-0.0006311,-0.00040321,-0.00021382,0.00051407,0.0015233,-0.00026964,-0.0004683,-0.00015749,0,0.00068719,0,0,0,0,0
-0.00017906,-0.00021089,0.00016164,-0.0002953,-0.00013841,0.00059535,-0.00024349,-0.0002774,-0.00017141,-0.0039332,-0.00018966,0.023619,-0.00033082,-0.00065412,-0.00041442,-0.00022589,0.00053452,0.0015592,-0.00043002,-0.00067146,-0.0002648,0,0.00054976,0,0,0,0,0
-0.00017495,-0.00019512,0.00012364,-0.00029693,-0.00012284,0.00054341,-0.00022233,-0.00024866,-0.00016921,-0.0041983,-0.00020263,0.022462,-0.0004435,-0.00066266,-0.00041668,-0.00023206,0.00054302,0.0015652,-0.00057647,-0.00085358,-0.00037074,0,0.0004398,0,0,0,0,0
-0.00016958,-0.00018047,9.4215e-05,-0.00029411,-0.00010741,0.00049573,-0.00020313,-0.00022229,-0.00016548,-0.0043895,-0.00020936,0.021301,-0.00054826,-0.00066027,-0.00041241,-0.00023371,0.00054241,0.0015488,-0.00071027,-0.0010164,-0.00047435,0,0.00035184,0,0,0,0,0
-0.00016335,-0.00016693,7.1427e-05,-0.00028804,-9.2856e-05,0.00045232,-0.00018578,-0.00019846,-0.00016062,-0.0045226,-0.00021142,0.020153,-0.00064561,-0.00064977,-0.00040343,-0.00023194,0.00053497,0.001516,-0.00083264,-0.0011617,-0.00057491,0,0.00028147,0,0,0,0,0
-0.00015654,-0.00015446,5.3781e-05,-0.00027964,-7.9575e-05,0.000413,-0.00017011,-0.00017715,-0.00015494,-0.0046103,-0.00021002,0.019029,-0.00073603,-0.00063334,-0.00039114,-0.00022761,0.00052246,0.0014715,-0.00094469,-0.0012915,-0.00067191,0,0.00022518,0,0,0,0,0
-0.0001494,-0.00014298,4.0126e-05,-0.00026963,-6.7727e-05,0.00037749,-0.00015598,-0.00015823,-0.00014871,-0.0046628,-0.0002061,0.017939,-0.00082003,-0.00061271,-0.00037662,-0.00022142,0.00050632,0.0014187,-0.0010474,-0.0014074,-0.00076502,0,0.00018014,0,0,0,0,0
-0.00014209,-0.00013244,2.9568e-05,-0.00025857,-5.7333e-05,0.00034547,-0.00014323,-0.00014153,-0.00014214,-0.0046882,-0.00020036,0.016887,-0.00089807,-0.00058921,-0.00036066,-0.00021391,0.00048765,0.0013605,-0.0011418,-0.001511,-0.00085401,0,0.00014412,0,0,0,0,0
-0.00013476,-0.00012275,2.1416e-05,-0.00024686,-4.8333e-05,0.00031661,-0.00013171,-0.00012682,-0.00013538,-0.0046929,-0.00019337,0.01588,-0.00097059,-0.00056389,-0.00034389,-0.00020551,0.00046732,0.0012991,-0.0012285,-0.0016039,-0.00093876,0,0.00011529,0,0,0,0,0
-0.0001275,-0.00011384,1.5136e-05,-0.00023485,-4.0618e-05,0.0002906,-0.00012129,-0.0001139,-0.00012856,-0.0046821,-0.00018554,0.014917,-0.001038,-0.00053754,-0.00032675,-0.00019653,0.00044601,0.0012361,-0.0013084,-0.0016873,-0.0010193,0,9.2234e-05,0,0,0,0,0
