piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
4.9822e-05,-9.7851e-05,0.0012988,0.00028629,0.00062418,0.00038834,0.00024667,9.227e-06,5.2923e-05,-0.0017265,0.00020826,0.0010006,0.00053545,0.00060357,0.00044848,0.00020725,0.00037347,-0.00012884,0.00016248,6.7578e-06,3.3134e-05,0,0,0,0,0,0,0.01
4.1948e-05,5.2642e-05,0.0010896,0.00020936,0.00050823,0.00037203,3.0278e-05,1.547e-05,4.4006e-05,-0.0015003,0.00015923,0.0017301,0.00045862,0.00044323,0.00034004,0.00015462,0.00032997,-4.1071e-06,0.00018243,1.8088e-05,6.0686e-05,0,0,0,0,0,0,0.008
3.5131e-05,4.4751e-05,0.00091976,0.00015158,0.00041367,0.00035452,8.09e-06,1.8355e-05,3.644e-05,-0.0013081,0.00012137,0.0022496,0.00039819,0.00032042,0.00025402,0.00011316,0.00029335,8.76e-05,0.00018776,3.1531e-05,8.35e-05,0,0,0,0,0,0,0.0064
2.916e-05,3.8168e-05,0.00077886,0.00010667,0.00033642,0.00033577,4.7416e-06,1.9118e-05,2.9946e-05,-0.0011429,9.1199e-05,0.0026055,0.00035015,0.00022479,0.00018615,8.068e-05,0.00026195,0.0001542,0.00019088,4.5533e-05,0.00010225,0,0,0,0,0,0,0.00512
2.393e-05,3.2317e-05,0.00066142,7.1768e-05,0.00027339,0.00031626,3.1142e-06,1.8534e-05,2.4355e-05,-0.0010005,6.7115e-05,0.0028349,0.00031173,0.00015046,0.00013282,5.5328e-05,0.00023488,0.0002013,0.00019293,5.9107e-05,0.0001175,0,0,0,0,0,0,0.004096
1.9356e-05,2.7111e-05,0.00056327,4.4787e-05,0.00022203,0.00029645,1.6267e-06,1.7137e-05,1.9533e-05,-0.0008774,4.7928e-05,0.0029669,0.00028081,9.3019e-05,9.1112e-05,3.5637e-05,0.0002114,0.00023325,0.000194,7.1658e-05,0.00012973,0,0,0,0,0,0,0.0032768
1.5362e-05,2.25e-05,0.00048101,2.408e-05,0.00018023,0.0002767,1.9173e-07,1.5288e-05,1.5371e-05,-0.00077061,3.2689e-05,0.0030245,0.00025571,4.8933e-05,5.8663e-05,2.0434e-05,0.00019096,0.00025352,0.00019413,8.2855e-05,0.00013935,0,0,0,0,0,0,0.0026214
1.1881e-05,1.8436e-05,0.00041187,8.3326e-06,0.00014625,0.00025729,-1.1565e-06,1.3232e-05,1.1779e-05,-0.00067776,2.0633e-05,0.003026,0.00023515,1.5405e-05,3.3586e-05,8.7814e-06,0.00017306,0.00026484,0.00019337,9.2546e-05,0.00014672,0,0,0,0,0,0,0.0020972
8.8548e-06,1.4868e-05,0.00035358,-3.5017e-06,0.00011864,0.00023845,-2.3901e-06,1.1131e-05,8.681e-06,-0.00059681,1.1141e-05,0.0029857,0.0002181,-9.7956e-06,1.4365e-05,-6.3542e-08,0.00015732,0.00026935,0.00019179,0.0001007,0.00015216,0,0,0,0,0,0,0.0016777
6.2311e-06,1.175e-05,0.0003043,-1.2258e-05,9.622e-05,0.00022034,-3.4943e-06,9.0871e-06,6.0118e-06,-0.00052607,3.7117e-06,0.0029148,0.00020379,-2.8447e-05,-2.1446e-07,-6.6943e-06,0.00014341,0.00026877,0.00018949,0.00010735,0.00015592,0,0,0,0,0,0,0.0013422
