piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
6.1341e-05,-0.00039589,0.0010552,0.00057279,4.4525e-05,0.00043792,-0.0092283,-0.00026272,8.8879e-05,-0.002151,-2.5926e-05,0.00076105,0.00078412,0.0014113,-0.00025943,-0.00014414,0.00038982,0.00072079,-0.0060786,-0.00019241,5.5646e-05,0,0,0.01,0,0,0,0
6.0992e-05,1.9952e-05,0.0012386,0.00065012,0.0001774,0.00041104,3.3259e-05,-0.00015802,7.8003e-05,-0.0021614,6.2964e-05,0.0014996,0.0007496,0.0014026,-0.00023916,-0.00014983,0.00041838,0.00068373,-0.0060567,-0.00030814,0.00010448,0,0,0.009,0,0,0,0
5.5653e-05,5.6701e-05,0.0012073,0.00058935,0.00024709,0.00037085,0.00086284,-8.0568e-05,6.6022e-05,-0.0020691,6.7055e-05,0.0021222,0.00070044,0.0012489,-0.0002154,-0.00014814,0.00041338,0.00068831,-0.0054884,-0.00036715,0.00014582,0,0,0.0081,0,0,0,0
4.9908e-05,6.2343e-05,0.0011477,0.00052172,0.00028539,0.0003406,0.00086641,-2.7064e-05,5.5675e-05,-0.0019603,6.1239e-05,0.0026334,0.0006574,0.0010978,-0.00019673,-0.00014472,0.00040246,0.00069159,-0.0049177,-0.00038697,0.00018067,0,0,0.00729,0,0,0,0
4.4287e-05,6.2465e-05,0.0010816,0.00045968,0.00030312,0.00031875,0.00079378,8.7808e-06,4.6852e-05,-0.001847,5.3647e-05,0.0030463,0.00062068,0.00096215,-0.00018237,-0.00014044,0.00038917,0.0006901,-0.0043948,-0.00038054,0.00021001,0,0,0.006561,0,0,0,0
3.8899e-05,6.0401e-05,0.0010134,0.00040397,0.00030689,0.0003025,0.00071898,3.1938e-05,3.9265e-05,-0.001733,4.5597e-05,0.0033732,0.00058895,0.00084152,-0.00017109,-0.00013563,0.00037451,0.00068418,-0.0039212,-0.00035715,0.00023459,0,0,0.0059049,0,0,0,0
3.3788e-05,5.7064e-05,0.00094523,0.00035418,0.00030132,0.00028973,0.0006493,4.6068e-05,3.2677e-05,-0.0016204,3.7568e-05,0.0036254,0.00056105,0.0007345,-0.00016195,-0.00013049,0.00035903,0.00067449,-0.0034935,-0.00032341,0.00025505,0,0,0.0053144,0,0,0,0
2.8983e-05,5.2967e-05,0.00087852,0.00030978,0.00028972,0.00027902,0.00058532,5.3838e-05,2.691e-05,-0.0015107,2.9835e-05,0.0038131,0.00053611,0.00063965,-0.00015428,-0.00012516,0.00034315,0.00066167,-0.003108,-0.00028398,0.0002719,0,0,0.004783,0,0,0,0
2.4496e-05,4.846e-05,0.0008141,0.00027027,0.00027442,0.00026941,0.00052685,5.7186e-05,2.183e-05,-0.0014049,2.2566e-05,0.0039452,0.00051346,0.00055569,-0.0001476,-0.00011976,0.00032715,0.0006463,-0.002761,-0.0002421,0.00028556,0,0,0.0043047,0,0,0,0
2.0335e-05,4.3787e-05,0.00075256,0.00023518,0.00025708,0.0002603,0.00047359,5.7512e-05,1.7333e-05,-0.0013036,1.5858e-05,0.0040296,0.00049262,0.00048145,-0.00014159,-0.00011436,0.00031126,0.00062888,-0.002449,-0.00019998,0.00029642,0,0,0.0038742,0,0,0,0
1.6497e-05,3.9121e-05,0.00069422,0.00020406,0.00023883,0.00025133,0.00042521,5.5826e-05,1.3339e-05,-0.0012073,9.7581e-06,0.0040735,0.0004732,0.00041586,-0.00013603,-0.00010902,0.00029563,0.00060985,-0.0021689,-0.00015909,0.00030477,0,0,0.0034868,0,0,0,0
1.2976e-05,3.4577e-05,0.00063926,0.00017652,0.00022047,0.00024228,0.00038134,5.2851e-05,9.7861e-06,-0.0011162,4.2803e-06,0.0040828,0.00045494,0.00035799,-0.00013077,-0.00010378,0.00028038,0.00058961,-0.0019177,-0.00012038,0.00031089,0,0,0.0031381,0,0,0,0
9.7629e-06,3.0232e-05,0.00058773,0.00015217,0.0002025,0.00023306,0.00034164,4.9102e-05,6.6236e-06,-0.0010303,-5.8522e-07,0.0040632,0.00043762,0.00030699,-0.00012572,-9.8682e-05,0.00026558,0.00056849,-0.0016927,-8.4421e-05,0.00031504,0,0,0.0028243,0,0,0,0
6.8446e-06,2.6134e-05,0.0005396,0.00013069,0.00018527,0.00022364,0.00030577,4.4942e-05,3.8102e-06,-0.00094961,-4.8629e-06,0.0040194,0.00042108,0.00026211,-0.00012081,-9.3735e-05,0.00025129,0.00054679,-0.0014913,-5.1505e-05,0.00031743,0,0,0.0025419,0,0,0,0
4.2075e-06,2.2311e-05,0.0004948,0.00011177,0.00016897,0.00021406,0.00027339,4.0625e-05,1.3111e-06,-0.00087404,-8.5863e-06,0.0039556,0.00040521,0.00022266,-0.000116,-8.8956e-05,0.00023754,0.00052475,-0.0013112,-2.1752e-05,0.00031825,0,0,0.0022877,0,0,0,0
1.8365e-06,1.8775e-05,0.00045319,9.512e-05,0.00015372,0.00020435,0.00024421,3.6323e-05,-9.0309e-07,-0.00080342,-1.1794e-05,0.0038754,0.00038992,0.00018804,-0.00011129,-8.4354e-05,0.00022435,0.00050259,-0.0011504,4.8509e-06,0.00031768,0,0,0.0020589,0,0,0,0
-2.8413e-07,1.5529e-05,0.00041464,8.0503e-05,0.00013956,0.00019458,0.00021792,3.2151e-05,-2.8583e-06,-0.00073759,-1.4529e-05,0.0037821,0.00037515,0.00015771,-0.00010667,-7.9933e-05,0.00021174,0.00048049,-0.0010068,2.8398e-05,0.00031589,0,0,0.001853,0,0,0,0
-2.1703e-06,1.2569e-05,0.00037899,6.769e-05,0.0001265,0.0001848,0.00019427,2.8182e-05,-4.5772e-06,-0.00067633,-1.683e-05,0.0036783,0.00036084,0.00013119,-0.00010212,-7.5697e-05,0.00019971,0.00045859,-0.00087885,4.9038e-05,0.00031303,0,0,0.0016677,0,0,0,0
-3.8379e-06,9.8836e-06,0.00034606,5.648e-05,0.0001145,0.00017509,0.00017301,2.4462e-05,-6.0804e-06,-0.00061943,-1.8741e-05,0.0035665,0.00034697,0.00010804,-9.7664e-05,-7.1644e-05,0.00018824,0.00043703,-0.00076489,6.6954e-05,0.00030922,0,0,0.0015009,0,0,0,0
-5.3026e-06,7.4615e-06,0.00031571,4.6692e-05,0.00010352,0.0001655,0.0001539,2.1013e-05,-7.3866e-06,-0.00056665,-2.0299e-05,0.0034487,0.0003335,8.7872e-05,-9.33e-05,-6.7772e-05,0.00017733,0.00041589,-0.00066351,8.2344e-05,0.0003046,0,0,0.0013509,0,0,0,0
-6.5796e-06,5.2877e-06,0.00028775,3.8164e-05,9.3499e-05,0.00015609,0.00013675,1.7845e-05,-8.5127e-06,-0.00051778,-2.1543e-05,0.0033266,0.00032041,7.0349e-05,-8.9036e-05,-6.4079e-05,0.00016697,0.00039527,-0.00057344,9.5414e-05,0.00029927,0,0,0.0012158,0,0,0,0
-7.6837e-06,3.3465e-06,0.00026203,3.0751e-05,8.4383e-05,0.0001469,0.00012137,1.4956e-05,-9.4745e-06,-0.00047257,-2.2506e-05,0.0032019,0.0003077,5.5162e-05,-8.488e-05,-6.056e-05,0.00015715,0.00037523,-0.00049349,0.00010637,0.00029333,0,0,0.0010942,0,0,0,0
-8.6288e-06,1.6218e-06,0.0002384,2.4325e-05,7.6102e-05,0.00013797,0.00010757,1.2338e-05,-1.0286e-05,-0.00043081,-2.3222e-05,0.0030757,0.00029535,4.2039e-05,-8.0838e-05,-5.7211e-05,0.00014784,0.00035581,-0.00042264,0.0001154,0.00028689,0,0,0.00098477,0,0,0,0
-9.4286e-06,9.7499e-08,0.0002167,1.8769e-05,6.8592e-05,0.00012934,9.5212e-05,9.9798e-06,-1.0962e-05,-0.00039229,-2.3718e-05,0.0029492,0.00028336,3.0735e-05,-7.6917e-05,-5.4027e-05,0.00013903,0.00033705,-0.00035992,0.00012271,0.00028003,0,0,0.00088629,0,0,0,0
-1.0096e-05,-1.2422e-06,0.00019679,1.3983e-05,6.179e-05,0.00012102,8.4147e-05,7.8659e-06,-1.1514e-05,-0.00035679,-2.4023e-05,0.0028232,0.00027171,2.1035e-05,-7.312e-05,-5.1001e-05,0.00013069,0.00031898,-0.0003045,0.00012847,0.00027282,0,0,0.00079766,0,0,0,0
-1.0642e-05,-2.4124e-06,0.00017855,9.8729e-06,5.5636e-05,0.00011304,7.4248e-05,5.9803e-06,-1.1954e-05,-0.00032411,-2.4161e-05,0.0026986,0.00026041,1.2746e-05,-6.9451e-05,-4.8129e-05,0.00012281,0.00030162,-0.00025559,0.00013285,0.00026534,0,0,0.0007179,0,0,0,0
-1.1079e-05,-3.4277e-06,0.00016185,6.359e-06,5.0072e-05,0.00010541,6.5397e-05,4.3062e-06,-1.2293e-05,-0.00029405,-2.4154e-05,0.0025759,0.00024945,5.6978e-06,-6.5914e-05,-4.5404e-05,0.00011537,0.00028498,-0.00021251,0.00013601,0.00025764,0,0,0.00064611,0,0,0,0
-1.1418e-05,-4.3019e-06,0.00014656,3.3686e-06,4.5045e-05,9.8145e-05,5.7491e-05,2.827e-06,-1.2541e-05,-0.00026645,-2.4022e-05,0.0024557,0.00023883,-2.6157e-07,-6.251e-05,-4.282e-05,0.00010835,0.00026904,-0.00017464,0.00013808,0.00024979,0,0,0.0005815,0,0,0,0
-1.1667e-05,-5.0478e-06,0.00013258,8.3752e-07,4.0508e-05,9.1237e-05,5.0434e-05,1.5262e-06,-1.2707e-05,-0.00024112,-2.3782e-05,0.0023384,0.00022854,-5.2669e-06,-5.9239e-05,-4.0372e-05,0.00010173,0.00025382,-0.00014142,0.0001392,0.00024183,0,0,0.00052335,0,0,0,0
