piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00031875,0.0008865,0.0026192,0.00037245,0.0010706,0.0011762,0.0017517,0.00069416,0.00028924,-0.0039153,0.00061935,0.0016418,0.00073341,0.00086403,0.00074061,0.00037294,-0.00056265,-0.0012768,0.0011538,0.00050839,0.00018109,0,0,0,0,0,0.01,0
0.00025369,0.00019407,0.0021336,0.00026147,0.00074156,0.0011306,0.00022109,0.00045833,0.00023781,-0.0032693,0.00047127,0.0029053,0.00080318,0.00064965,0.00056031,0.00030269,-0.00044908,-0.00093633,0.0012995,0.00084407,0.00032998,0,0,0,0,0,0.0085,0
0.00019996,0.0001319,0.0017645,0.00019024,0.00050851,0.0010657,3.1729e-05,0.00028966,0.00019304,-0.0027446,0.00036242,0.0038715,0.00084985,0.0004937,0.00041742,0.00024198,-0.00034794,-0.00066446,0.0013204,0.0010562,0.00045083,0,0,0,0,0,0.007225,0
0.00015518,8.7479e-05,0.0014658,0.00013486,0.0003428,0.00098812,-1.4151e-05,0.00017029,0.00015404,-0.0023084,0.00027589,0.0045953,0.00087634,0.0003674,0.00030506,0.0001904,-0.00026167,-0.00044404,0.0013111,0.0011809,0.00054728,0,0,0,0,0,0.0061412,0
0.00011787,5.378e-05,0.001221,9.0686e-05,0.00022555,0.00090471,-3.7596e-05,8.661e-05,0.00012033,-0.0019433,0.00020634,0.0051207,0.00088732,0.000264,0.00021676,0.00014686,-0.00018895,-0.00026584,0.0012863,0.0012444,0.00062261,0,0,0,0,0,0.0052201,0
8.6849e-05,2.801e-05,0.0010191,5.5452e-05,0.0001432,0.00082046,-5.2771e-05,2.8638e-05,9.1404e-05,-0.0016367,0.00015033,0.0054844,0.00088661,0.00017954,0.00014738,0.00011033,-0.00012816,-0.00012264,0.0012515,0.0012653,0.00067984,0,0,0,0,0,0.0044371,0
6.113e-05,8.3088e-06,0.00085191,2.7463e-05,8.5903e-05,0.00073854,-6.2713e-05,-1.0877e-05,6.6752e-05,-0.0013781,0.00010526,0.0057168,0.00087712,0.00011088,9.2949e-05,7.9842e-05,-7.7783e-05,-8.4832e-06,0.0012102,0.0012574,0.00072163,0,0,0,0,0,0.0037715,0
3.9876e-05,-6.7126e-06,0.00071281,5.3663e-06,4.6532e-05,0.00066091,-6.893e-05,-3.7202e-05,4.5888e-05,-0.0011596,6.9027e-05,0.0058432,0.00086112,5.5393e-05,5.036e-05,5.4547e-05,-3.6388e-05,8.1626e-05,0.0011648,0.0012301,0.00075036,0,0,0,0,0,0.0032058,0
2.2385e-05,-1.8107e-05,0.00059665,-1.1934e-05,1.9916e-05,0.00058866,-7.2454e-05,-5.4151e-05,2.8352e-05,-0.00097441,3.9979e-05,0.0058847,0.00084034,1.0883e-05,1.7179e-05,3.3697e-05,-2.7067e-06,0.00015185,0.0011171,0.0011905,0.00076811,0,0,0,0,0,0.0027249,0
8.0663e-06,-2.668e-05,0.0004993,-2.5329e-05,2.3262e-06,0.0005223,-7.4038e-05,-6.4482e-05,1.372e-05,-0.00081713,1.6779e-05,0.0058586,0.00081611,-2.4497e-05,-8.5105e-06,1.6632e-05,2.4395e-05,0.00020568,0.0010683,0.0011433,0.0007767,0,0,0,0,0,0.0023162,0
-3.5823e-06,-3.3048e-05,0.00041749,-3.5545e-05,-8.9272e-06,0.00046196,-7.4232e-05,-7.0181e-05,1.6066e-06,-0.00068335,-1.6522e-06,0.0057793,0.00078949,-5.2297e-05,-2.8221e-05,2.7802e-06,4.5914e-05,0.00024602,0.0010194,0.0010919,0.00077771,0,0,0,0,0,0.0019687,0
-1.2983e-05,-3.7688e-05,0.00034854,-4.3179e-05,-1.5773e-05,0.00040749,-7.344e-05,-7.2676e-05,-8.3332e-06,-0.0005694,-1.6186e-05,0.0056587,0.00076126,-7.3817e-05,-4.3153e-05,-8.3543e-06,6.2722e-05,0.00027531,0.00097105,0.0010386,0.00077249,0,0,0,0,0,0.0016734,0
-2.0495e-05,-4.0971e-05,0.00029032,-4.8717e-05,-1.9592e-05,0.00035863,-7.1958e-05,-7.2989e-05,-1.6406e-05,-0.00047225,-2.7533e-05,0.0055068,0.00073206,-9.015e-05,-5.4265e-05,-1.72e-05,7.5577e-05,0.00029558,0.00092365,0.00098517,0.00076222,0,0,0,0,0,0.0014224,0
