piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
5.797e-05,-0.00010866,0.0013227,0.00026663,0.00061129,0.0004448,0.00025607,6.3686e-06,6.1926e-05,-0.0019282,0.00017156,0.00091055,0.00053953,0.00056147,0.00042115,0.00019368,0.00040752,-2.3951e-05,0.00016867,4.6643e-06,3.877e-05,0.01,0,0,0,0,0,0
5.0193e-05,5.5859e-05,0.0011681,0.00020866,0.00053191,0.00042748,4.3296e-05,1.5272e-05,5.2906e-05,-0.0017402,0.00013865,0.0016201,0.00049074,0.00044078,0.00034185,0.00015412,0.00037511,6.8648e-05,0.00019719,1.585e-05,7.1894e-05,0.0085,0,0,0,0,0,0
4.3195e-05,4.9388e-05,0.0010346,0.00016309,0.00046169,0.00040979,1.9803e-05,2.0093e-05,4.4995e-05,-0.0015705,0.00011203,0.0021651,0.00045005,0.00034354,0.00027481,0.00012112,0.00034586,0.00014003,0.00021023,3.0565e-05,0.00010006,0.007225,0,0,0,0,0,0
3.6844e-05,4.3654e-05,0.00091646,0.00012553,0.00039968,0.00039125,1.4825e-05,2.2197e-05,3.7987e-05,-0.0014163,8.9497e-05,0.0025745,0.00041553,0.00026328,0.0002185,9.3727e-05,0.00031902,0.00019468,0.00022,4.6822e-05,0.00012385,0.0061412,0,0,0,0,0,0
3.1097e-05,3.8231e-05,0.00081177,9.4498e-05,0.00034523,0.00037204,1.1683e-05,2.2482e-05,3.177e-05,-0.0012762,7.0363e-05,0.0028722,0.00038595,0.00019704,0.00017138,7.1057e-05,0.00029438,0.0002356,0.00022769,6.3288e-05,0.00014374,0.0052201,0,0,0,0,0,0
2.5914e-05,3.3138e-05,0.00071898,6.8947e-05,0.00029763,0.0003524,8.8245e-06,2.1581e-05,2.6255e-05,-0.0011491,5.4164e-05,0.0030785,0.00036039,0.00014256,0.00013209,5.2353e-05,0.00027174,0.00026527,0.0002335,7.9094e-05,0.00016018,0.0044371,0,0,0,0,0,0
2.126e-05,2.841e-05,0.00063677,4.8002e-05,0.00025619,0.00033258,6.1554e-06,1.9942e-05,2.1366e-05,-0.0010339,4.0499e-05,0.0032104,0.00033809,9.7941e-05,9.9454e-05,3.6977e-05,0.00025095,0.00028575,0.00023756,9.3699e-05,0.00017355,0.0037715,0,0,0,0,0,0
1.7094e-05,2.4064e-05,0.00056395,3.0924e-05,0.00022022,0.0003128,3.699e-06,1.788e-05,1.7037e-05,-0.00092963,2.9016e-05,0.0032819,0.00031846,6.1597e-05,7.2465e-05,2.439e-05,0.00023187,0.00029877,0.00024,0.00010679,0.00018422,0.0032058,0,0,0,0,0,0
1.3381e-05,2.0103e-05,0.00049945,1.7089e-05,0.00018909,0.00029327,1.4734e-06,1.5614e-05,1.3211e-05,-0.00083527,1.9409e-05,0.003305,0.000301,3.2177e-05,5.0251e-05,1.414e-05,0.00021433,0.00030578,0.00024097,0.00011823,0.00019249,0.0027249,0,0,0,0,0,0
1.0084e-05,1.6518e-05,0.00044231,5.9635e-06,0.0001622,0.00027415,-5.158e-07,1.3294e-05,9.8376e-06,-0.00074995,1.141e-05,0.0032896,0.00028533,8.5396e-06,3.2068e-05,5.8459e-06,0.00019822,0.00030797,0.00024063,0.00012797,0.00019865,0.0023162,0,0,0,0,0,0
7.1682e-06,1.3295e-05,0.00039169,-2.8997e-06,0.00013902,0.00025557,-2.2718e-06,1.1018e-05,6.8717e-06,-0.00067286,4.7874e-06,0.0032438,0.00027112,-1.0275e-05,1.7279e-05,-8.1417e-07,0.0001834,0.00030635,0.00023913,0.00013604,0.00020295,0.0019687,0,0,0,0,0,0
4.6007e-06,1.0412e-05,0.00034684,-9.8805e-06,0.00011906,0.00023766,-3.8041e-06,8.8512e-06,4.2728e-06,-0.00060325,-6.605e-07,0.0031744,0.00025812,-2.5078e-05,5.3412e-06,-6.1111e-06,0.00016977,0.00030174,0.00023662,0.00014252,0.00020563,0.0016734,0,0,0,0,0,0
2.3505e-06,7.8482e-06,0.00030708,-1.5299e-05,0.00010191,0.00022048,-5.1257e-06,6.8317e-06,2.0044e-06,-0.00054041,-5.1071e-06,0.0030871,0.00024612,-3.6554e-05,-4.2081e-06,-1.0273e-05,0.00015723,0.00029483,0.00023325,0.00014752,0.00020688,0.0014224,0,0,0,0,0,0
