piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
1.284e-05,0.0018472,-0.0052507,0.0021988,0.0010301,-0.0084796,-0.0014188,0.00047614,-2.2765e-05,0.021859,0.0039916,0.010154,-0.00049013,0.0046418,0.0029378,0.0014081,-0.0038636,-0.01238,-0.00093458,0.00034872,-1.4253e-05,0,0.01,0,0,0,0,0
7.059e-05,-0.0003716,-0.0035875,0.0015997,0.00064623,-0.0058334,0.00051175,0.00028319,5.397e-05,0.016014,0.0031478,0.017576,-0.00023631,0.0033742,0.0020958,0.0010285,-0.002788,-0.0088675,-0.00059749,0.00055613,1.9537e-05,0,0.008,0,0,0,0,0
0.00010721,-0.0002543,-0.0023326,0.0011102,0.00038809,-0.0038309,0.00056713,0.00016296,0.00010276,0.011482,0.0024637,0.022846,-2.9647e-05,0.0023574,0.0014508,0.00073025,-0.00195,-0.0061292,-0.00022392,0.00067548,8.3875e-05,0,0.0064,0,0,0,0,0
0.00012863,-0.00016796,-0.001373,0.00073015,0.00021945,-0.0023226,0.00046669,8.9816e-05,0.00013155,0.0079779,0.001919,0.026444,0.00014287,0.0015656,0.00095703,0.0004963,-0.001297,-0.0040113,8.3481e-05,0.00074126,0.00016624,0,0.00512,0,0,0,0,0
0.0001388,-0.00010266,-0.00064564,0.00043843,0.00011217,-0.0011962,0.00037288,4.7032e-05,0.00014587,0.0052866,0.0014862,0.028749,0.00028753,0.00095456,0.00058081,0.00031372,-0.00079117,-0.0023845,0.00032909,0.00077571,0.00025756,0,0.004096,0,0,0,0,0
0.00014076,-5.4039e-05,-0.00010245,0.0002164,4.6248e-05,-0.00036509,0.00029657,2.3373e-05,0.00014984,0.0032369,0.0011424,0.030061,0.00040884,0.0004867,0.00029599,0.00017218,-0.00040233,-0.0011452,0.00052445,0.00079283,0.00035138,0,0.0032768,0,0,0,0,0
0.00013685,-1.8775e-05,0.0002954,4.9071e-05,7.7861e-06,0.00023855,0.000235,1.1347e-05,0.00014657,0.0016923,0.00086937,0.030617,0.00051026,0.00013184,8.2223e-05,6.3355e-05,-0.00010635,-0.00021116,0.00067924,0.00080114,0.00044314,0,0.0026214,0,0,0,0,0
0.00012889,5.8873e-06,0.00057921,-7.5411e-05,-1.2818e-05,0.00066743,0.000185,6.0443e-06,0.00013841,0.00054391,0.00065264,0.030605,0.00059457,-0.00013406,-7.6388e-05,-1.9454e-05,0.00011614,0.00048328,0.00080109,0.00080556,0.0005298,0,0.0020972,0,0,0,0,0
0.00011825,2.2241e-05,0.00077413,-0.00016642,-2.2119e-05,0.00096267,0.00014411,4.3178e-06,0.00012709,-0.00029503,0.00048074,0.030171,0.00066403,-0.00033008,-0.00019224,-8.1619e-05,0.00028065,0.00099011,0.00089601,0.00080873,0.00060937,0,0.0016777,0,0,0,0,0
0.00010601,3.2172e-05,0.00090034,-0.00023138,-2.4539e-05,0.0011563,0.00011043,4.2142e-06,0.00011391,-0.00089341,0.0003446,0.029429,0.00072051,-0.00047143,-0.00027503,-0.00012745,0.00039959,0.0013506,0.00096876,0.00081181,0.00068069,0,0.0013422,0,0,0,0,0
9.2935e-05,3.7219e-05,0.00097393,-0.00027613,-2.3015e-05,0.0012731,8.2543e-05,4.5756e-06,9.9798e-05,-0.0013059,0.00023698,0.028469,0.00076562,-0.00057013,-0.00033233,-0.00016042,0.00048285,0.0015975,0.0010231,0.00081516,0.00074317,0,0.0010737,0,0,0,0,0
7.9629e-05,3.8624e-05,0.0010077,-0.00030529,-1.9458e-05,0.0013324,5.9331e-05,4.7651e-06,8.5446e-05,-0.0015756,0.00015213,0.027361,0.00080074,-0.00063575,-0.00037004,-0.00018328,0.00053833,0.0017568,0.0010622,0.00081865,0.00079666,0,0.00085899,0,0,0,0,0
